DateTime,Entries,UniqueIPs
1502546855,120,120
1502550455,121,121
1502554047,120,120
1502557670,118,118
1502561227,114,114
1502564844,115,115
1502572037,116,116
1502575645,117,117
1502582887,116,116
1502586431,117,117
1502590039,115,115
1502593632,116,116
1502597237,115,115
1502600856,115,115
1502604408,115,115
1502608032,114,114
1502615248,111,111
1502618834,89,89
1502622435,83,83
1502626038,103,103
1502629632,106,106
1502633226,112,112
1502636831,117,117
1502640431,116,116
1502644052,117,117
1502647648,115,115
1502651235,113,113
1502654836,112,112
1502658418,113,113
1502662037,112,112
1502665631,80,80
1502669248,108,108
1502672838,108,108
1502676433,111,111
1502680026,114,114
1502683630,115,115
1502687226,121,121
1502690829,119,119
1502694426,119,119
1502698030,118,118
1502701619,117,117
1502705242,118,118
1502708828,118,118
1502712441,117,117
1502716005,119,119
1502719628,120,120
1502726847,121,121
1502730457,121,121
1502734024,118,118
1502737630,116,116
1502741223,116,116
1502744827,116,116
1502748440,117,117
1502752040,117,117
1502755655,118,118
1502759242,118,118
1502762841,117,117
1502766449,117,117
1502770028,120,120
1502773632,120,120
1502777216,117,117
1502780828,117,117
1502784420,115,115
1502788034,116,116
1502791637,117,117
1502795219,116,116
1502798834,117,117
1502802426,117,117
1502806027,118,118
1502809631,119,119
1502813225,117,117
1502816843,116,116
1502820425,118,118
1502824017,113,113
1502827630,117,117
1502831236,117,117
1502834826,118,118
1502838426,118,118
1502842051,119,119
1502845618,118,118
1502849219,118,118
1502852827,119,119
1502860022,117,117
1502863623,117,117
1502867214,116,116
1502870815,119,119
1502874423,118,118
1502878030,119,119
1502881601,119,119
1502885238,116,116
1502888815,115,115
1502892420,118,118
1502896042,119,119
1502899621,117,117
1502903232,116,116
1502906824,117,117
1502910422,115,115
1502914033,115,115
1502917643,114,114
1502921250,110,110
1502924809,117,117
1502928453,117,117
1502932034,118,118
1502935612,119,119
1502939218,118,118
1502942831,116,116
1502946431,116,116
1502950020,115,115
1502953629,114,114
1502957217,115,115
1502960826,116,116
1502964424,115,115
1502968021,115,115
1502971635,116,116
1502975217,117,117
1502978819,119,119
1502982426,119,119
1502986024,117,117
1502989615,118,118
1502993217,118,118
1503000439,115,115
1503004033,109,109
1503007625,112,112
1503011220,112,112
1503014857,114,114
1503018477,115,115
1503025673,116,116
1503029246,116,116
1503032848,116,116
1503036435,116,116
1503040049,117,117
1503043658,116,116
1503047250,116,116
1503050858,115,115
1503054453,115,115
1503061647,116,116
1503068834,116,116
1503072449,118,118
1503076059,116,116
1503079677,113,113
1503083260,115,115
1503086839,113,113
1503090456,113,113
1503094030,115,115
1503097653,114,114
1503101286,116,116
1503104847,115,115
1503108454,113,113
1503112061,114,114
1503115668,110,110
1503119257,112,112
1503126447,115,115
1503130046,116,116
1503133648,115,115
1503137264,116,116
1503140848,115,115
1503144438,115,115
1503148044,115,115
1503151644,115,115
1503155239,118,118
1503158869,116,116
1503162447,117,117
1503166058,118,118
1503169660,118,118
1503173255,119,119
1503176858,117,117
1503180434,116,116
1503184071,113,113
1503187687,115,115
1503191239,116,116
1503194863,116,116
1503198462,118,118
1503202077,115,115
1503205652,117,117
1503209239,116,116
1503212854,115,115
1503216451,118,118
1503220032,116,116
1503223649,114,114
1503227254,115,115
1503230859,114,114
1503234446,114,114
1503238047,114,114
1503241643,114,114
1503245268,118,118
1503248850,118,118
1503252479,118,118
1503256047,117,117
1503259650,118,118
1503263270,114,114
1503266846,114,114
1503270455,116,116
1503274088,116,116
1503277648,117,117
1503281264,118,118
1503284851,118,118
1503288453,116,116
1503292057,115,115
1503295660,117,117
1503299259,118,118
1503302848,117,117
1503306459,117,117
1503313650,117,117
1503317246,119,119
1503320851,118,118
1503324443,117,117
1503328056,116,116
1503331657,117,117
1503335253,116,116
1503338862,116,116
1503342453,116,116
1503346047,117,117
1503349658,117,117
1503353269,115,115
1503356840,115,115
