DateTime,Entries,UniqueIPs
1502849695,388,388
1502853300,375,375
1502856920,369,369
1502860463,371,371
1502864075,365,365
1502867697,369,369
1502871297,374,374
1502874879,374,374
1502878518,374,374
1502882074,373,373
1502885695,371,371
1502889301,374,374
1502892877,378,378
1502896498,379,379
1502900082,386,386
1502903686,384,384
1502907302,383,383
1502910876,377,377
1502914514,367,367
1502918100,365,365
1502921708,370,370
1502925270,378,378
1502928940,401,401
1502932556,394,394
1502936093,414,414
1502939706,404,404
1502943320,416,416
1502946912,418,418
1502950522,417,417
1502954118,412,412
1502957696,409,409
1502961309,419,419
1502964901,414,414
1502968510,411,411
1502972105,412,412
1502975694,415,415
1502979302,419,419
1502982923,426,426
1502986503,424,424
1502990109,420,420
1502993726,419,419
1502997318,413,413
1503000919,412,412
1503004519,409,409
1503008115,415,415
1503011730,416,416
1503015352,438,438
1503018950,439,439
1503022532,433,433
1503026174,413,413
1503029722,415,415
1503033337,418,418
1503036925,417,417
1503040551,416,416
1503044155,410,410
1503047737,402,402
1503051332,402,402
1503054956,411,411
1503058529,413,413
1503062148,419,419
1503065740,417,417
1503069320,418,418
1503072958,420,420
1503076564,412,412
1503080163,414,414
1503083736,411,411
1503087331,406,406
1503090946,403,403
1503094535,413,413
1503098165,416,416
1503101804,435,435
1503105385,432,432
1503108965,420,420
1503112561,413,413
1503116170,403,403
1503119747,407,407
1503123348,413,413
1503126960,422,422
1503130547,430,430
1503134140,430,430
1503137772,428,428
1503141345,426,426
1503144947,421,421
1503148550,427,427
1503152129,425,425
1503155777,427,427
1503159349,422,422
1503162955,421,421
1503166572,423,423
1503170171,425,425
1503173733,423,423
1503177361,421,421
1503180920,429,429
1503184573,426,426
1503188203,461,461
1503191759,464,464
1503195362,456,456
1503198938,443,443
1503202599,438,438
1503206145,440,440
1503209729,441,441
1503213356,435,435
1503216952,439,439
1503220531,431,431
1503224141,427,427
1503227757,429,429
1503231381,430,430
1503234924,442,442
1503238558,442,442
1503242155,437,437
1503245779,440,440
1503249358,442,442
1503252964,440,440
1503256532,440,440
1503260170,441,441
1503263729,437,437
1503267336,437,437
1503270942,438,438
1503274568,477,477
1503278141,473,473
1503281783,473,473
1503285380,446,446
1503288953,453,453
1503292570,456,456
1503296159,456,456
1503299746,453,453
1503303356,451,451
1503306966,448,448
1503310557,450,450
1503314155,455,455
1503317735,458,458
1503321344,457,457
1503324957,458,458
1503328535,448,448
1503332166,457,457
1503335761,460,460
1503339386,454,454
1503342954,459,459
1503346548,455,455
1503350196,450,450
1503353757,440,440
1503357334,436,436
1503360999,442,442
1503364506,443,443
1503368133,445,445
1503371739,419,419
1503375373,421,421
1503378947,418,418
1503382551,412,412
1503386160,417,417
1503389742,411,411
1503393353,405,405
1503396918,414,414
1503400517,411,411
1503404135,409,409
1503407736,412,412
1503411383,400,400
1503414935,404,404
1503418547,418,418
1503422124,419,419
1503425730,421,421
1503429336,421,421
1503432942,416,416
1503436531,414,414
1503440163,414,414
1503443726,426,426
1503447398,453,453
1503450932,457,457
1503454511,456,456
1503458135,429,429
1503461756,427,427
1503465316,424,424
1503468908,412,412
1503472512,411,411
1503476116,416,416
1503479698,418,418
1503483327,421,421
1503486914,419,419
1503490518,423,423
1503494138,416,416
1503497740,424,424
1503501336,426,426
1503504945,426,426
1503508534,427,427
1503512123,420,420
1503515729,413,413
1503519311,411,411
1503522924,410,410
1503526543,413,413
1503530128,419,419
1503533785,433,433
1503537331,439,439
1503540910,441,441
1503544545,413,413
