DateTime,AddedIPs,RemovedIPs
1502237325,6,0
1502240872,3,0
1502244516,0,3
1502248086,1,0
1502251682,1,3
1502255283,2,1
1502258873,1,0
1502266070,1,1
1502269689,1,0
1502273281,1,1
1502276887,1,0
1502280493,0,1
1502284083,1,2
1502287696,2,0
1502291298,1,2
1502294890,1,0
1502298516,1,2
1502302079,4,2
1502305688,0,1
1502309275,2,0
1502316496,1,2
1502320081,1,2
1502323731,0,6
1502327274,2,0
1502330900,0,2
1502334491,0,5
1502338062,2,0
1502341687,1,0
1502345274,1,0
1502352488,2,0
1502356092,0,1
1502359681,0,1
1502363282,2,0
1502366883,0,1
1502370480,1,0
1502374072,1,2
1502377674,1,0
1502388492,0,2
1502392089,0,2
1502395689,1,0
1502417260,1,0
1502420889,1,0
1502424489,0,1
1502428089,0,1
1502435299,1,1
1502438882,2,0
1502449678,0,1
1502464090,0,3
1502467679,2,0
1502474880,0,1
1502482078,0,2
1502485681,3,2
1502489277,2,0
1502492887,2,0
1502496530,1,0
1502503701,0,2
1502507283,0,3
1502514488,3,2
1502518075,2,1
1502528890,1,0
1502532501,0,3
1502546892,3,0
1502550493,1,0
1502554086,1,0
1502561267,0,1
1502564883,0,2
1502568480,1,0
1502572073,1,0
1502582933,1,0
1502590082,1,2
1502593678,2,1
1502600901,0,1
1502604449,0,1
1502608080,0,2
1502611692,2,0
1502618877,0,5
1502622482,1,0
1502626081,4,2
1502633272,1,0
1502636873,2,1
1502640474,1,0
1502644093,2,0
1502647692,0,1
1502651283,0,1
1502654884,0,1
1502658464,0,3
1502662088,0,1
1502665678,1,1
1502669287,1,1
1502672873,0,3
1502676472,2,1
1502680066,1,2
1502687265,1,0
1502690861,0,1
1502694462,1,1
1502698069,0,1
1502701658,1,1
1502705282,1,0
1502712479,2,0
1502716044,0,1
1502719667,1,0
1502726882,2,0
1502734062,0,3
1502741262,0,2
1502744868,2,0
1502755693,1,0
1502759275,0,1
1502762881,1,0
1502770068,0,1
1502773670,1,0
1502777254,0,1
1502784460,1,0
1502795258,0,1
1502798873,1,1
1502806065,1,1
1502809670,1,0
1502813263,0,1
1502820468,0,2
1502824055,1,0
1502827663,0,2
1502838464,0,1
1502842090,5,0
1502845656,3,0
1502856491,0,2
1502863662,0,1
1502867252,4,0
1502874463,1,0
1502881639,0,1
1502888850,0,1
1502892459,0,1
1502896079,0,2
1502899658,5,0
1502906862,0,1
1502914072,0,3
1502917679,1,0
1502921284,2,2
1502928497,6,0
1502932081,2,1
1502935655,1,0
1502939261,2,2
1502942873,1,1
1502946478,1,0
1502953669,0,1
1502957259,1,1
1502960869,0,1
1502964471,0,1
