DateTime,AddedIPs,RemovedIPs
1502579355,9,2
1502582996,2,2
1502590147,7,2
1502593743,4,3
1502597345,1,4
1502600964,3,1
1502604512,1,3
1502608144,2,6
1502611755,3,5
1502615357,8,2
1502618940,3,1
1502622544,0,1
1502626144,0,4
1502629738,1,9
1502633336,6,2
1502636938,4,5
1502640537,2,4
1502644158,8,4
1502647755,6,3
1502651345,2,2
1502654946,4,3
1502658527,5,0
1502662151,0,5
1502665740,0,10
1502669350,10,0
1502672937,2,9
1502676535,8,1
1502680128,3,3
1502683728,4,7
1502687328,5,1
1502690924,2,2
1502694525,1,9
1502698134,10,0
1502701722,5,6
1502705345,4,0
1502708925,3,2
1502712544,4,1
1502716107,1,3
1502719732,1,1
1502723320,0,1
1502726945,0,6
1502730559,1,3
1502734126,1,13
1502737731,12,6
1502741326,13,3
1502744930,6,2
1502748541,0,1
1502752138,4,0
1502755753,0,6
1502759344,4,4
1502762943,3,2
1502766551,5,6
1502770131,3,1
1502773734,3,4
1502777317,1,4
1502780929,1,6
1502784523,9,3
1502788134,0,6
1502791739,8,4
1502795322,8,5
1502798936,3,15
1502802530,8,0
1502806130,8,1
1502809733,2,3
1502813327,3,5
1502816942,5,3
1502820531,3,5
1502824119,4,3
1502827726,1,4
1502831338,3,5
1502834929,11,0
1502838531,0,3
1502842157,4,1
1502845722,2,1
1502849323,0,9
1502852929,2,0
1502856555,0,2
1502860130,4,3
1502863725,1,6
1502867318,10,9
1502870917,4,1
1502874527,0,2
1502878132,2,3
1502881704,5,6
1502885335,1,1
1502888914,6,0
1502892523,3,1
1502896144,5,5
1502899721,5,0
1502903333,1,1
1502910523,0,1
1502914134,1,5
1502917746,0,1
1502921347,5,1
1502924911,2,1
1502928565,1,2
1502932148,1,8
1502935719,4,2
1502939323,3,3
1502942937,2,2
1502946541,3,2
1502950129,2,5
1502953732,3,1
1502957324,1,6
1502960932,7,2
1502964535,0,6
1502968128,6,5
1502971741,5,1
1502975325,3,1
1502978928,1,0
1502986127,1,3
1502989722,3,6
1502993328,2,3
1502996926,5,3
1503000541,7,1
1503011329,2,0
1503014959,0,5
1503018579,4,2
1503022159,2,7
1503025777,4,3
1503029348,1,0
1503032951,3,2
1503036533,0,3
1503040150,4,4
1503043761,3,5
1503047354,0,9
1503050960,8,7
1503054556,12,1
1503058139,2,2
1503061750,3,0
1503065351,1,4
1503068935,4,4
1503072554,6,3
1503076160,2,8
1503079774,6,3
1503083361,0,4
1503086943,1,4
1503090558,6,4
1503094134,10,2
1503097750,2,1
1503101389,4,1
1503104950,3,5
1503108556,0,8
1503112161,1,2
1503115765,2,10
1503119358,12,9
1503122960,6,1
1503126549,3,1
1503130149,8,1
1503133749,1,2
1503137369,0,2
1503140945,3,3
1503144540,1,7
1503148147,8,5
1503151742,3,4
1503155342,2,3
1503158968,1,2
1503162548,1,1
1503166161,7,7
1503169761,5,2
1503173351,0,1
1503176958,2,5
1503180531,7,0
1503184168,0,2
1503187789,4,1
1503191344,5,3
1503194966,1,5
1503198564,3,0
1503202182,0,1
1503205755,3,2
1503209342,1,1
1503212959,0,2
1503216555,1,2
1503220134,3,8
1503223751,2,5
1503227356,2,3
1503230956,2,5
1503234548,11,4
1503238150,3,3
1503241745,2,1
1503245371,4,0
1503248952,2,1
1503252578,2,4
1503256150,5,2
1503259748,0,2
1503263367,6,3
1503270560,2,3
1503274190,1,0
1503277753,1,5
1503281372,0,1
1503284960,4,5
1503288564,5,2
