DateTime,AddedIPs,RemovedIPs
1498777302,1,0
1498780901,1,0
1498788096,0,1
1498795295,0,1
1498802496,0,1
1498809696,1,0
1498813301,2,0
1498827698,0,2
1498852901,1,0
1498867303,0,1
1498870899,1,0
1498885300,0,1
1498917697,1,0
1498921300,2,0
1498932100,0,1
1498935701,0,3
1498939301,1,0
1498971703,0,1
1498975297,1,0
1499000497,1,0
1499014903,0,1
1499022100,1,0
1499036497,0,1
1499054491,0,1
1499058095,1,0
1499072492,0,1
1499076088,1,0
1499090490,0,1
1499094090,1,0
1499115692,0,1
1499119289,1,0
1499122892,2,0
1499133698,0,1
1499137301,0,1
1499140899,1,1
1499144500,1,0
1499155300,0,1
1499158897,0,1
1499169699,1,0
1499187700,0,1
1499191303,1,0
1499205699,1,0
1499216500,1,0
1499220100,0,1
1499230898,0,1
1499259701,0,1
1499263299,2,0
1499277699,1,1
1499284901,1,0
1499292097,0,1
1499299304,0,1
1499302910,0,1
1499306497,1,0
1499389299,1,0
1499400101,0,1
1499403702,0,1
1499418101,1,0
1499432502,1,1
1499436100,1,0
1499439700,1,0
1499446901,0,1
1499454099,0,1
1499504492,1,0
1499511698,0,1
1499518902,0,1
1499522499,1,0
1499529694,1,0
1499544098,0,1
1499565691,1,0
1499576492,0,1
1499580090,1,1
1499605292,1,0
1499619689,1,1
1499634093,0,1
1499637691,0,1
1499655691,1,0
1499670092,0,1
1499680890,1,0
1499695286,1,0
1499709691,0,1
1499774501,1,0
1499788902,0,1
1499824899,0,1
1499828501,1,0
1499842901,0,1
1499846504,2,0
1499860900,0,2
1499864497,1,0
1499907701,1,0
1499918493,0,1
1499925700,1,1
1499932902,1,0
1499947297,0,1
1499965302,1,0
1499979699,0,1
1500001298,0,1
1500008497,1,0
1500015694,1,0
1500026501,1,0
1500030094,0,1
1500040903,0,1
1500102096,0,1
1500109298,1,0
1500112902,1,0
1500123700,0,1
1500141700,0,1
1500145299,1,0
1500210093,0,1
1500217291,1,0
1500300088,1,0
1500303689,1,0
1500314492,0,1
1500318092,0,1
1500368499,1,0
1500372098,1,0
1500382895,0,1
1500386500,0,1
1500397297,1,0
1500429699,0,1
1500444099,0,1
1500454901,1,0
1500462102,1,0
1500465696,2,0
1500469301,0,1
1500476495,0,1
1500480097,1,1
1500494498,0,2
1500498095,2,0
1500512501,0,1
1500555701,0,1
1500566502,1,0
1500573700,1,0
1500580897,1,0
1500588097,0,1
1500595301,0,1
1500602495,1,0
1500613300,0,1
1500616900,0,1
1500627703,1,0
1500634898,2,0
1500642097,0,1
1500649261,0,3
1500652898,2,0
1500667298,0,1
1500703303,1,0
1500710501,1,0
1500721296,1,0
1500724899,0,1
1500728495,1,0
1500735699,0,2
1500742902,0,1
1500832891,1,0
1500847292,0,1
1500854495,1,0
1500858090,0,1
1500865291,1,0
1500868892,1,1
1500879692,0,1
1500883251,0,1
1500890492,2,0
1500894093,1,0
1500904890,0,2
1500908455,0,1
1500915691,1,0
1500980497,1,0
1500984100,0,1
1500994859,0,1
1500998505,1,0
1501012899,1,0
1501027303,0,1
1501041660,0,1
1501045295,1,0
1501048900,1,0
1501052499,1,0
1501063301,3,1
1501070504,1,1
1501074099,0,1
1501077703,0,3
1501081297,1,0
1501084899,0,1
1501102897,1,0
1501124498,0,1
1501131661,0,1
1501135298,2,0
1501149700,0,1
1501160499,1,0
1501174897,0,1
1501189263,0,1
1501192900,1,0
1501210899,1,0
1501225299,0,1
1501293704,1,0
1501308103,0,1
1501311701,1,0
1501318900,1,0
1501326100,0,1
1501333301,0,1
1501336897,1,0
1501344103,1,0
1501351304,1,0
1501354901,0,1
1501358502,0,1
1501365698,0,1
1501394498,1,0
1501408897,0,1
1501416097,1,0
1501430500,0,1
1501434099,1,0
1501448502,0,1
1501466497,1,0
1501473697,0,2
1501477298,2,0
1501480901,0,2
1501495301,1,0
1501498897,0,1
1501642900,1,0
1501675259,0,1
1501682501,1,0
1501718505,2,0
1501722093,1,0
1501732892,0,1
1501736491,0,1
1501743693,0,1
1501747293,1,0
1501761692,0,1
1501776051,0,1
1501779696,1,0
1501801251,0,1
1501815699,1,0
1501826498,2,0
1501837302,1,0
1501840900,0,2
1501855361,1,1
1501866102,1,0
1501869697,0,1
1501876900,1,0
1501887700,0,1
1501891265,0,2
1501898497,1,0
1501909295,1,0
1501920100,1,0
1501923700,0,1
1501934498,0,1
1501952462,0,1
1501966900,2,0
1501974098,1,0
1501981298,0,2
1502010099,1,0
1502020896,0,1
1502024498,1,1
1502038899,1,0
1502053293,0,1
1502060498,1,0
1502064102,0,1
1502067698,1,0
1502074897,1,0
1502078494,0,1
1502082097,0,1
1502096496,1,0
1502103697,1,0
1502110896,0,1
1502118098,0,1
1502132460,0,1
1502136099,1,0
1502146898,2,0
1502150501,1,0
1502161296,1,2
1502164903,0,1
1502172097,1,0
1502175699,0,1
1502182899,2,1
1502186502,1,1
1502190095,3,0
1502197296,0,1
1502204507,0,4
1502244054,0,1
1502247692,1,0
1502308893,1,0
1502319693,1,0
1502323296,0,1
1502334094,0,1
1502337687,1,0
1502341290,1,0
1502348489,1,0
1502352091,0,1
1502355692,0,1
1502362893,0,1
1502388053,0,1
1502398890,1,0
1502420497,1,0
1502431299,0,1
1502434863,0,1
1502442098,1,0
1502449298,1,0
1502463702,1,1
1502467298,1,0
1502478103,0,1
1502481699,0,1
1502488900,1,0
1502492501,0,1
1502496102,1,0
1502503300,0,1
1502524899,1,0
1502539295,0,1
1502546496,1,0
