DateTime,Entries,UniqueIPs
1498777302,3,3
1498780901,4,4
1498788096,3,3
1498795295,2,2
1498802496,1,1
1498809696,2,2
1498813301,4,4
1498827698,2,2
1498852901,3,3
1498867303,2,2
1498870899,3,3
1498885300,2,2
1498917697,3,3
1498921300,5,5
1498932100,4,4
1498935701,1,1
1498939301,2,2
1498971703,1,1
1498975297,2,2
1499000497,3,3
1499014903,2,2
1499022100,3,3
1499036497,2,2
1499054491,1,1
1499058095,2,2
1499072492,1,1
1499076088,2,2
1499090490,1,1
1499094090,2,2
1499115692,1,1
1499119289,2,2
1499122892,4,4
1499133698,3,3
1499137301,2,2
1499140899,2,2
1499144500,3,3
1499155300,2,2
1499158897,1,1
1499169699,2,2
1499187700,1,1
1499191303,2,2
1499205699,3,3
1499216500,4,4
1499220100,3,3
1499230898,2,2
1499259701,1,1
1499263299,3,3
1499277699,3,3
1499284901,4,4
1499292097,3,3
1499299304,2,2
1499302910,1,1
1499306497,2,2
1499389299,3,3
1499400101,2,2
1499403702,1,1
1499418101,2,2
1499432502,2,2
1499436100,3,3
1499439700,4,4
1499446901,3,3
1499454099,2,2
1499504492,3,3
1499511698,2,2
1499518902,1,1
1499522499,2,2
1499529694,3,3
1499544098,2,2
1499565691,3,3
1499576492,2,2
1499580090,2,2
1499605292,3,3
1499619689,3,3
1499634093,2,2
1499637691,1,1
1499655691,2,2
1499670092,1,1
1499680890,2,2
1499695286,3,3
1499709691,2,2
1499774501,3,3
1499788902,2,2
1499824899,1,1
1499828501,2,2
1499842901,1,1
1499846504,3,3
1499860900,1,1
1499864497,2,2
1499907701,3,3
1499918493,2,2
1499925700,2,2
1499932902,3,3
1499947297,2,2
1499965302,3,3
1499979699,2,2
1500001298,1,1
1500008497,2,2
1500015694,3,3
1500026501,4,4
1500030094,3,3
1500040903,2,2
1500102096,1,1
1500109298,2,2
1500112902,3,3
1500123700,2,2
1500141700,1,1
1500145299,2,2
1500210093,1,1
1500217291,2,2
1500300088,3,3
1500303689,4,4
1500314492,3,3
1500318092,2,2
1500368499,3,3
1500372098,4,4
1500382895,3,3
1500386500,2,2
1500397297,3,3
1500429699,2,2
1500444099,1,1
1500454901,2,2
1500462102,3,3
1500465696,5,5
1500469301,4,4
1500476495,3,3
1500480097,3,3
1500494498,1,1
1500498095,3,3
1500512501,2,2
1500555701,1,1
1500566502,2,2
1500573700,3,3
1500580897,4,4
1500588097,3,3
1500595301,2,2
1500602495,3,3
1500613300,2,2
1500616900,1,1
1500627703,2,2
1500634898,4,4
1500642097,3,3
1500649261,0,0
1500652898,2,2
1500667298,1,1
1500703303,2,2
1500710501,3,3
1500721296,4,4
1500724899,3,3
1500728495,4,4
1500735699,2,2
1500742902,1,1
1500832891,2,2
1500847292,1,1
1500854495,2,2
1500858090,1,1
1500865291,2,2
1500868892,2,2
1500879692,1,1
1500883251,0,0
1500890492,2,2
1500894093,3,3
1500904890,1,1
1500908455,0,0
1500915691,1,1
1500980497,2,2
1500984100,1,1
1500994859,0,0
1500998505,1,1
1501012899,2,2
1501027303,1,1
1501041660,0,0
1501045295,1,1
1501048900,2,2
1501052499,3,3
1501063301,5,5
1501070504,5,5
1501074099,4,4
1501077703,1,1
1501081297,2,2
1501084899,1,1
1501102897,2,2
1501124498,1,1
1501131661,0,0
1501135298,2,2
1501149700,1,1
1501160499,2,2
1501174897,1,1
1501189263,0,0
1501192900,1,1
1501210899,2,2
1501225299,1,1
1501293704,2,2
1501308103,1,1
1501311701,2,2
1501318900,3,3
1501326100,2,2
1501333301,1,1
1501336897,2,2
1501344103,3,3
1501351304,4,4
1501354901,3,3
1501358502,2,2
1501365698,1,1
1501394498,2,2
1501408897,1,1
1501416097,2,2
1501430500,1,1
1501434099,2,2
1501448502,1,1
1501466497,2,2
1501473697,0,0
1501477298,2,2
1501480901,0,0
1501495301,1,1
1501498897,0,0
1501642900,1,1
1501675259,0,0
1501682501,1,1
1501718505,3,3
1501722093,4,4
1501732892,3,3
1501736491,2,2
1501743693,1,1
1501747293,2,2
1501761692,1,1
1501776051,0,0
1501779696,1,1
1501801251,0,0
1501815699,1,1
1501826498,3,3
1501837302,4,4
1501840900,2,2
1501855361,2,2
1501866102,3,3
1501869697,2,2
1501876900,3,3
1501887700,2,2
1501891265,0,0
1501898497,1,1
1501909295,2,2
1501920100,3,3
1501923700,2,2
1501934498,1,1
1501952462,0,0
1501966900,2,2
1501974098,3,3
1501981298,1,1
1502010099,2,2
1502020896,1,1
1502024498,1,1
1502038899,2,2
1502053293,1,1
1502060498,2,2
1502064102,1,1
1502067698,2,2
1502074897,3,3
1502078494,2,2
1502082097,1,1
1502096496,2,2
1502103697,3,3
1502110896,2,2
1502118098,1,1
1502132460,0,0
1502136099,1,1
1502146898,3,3
1502150501,4,4
1502161296,3,3
1502164903,2,2
1502172097,3,3
1502175699,2,2
1502182899,3,3
1502186502,3,3
