DateTime,Entries,UniqueIPs
1504267688,9460,9565
1504268450,9453,9558
1504269153,9452,9557
1504269871,9447,9552
1504270842,9443,9548
1504271545,9435,9540
1504272256,9437,9542
1504272971,9445,9550
1504273703,9449,9554
1504274426,9442,9547
1504275152,9461,9566
1504275850,9452,9557
1504276575,9465,9570
1504277552,9452,9557
1504278504,9444,9549
1504279734,9450,9555
1504280442,9448,9553
1504281142,9449,9554
1504281860,9447,9552
1504282574,9435,9540
1504283289,9441,9546
1504284008,9442,9547
1504284731,9440,9545
1504285457,9438,9543
1504286192,9443,9548
1504286907,9448,9553
1504287610,9439,9544
1504288327,9445,9550
1504289058,9442,9547
1504289809,9435,9540
1504290511,9431,9536
1504291471,9432,9537
1504292198,9423,9528
1504292905,9435,9540
1504293617,9435,9540
1504294594,9423,9528
1504295304,9432,9537
1504296049,9440,9545
1504296744,9437,9542
1504297461,9442,9547
1504298425,9455,9560
1504299150,9453,9558
1504299866,9445,9550
1504300590,9437,9542
1504301305,9439,9544
1504302260,9445,9550
1504302989,9432,9537
1504303697,9434,9539
1504304435,9434,9539
1504305148,9438,9543
1504306095,9440,9545
1504306834,9420,9525
1504307556,9416,9521
1504308250,9422,9527
1504308991,9413,9518
1504309709,9413,9518
1504310422,9419,9524
1504311146,9423,9529
1504311866,9424,9532
1504312587,9428,9540
1504313309,9412,9527
1504314016,9429,9545
1504314732,9435,9553
1504315449,9441,9559
1504316172,9447,9565
1504316895,9443,9561
1504317630,9425,9543
1504318350,9423,9541
1504319057,9421,9539
1504319769,9431,9549
1504320498,9444,9562
1504321228,9441,9559
1504321945,9438,9556
1504322649,9446,9564
1504323372,9442,9560
1504324109,9437,9555
1504324847,9440,9558
1504325542,9446,9564
1504326261,9432,9550
1504326989,9435,9553
1504327704,9442,9560
1504328417,9443,9561
1504329150,9435,9553
1504329849,9440,9558
1504330590,9431,9549
1504331289,9438,9556
1504332050,9429,9547
1504332994,9437,9555
1504333980,9438,9556
1504334654,9435,9553
1504335370,9440,9560
1504336088,9438,9558
1504336827,9442,9562
1504337534,9446,9566
1504338262,9445,9565
1504338972,9450,9570
