DateTime,Entries,UniqueIPs
1504038970,7873,7873
1504039701,7883,7883
1504040422,7903,7903
1504041149,7876,7876
1504041852,7875,7875
1504042572,7861,7861
1504043565,7844,7844
1504044260,7827,7827
1504045408,7816,7816
1504046173,7805,7805
1504046894,7783,7783
1504047630,7805,7805
1504048353,7799,7799
1504049049,7786,7786
1504049778,7771,7771
1504050749,7778,7778
1504051460,7747,7747
1504052172,7782,7782
1504052891,7805,7805
1504053643,7803,7803
1504054342,7789,7789
1504055082,7786,7786
1504055769,7781,7781
1504056499,7776,7776
1504057208,7773,7773
1504057944,7780,7780
1504058656,7772,7772
1504059391,7786,7786
1504060356,7794,7794
1504061052,7786,7786
1504061773,7771,7771
1504062489,7769,7769
1504063235,7775,7775
1504064196,7751,7751
1504065157,7758,7758
1504066120,7759,7759
1504066813,7759,7759
1504067535,7747,7747
1504068255,7733,7733
1504068990,7754,7754
1504069951,7736,7736
1504070651,7725,7725
1504071377,7731,7731
1504072094,7735,7735
1504072848,7738,7738
1504073799,7740,7740
1504074757,7746,7746
1504075714,7761,7761
1504076409,7732,7732
1504077133,7737,7737
1504077852,7732,7732
1504078600,7753,7753
1504079304,7745,7745
1504080020,7754,7754
1504080730,7747,7747
1504081462,7743,7743
1504082434,7766,7766
1504083130,7744,7744
1504083862,7740,7740
1504084581,7694,7694
1504085306,7734,7734
1504086009,7735,7735
1504086731,7740,7740
1504087458,7770,7770
1504088198,7795,7795
1504089151,7781,7781
1504090118,7789,7789
1504090822,7793,7793
1504091535,7805,7805
1504092254,7806,7806
1504092991,7799,7799
1504093973,7801,7801
1504094668,7803,7803
1504095384,7806,7806
1504096100,7821,7821
1504096811,7802,7802
1504097789,7823,7823
1504098509,7826,7826
1504099223,7833,7833
1504099933,7840,7840
1504100654,7828,7828
1504101650,7825,7825
1504102328,7822,7822
1504103082,7816,7816
1504103769,7809,7809
1504104511,7825,7825
1504105470,7823,7823
1504106182,7831,7831
1504106907,7816,7816
1504107611,7834,7834
1504108350,7830,7830
1504109321,7846,7846
1504110017,7863,7863
1504110739,7857,7857
1504111449,7867,7867
1504112188,7874,7874
1504113157,7880,7880
1504113850,7900,7900
1504114590,7908,7908
1504115308,7921,7921
1504116024,7918,7918
1504117146,7912,7912
1504117945,7939,7939
1504118672,7887,7887
1504119381,7902,7902
1504120107,7912,7912
1504120824,7934,7934
1504121553,7929,7929
1504122251,7928,7928
1504122989,7919,7919
1504123699,7895,7895
1504124419,7893,7893
1504125132,7884,7884
1504125857,7855,7855
1504126586,7861,7861
1504127308,7858,7858
1504128274,7835,7835
1504129231,7841,7841
1504129939,7830,7830
1504130661,7810,7810
1504131373,7792,7792
1504132089,7789,7789
1504132808,7796,7796
1504133549,7801,7801
1504134261,7807,7807
1504134982,7797,7797
1504135687,7795,7795
1504136414,7803,7803
1504137129,7791,7791
1504137868,7792,7792
1504138581,7798,7798
1504139294,7814,7814
1504140025,7810,7810
1504140751,7811,7811
1504141456,7801,7801
1504142174,7813,7813
1504142888,7818,7818
1504143628,7811,7811
1504144341,7803,7803
1504145062,7801,7801
1504145773,7787,7787
1504146496,7780,7780
1504147470,7781,7781
1504148440,7814,7814
1504149148,7800,7800
1504149854,7790,7790
1504150569,7773,7773
1504151307,7794,7794
1504152279,7788,7788
1504153230,7803,7803
1504153943,7799,7799
1504154660,7813,7813
1504155368,7812,7812
1504156104,7804,7804
1504156811,7798,7798
1504157550,7788,7788
1504158261,7799,7799
1504158987,7796,7796
1504159957,7796,7796
1504160649,7795,7795
1504161392,7799,7799
1504162104,7803,7803
1504162835,7807,7807
1504163546,7812,7812
1504164252,7811,7811
1504164973,7829,7829
1504165703,7822,7822
1504166675,7824,7824
1504167633,7811,7811
1504168344,7814,7814
1504169061,7820,7820
1504169767,7820,7820
1504170496,7808,7808
1504171208,7823,7823
1504171953,7825,7825
1504172656,7829,7829
1504173383,7834,7834
1504174356,7861,7861
1504175300,7860,7860
1504176026,7866,7866
1504176746,7862,7862
1504177456,7866,7866
1504178170,7870,7870
1504179150,7877,7877
1504179855,7895,7895
1504180574,7893,7893
1504181549,7928,7928
1504182251,7933,7933
1504182975,7924,7924
1504183954,7909,7909
1504184903,7908,7908
1504185611,7910,7910
1504186357,7899,7899
1504187056,7918,7918
1504187786,7912,7912
1504188752,7904,7904
1504189450,7910,7910
1504190184,7901,7901
1504190895,7906,7906
1504191881,7890,7890
1504192822,7917,7917
