DateTime,Entries,UniqueIPs
1504080664,1676,1676
1504081714,1685,1685
1504083391,1684,1684
1504084239,1668,1668
1504085340,1670,1670
1504087767,1661,1661
1504089043,1659,1659
1504089796,1665,1665
1504090746,1657,1657
1504091735,1668,1668
1504093531,1671,1671
1504095066,1664,1664
1504096247,1662,1662
1504097152,1666,1666
1504098160,1656,1656
1504098866,1661,1661
1504099830,1660,1660
1504100746,1665,1665
1504102255,1660,1660
1504103443,1653,1653
1504104135,1654,1654
1504106459,1670,1670
1504107744,1669,1669
1504109661,1669,1669
1504110635,1669,1669
1504111523,1674,1674
1504112188,1681,1681
1504113033,1677,1677
1504113268,1682,1682
1504114258,1678,1678
1504115141,1674,1674
1504116649,1680,1680
1504118560,1690,1690
1504119839,1682,1682
1504120841,1697,1697
1504122032,1685,1685
1504122145,1686,1686
1504123767,1651,1651
1504124725,1660,1660
1504126892,1655,1655
1504127670,1664,1664
1504128507,1673,1673
1504129350,1664,1664
1504130791,1669,1669
1504131634,1680,1680
1504132962,1674,1674
1504134548,1680,1680
1504136109,1682,1682
1504138259,1695,1695
1504139313,1704,1704
1504140334,1715,1715
1504141862,1716,1716
1504143056,1722,1722
1504143934,1720,1720
1504145066,1726,1726
1504146029,1738,1738
1504147379,1744,1744
1504148210,1750,1750
1504149040,1756,1756
1504150114,1768,1768
1504151162,1757,1757
1504151818,1762,1762
1504152635,1767,1767
1504153571,1767,1767
1504154435,1767,1767
1504156288,1766,1766
1504157304,1772,1772
1504158992,1777,1777
1504159836,1782,1782
1504161088,1781,1781
1504161932,1791,1791
1504163457,1793,1793
1504164631,1795,1795
1504167038,1812,1812
1504168273,1835,1835
1504169131,1843,1843
1504169804,1846,1846
1504170679,1842,1842
1504171709,1849,1849
1504172568,1846,1846
1504173376,1848,1848
1504175081,1854,1854
1504175980,1849,1849
1504177008,1857,1857
1504177886,1855,1855
1504178906,1893,1893
1504180877,1890,1890
1504181734,1901,1901
1504183228,1908,1908
1504184185,1921,1921
1504185077,1927,1927
1504186229,1923,1923
1504187768,1939,1939
1504188649,1931,1931
1504188873,1934,1934
1504189882,1941,1941
1504190562,1945,1945
1504191394,1958,1958
1504192253,1957,1957
1504193435,1954,1954
1504194366,1955,1955
1504194991,1962,1962
1504195836,1967,1967
1504197059,1969,1969
1504197928,1977,1977
1504199692,1990,1990
1504200630,1988,1988
1504201373,1998,1998
1504202363,1988,1988
1504203331,1993,1993
1504204828,1997,1997
1504205684,2015,2015
1504206659,2015,2015
1504207532,2040,2040
1504208568,2037,2037
1504209387,2054,2054
1504210235,2057,2057
1504211155,2058,2058
1504212030,1839,1839
1504213853,1787,1787
1504214905,1807,1807
1504215971,1810,1810
1504217439,1801,1801
1504218672,1794,1794
1504219503,1802,1802
1504221044,1810,1810
1504221866,1819,1819
1504222702,1822,1822
1504224644,1833,1833
1504227658,1823,1823
1504228588,1836,1836
1504229315,1841,1841
1504230190,1834,1834
1504231170,1831,1831
1504232141,1844,1844
1504233037,1836,1836
1504234285,1842,1842
1504235329,1844,1844
1504235702,1844,1844
1504236505,1846,1846
1504237352,1837,1837
1504238175,1845,1845
1504239035,1847,1847
1504240842,1844,1844
1504241790,1848,1848
1504242638,1844,1844
1504244120,1847,1847
1504245030,1850,1850
1504246244,1860,1860
1504247306,1865,1865
1504248929,1859,1859
1504250125,1866,1866
1504251730,1874,1874
1504252544,1883,1883
1504253451,1885,1885
1504253677,1885,1885
1504254713,1875,1875
1504255543,1881,1881
1504256194,1883,1883
1504258238,1865,1865
1504259119,1868,1868
1504260025,1859,1859
1504260914,1873,1873
1504262146,1866,1866
1504262571,1866,1866
1504264297,1864,1864
1504266337,1870,1870
1504267486,1870,1870
1504268090,1873,1873
1504269120,1884,1884
1504269938,1876,1876
1504271436,1875,1875
1504272634,1867,1867
1504273592,1870,1870
1504274245,1879,1879
1504275038,1870,1870
1504277798,1871,1871
1504278695,1869,1869
1504279524,1868,1868
1504280438,1858,1858
1504281640,1869,1869
1504282533,1875,1875
1504283581,1872,1872
1504284170,1882,1882
1504284990,1890,1890
1504285842,1874,1874
1504286065,1874,1874
1504287811,1869,1869
1504289435,1874,1874
1504290304,1881,1881
1504291238,1869,1869
1504292190,1880,1880
1504293105,1870,1870
1504294241,1864,1864
1504295145,1875,1875
1504296408,1877,1877
1504296870,1880,1880
1504297869,1868,1868
1504298617,1871,1871
1504299462,1880,1880
1504300464,1879,1879
1504301305,1887,1887
1504302338,1875,1875
1504303676,1886,1886
1504304514,1895,1895
1504305643,1896,1896
1504307442,1912,1912
1504307665,1916,1916
1504308634,1908,1908
1504309394,1907,1907
1504311037,1913,1913
1504312105,1917,1917
1504314970,1931,1931
1504315852,1931,1931
1504316738,1943,1943
1504318184,1942,1942
1504319501,1947,1947
1504320333,1966,1966
1504322070,1973,1973
1504323795,1973,1973
1504325442,1987,1987
1504327352,1994,1994
1504329081,1995,1995
1504330231,1991,1991
1504331734,2006,2006
1504332638,2000,2000
1504333534,2014,2014
1504334607,2016,2016
1504336468,2026,2026
1504337310,2036,2036
1504338188,2025,2025
1504339034,2033,2033
1504339844,2037,2037
1504341647,2047,2047
1504343488,2064,2064
1504344939,2066,2066
1504346038,2074,2074
1504347044,2069,2069
1504349130,2067,2067
1504349790,2076,2076
1504350642,2068,2068
1504353592,2059,2059
1504354465,2070,2070
1504355406,2069,2069
1504356987,2080,2080
1504357866,2086,2086
1504358904,2102,2102
1504359752,2084,2084
1504361253,2083,2083
1504362687,2077,2077
1504363353,2081,2081
1504364189,2091,2091
1504365035,2083,2083
1504365896,2091,2091
1504366851,2069,2069
1504367766,2084,2084
1504368637,2082,2082
1504369715,2092,2092
1504370593,2081,2081
1504371436,2081,2081
1504372294,2072,2072
1504373124,2075,2075
1504374153,2061,2061
1504375260,2062,2062
1504376136,2234,2234
1504376977,2310,2310
1504377753,2347,2347
1504378644,2355,2355
1504379732,2349,2349
1504380639,2338,2338
1504381567,2343,2343
1504383037,2351,2351
1504384105,2358,2358
1504384953,2331,2331
1504386654,2331,2331
1504387705,2343,2343
1504388545,2333,2333
1504389673,2344,2344
1504390468,2349,2349
1504391679,2333,2333
1504394130,2308,2308
1504395772,2311,2311
1504396843,2311,2311
1504397732,2316,2316
1504398647,2307,2307
1504399527,2297,2297
1504400773,2295,2295
1504401659,2300,2300
1504402946,2292,2292
1504404866,2290,2290
1504405900,2280,2280
1504408231,2273,2273
1504409960,2273,2273
1504410970,2277,2277
1504411843,2273,2273
1504413031,2261,2261
1504413936,2262,2262
1504415779,2257,2257
1504416642,2242,2242
1504417537,2247,2247
1504419032,2244,2244
1504421084,2222,2222
1504421798,2224,2224
1504422644,2212,2212
1504423706,2209,2209
1504425461,2197,2197
1504426513,2186,2186
1504427571,2179,2179
1504428156,2175,2175
1504428992,2180,2180
1504429897,2168,2168
1504430911,2167,2167
1504431933,2162,2162
1504433671,2155,2155
1504434698,2156,2156
1504435610,2154,2154
1504436196,2158,2158
1504437044,2143,2143
1504437271,2148,2148
1504438240,2146,2146
1504439129,2147,2147
1504439990,2137,2137
1504440857,2145,2145
1504441709,2145,2145
1504444462,2140,2140
1504445436,2126,2126
1504446147,2128,2128
1504446993,2129,2129
1504447843,2130,2130
1504449044,2126,2126
1504450493,2123,2123
1504451426,2122,2122
1504452643,2122,2122
1504453536,2120,2120
1504454541,2115,2115
1504455356,2124,2124
1504456247,2122,2122
1504456959,2117,2117
1504458632,2128,2128
1504459890,2119,2119
1504460732,2134,2134
1504461390,2138,2138
1504462466,2136,2136
1504464062,2124,2124
1504465831,2095,2095
1504466724,2078,2078
1504467754,2082,2082
1504468772,2066,2066
1504469814,2074,2074
1504471231,2056,2056
1504473041,2063,2063
1504474103,2066,2066
1504476641,2031,2031
1504477502,2041,2041
