DateTime,Entries,UniqueIPs
1503866543,14470,14470
1503869445,14368,14368
1503870272,14350,14350
1503872433,14324,14324
1503873925,14270,14270
1503875435,14271,14271
1503876600,14262,14262
1503877528,14283,14283
1503878181,14296,14296
1503879325,14284,14284
1503880835,14267,14267
1503882142,14258,14258
1503883230,14289,14289
1503884071,14259,14259
1503884961,14260,14260
1503886234,14250,14250
1503887122,14280,14280
1503888146,14208,14208
1503888984,14231,14231
1503889842,14181,14181
1503890710,8244,8244
1503891925,14121,14121
1503893658,14125,14125
1503894631,14070,14070
1503895340,14063,14063
1503897263,14062,14062
1503898091,8244,8244
1503899129,14069,14069
1503900418,14071,14071
1503900922,14086,14086
1503901736,14110,14110
1503902849,14080,14080
1503904459,14138,14138
1503905426,14132,14132
1503906326,14140,14140
1503907489,14138,14138
1503908067,14156,14156
1503908938,14189,14189
1503909751,14173,14173
1503910586,14195,14195
1503911428,14194,14194
1503912629,14247,14247
1503914187,14525,14525
1503915031,14874,14874
1503916233,16921,16921
1503918633,17949,17949
1503919471,18018,18018
1503920321,18060,18060
1503922122,18151,18151
1503923306,18213,18213
1503924832,18210,18210
1503925831,18263,18263
1503926899,18372,18372
1503927928,18424,18424
1503928879,18488,18488
1503929727,18577,18577
1503930628,18629,18629
1503931485,18700,18700
1503932397,18771,18771
1503933326,18912,18912
1503934225,18994,18994
1503934945,19047,19047
1503936629,19169,19169
1503937700,19256,19256
1503938734,19258,19258
1503940177,19303,19303
1503941127,19344,19344
1503942139,19361,19361
1503943829,19392,19392
1503945746,19459,19459
1503946776,19505,19505
1503947726,19572,19572
1503948499,19632,19632
1503949340,19669,19669
1503950187,19728,19728
1503951029,19762,19762
1503952112,19853,19853
1503952953,19887,19887
1503954054,19962,19962
1503954927,20008,20008
1503955820,20000,20000
1503956544,20026,20026
1503958471,20087,20087
1503959424,20113,20113
1503960325,20144,20144
1503961829,20223,20223
1503962905,20339,20339
1503963747,20343,20343
1503964580,20414,20414
1503965433,20475,20475
1503965665,20501,20501
1503966629,20554,20554
1503968061,20695,20695
1503969030,20788,20788
1503969854,20871,20871
1503970941,20944,20944
1503971784,21016,21016
1503972629,21073,21073
1503973699,21202,21202
1503974726,21285,21285
1503976228,21404,21404
1503977299,21497,21497
1503979256,21535,21535
1503980067,21594,21594
1503981036,21606,21606
1503981926,21657,21657
1503983431,21731,21731
1503984468,21792,21792
1503985533,21810,21810
1503987261,21874,21874
1503988232,21873,21873
1503989113,8244,8244
1503990631,21922,21922
1503991704,21930,21930
1503992727,21892,21892
1503994228,21902,21902
1503995436,21901,21901
1503996144,21905,21905
1503997108,8244,8244
1503998125,21912,21912
1503998395,21911,21911
1503999321,22012,22012
1503999752,22054,22054
1504001678,22051,22051
1504002501,22076,22076
1504003539,22046,22046
1504005267,22113,22113
1504006223,22317,22317
1504007123,22971,22971
1504008602,24333,24333
1504009591,24566,24566
1504010432,24598,24598
1504011381,24674,24674
1504012228,24713,24713
1504013426,24722,24722
1504014321,24737,24737
1504016062,24747,24747
1504016862,24756,24756
1504017922,24753,24753
1504019249,8244,8244
1504020499,24779,24779
1504021416,24786,24786
1504023033,24844,24844
1504024228,24893,24893
1504025127,24938,24938
1504026629,8244,8244
1504027520,25093,25093
1504028541,25136,25136
1504029383,25195,25195
1504030460,25262,25262
1504031427,25322,25322
1504032146,25347,25347
1504035006,25344,25344
1504035750,25328,25328
1504036587,25333,25333
1504037428,25312,25312
1504038634,25294,25294
1504041235,25885,25885
1504042240,26784,26784
1504043132,27537,27537
1504044170,28266,28266
1504045232,29077,29077
1504046367,29770,29770
1504048236,30866,30866
1504048463,31009,31009
1504049441,31429,31429
1504050919,32093,32093
1504051833,32345,32345
1504052067,32454,32454
1504053329,32871,32871
1504055438,33034,33034
1504056463,33079,33079
1504059042,33110,33110
1504060242,33131,33131
1504061128,33160,33160
1504063226,33255,33255
1504064120,33240,33240
1504065323,33286,33286
1504066233,33291,33291
1504067453,33273,33273
1504068328,33290,33290
1504070063,33695,33695
1504071008,33925,33925
1504071753,33952,33952
1504073673,33995,33995
1504074630,33978,33978
1504075550,34015,34015
1504076374,34010,34010
1504077259,34043,34043
1504078100,34072,34072
1504080649,34015,34015
1504081705,34030,34030
1504083387,33963,33963
1504084235,33675,33675
1504085320,33693,33693
1504086286,8244,8244
1504087747,30805,30805
1504089034,30940,30940
1504089785,31022,31022
1504090733,31030,31030
1504091730,31127,31127
1504093524,31215,31215
1504095047,31246,31246
1504096231,31207,31207
1504097137,31229,31229
1504098148,31264,31264
1504098862,31593,31593
1504099817,8244,8244
1504100738,32288,32288
1504102229,32709,32709
1504103435,33029,33029
1504104122,8244,8244
1504105345,33545,33545
1504106436,33775,33775
1504107740,33906,33906
1504109657,8244,8244
1504110628,34232,34232
1504111508,34281,34281
1504112184,34333,34333
1504113029,34292,34292
1504113264,34306,34306
1504114246,34272,34272
1504115131,34289,34289
1504116639,34316,34316
1504118550,34379,34379
1504119829,34356,34356
1504120829,34438,34438
1504122027,34603,34603
1504122140,34623,34623
1504123751,34974,34974
1504124720,35203,35203
1504125632,35326,35326
1504127666,35720,35720
1504128503,35906,35906
1504129338,8244,8244
1504130781,36528,36528
1504131630,36786,36786
1504132951,36944,36944
1504134538,37115,37115
1504136103,8244,8244
1504138242,37468,37468
1504139309,37994,37994
1504140328,38098,38098
1504141838,38386,38386
1504143044,38562,38562
1504143929,39040,39040
1504145060,39476,39476
1504146025,39853,39853
1504147361,40245,40245
