DateTime,Entries,UniqueIPs
1504075537,12704,12704
1504076370,12650,12650
1504077255,12694,12694
1504078096,12725,12725
1504080631,12641,12641
1504081699,12705,12705
1504083379,12700,12700
1504084226,12672,12672
1504085307,12727,12727
1504086285,12676,12676
1504087736,12686,12686
1504089020,12682,12682
1504089771,12696,12696
1504090723,12704,12704
1504091721,12757,12757
1504093517,12788,12788
1504095036,12753,12753
1504096219,12736,12736
1504097125,12763,12763
1504098135,12743,12743
1504098857,12792,12792
1504100726,12763,12763
1504102224,12765,12765
1504103424,12727,12727
1504105330,12886,12886
1504106425,12982,12982
1504107735,13018,13018
1504110621,13062,13062
1504112176,13208,13208
1504113024,13181,13181
1504113256,13201,13201
1504114235,13205,13205
1504115120,13221,13221
1504116628,13266,13266
1504118539,13316,13316
1504119812,13306,13306
1504120817,13367,13367
1504122020,13313,13313
1504122136,13325,13325
1504123740,13348,13348
1504125620,13340,13340
1504127658,13359,13359
1504128499,13414,13414
1504130769,13347,13347
1504131622,13392,13392
1504132939,13371,13371
1504134527,13358,13358
1504138231,13373,13373
1504139301,13449,13449
1504140317,13397,13397
1504141827,13404,13404
1504143033,13355,13355
1504143921,13385,13385
1504145045,13402,13402
1504146017,13447,13447
1504147350,13427,13427
1504148201,13465,13465
1504149255,13409,13409
1504150097,13452,13452
1504151131,13364,13364
1504151777,13410,13410
1504152623,13382,13382
1504153539,13439,13439
1504154422,13374,13374
1504156240,13401,13401
1504157295,13457,13457
1504158980,13400,13400
1504159823,13382,13382
1504161045,13349,13349
1504161918,13414,13414
1504163432,13394,13394
1504164619,13360,13360
1504167028,13361,13361
1504168246,13321,13321
1504169117,13333,13333
1504169785,13360,13360
1504170639,13334,13334
1504171698,13399,13399
1504172550,13337,13337
1504173366,13384,13384
1504174227,13339,13339
1504175049,13383,13383
1504175925,13341,13341
1504176984,13391,13391
1504177852,13362,13362
1504178896,13432,13432
1504179754,13339,13339
1504180864,13333,13333
1504181722,13378,13378
1504183217,13365,13365
1504184176,13426,13426
1504185034,13378,13378
1504186217,13370,13370
1504187137,13400,13400
1504188627,13387,13387
1504188858,13397,13397
1504189840,13346,13346
1504190543,13357,13357
1504191381,13400,13400
1504192223,13365,13365
1504193417,13319,13319
1504194331,13371,13371
1504194981,13417,13417
1504195823,13337,13337
1504197031,13301,13301
1504197916,13299,13299
1504199667,13299,13299
1504200618,13245,13245
1504201347,13282,13282
1504202343,13235,13235
1504203317,13264,13264
1504204816,13214,13214
1504205675,13263,13263
1504206629,13245,13245
1504207519,13307,13307
1504208544,13291,13291
1504209379,13345,13345
1504210226,13316,13316
1504212018,13267,13267
1504212975,13320,13320
1504213833,13309,13309
1504214896,13383,13383
1504215928,13351,13351
1504217426,13355,13355
1504218647,13336,13336
1504219486,13384,13384
1504220697,13378,13378
1504221618,13443,13443
1504222680,13429,13429
1504224626,13449,13449
1504227608,13448,13448
1504228559,13504,13504
1504229297,13563,13563
1504230157,13496,13496
1504231142,13497,13497
1504232120,13566,13566
1504233021,13539,13539
1504234275,13599,13599
1504235275,13581,13581
1504235668,13602,13602
1504236496,13644,13644
1504237342,13604,13604
1504238167,13636,13636
1504239022,13602,13602
1504240823,13602,13602
1504241777,13650,13650
1504242625,13595,13595
1504244111,13608,13608
1504244997,13626,13626
1504246225,13643,13643
1504247296,13702,13702
1504248918,13693,13693
1504250091,13709,13709
1504252534,13752,13752
1504253431,13696,13696
1504253656,13712,13712
1504254649,13697,13697
1504255521,13741,13741
1504256177,13777,13777
1504257257,13747,13747
1504258221,13702,13702
1504259964,13694,13694
1504260787,13724,13724
1504262126,13698,13698
1504262547,13716,13716
1504264256,13700,13700
1504266318,13723,13723
1504267476,13664,13664
1504268067,13690,13690
1504269045,13753,13753
1504269923,13663,13663
1504271426,13688,13688
1504272619,13658,13658
1504273538,13718,13718
1504274210,13755,13755
1504275028,13652,13652
1504276937,13609,13609
1504277778,13660,13660
1504278642,13627,13627
1504279515,13696,13696
1504280421,13613,13613
1504281596,13583,13583
1504282516,13621,13621
1504283539,13552,13552
1504284140,13591,13591
1504284980,13652,13652
1504285824,13599,13599
1504286056,13617,13617
1504287781,13541,13541
1504289426,13548,13548
1504290294,13592,13592
1504291220,13529,13529
1504292178,13570,13570
1504293050,13473,13473
1504294222,13461,13461
1504295124,13533,13533
1504296398,13490,13490
1504296859,13518,13518
1504298566,13475,13475
1504299450,13525,13525
1504300455,13508,13508
1504301296,13553,13553
1504302324,13484,13484
1504303642,13498,13498
1504304478,13542,13542
1504305624,13466,13466
1504307428,13483,13483
