DateTime,AddedIPs,RemovedIPs
1501499737,1,1
1501505968,1,1
1501514072,0,1
1501517460,0,3
1501519243,1,0
1501522533,1,0
1501539033,1,0
1501567747,0,1
1501573363,0,1
1501574164,2,0
1501575047,0,2
1501577162,0,1
1501579839,0,1
1501580686,2,0
1501590652,0,2
1501600464,0,3
1501604071,5,1
1501624557,1,0
1501636240,1,0
1501643200,0,1
1501651834,0,1
1501654236,0,3
1501655433,0,8
1501665335,0,1
1501670124,1,1
1501677061,0,1
1501684117,1,0
1501685496,0,1
1501686470,1,0
1501691156,12,0
1501700642,0,1
1501709430,0,2
1501710168,0,1
1501743226,0,1
1501757796,1,0
1501758681,0,1
1501759786,0,1
1501766446,3,0
1501766974,1,0
1501775024,0,1
1501778580,0,1
1501839958,0,2
1501845087,0,1
1501848688,8,2
1501858529,0,1
1501859458,0,5
1501861564,0,1
1501865796,1,0
1501866645,1,1
1501881069,1,0
1501885908,1,0
1501886734,1,0
1501896595,0,1
1501900149,1,0
1501908156,0,1
1501924289,3,0
1501929043,0,2
1501935095,1,0
1501937000,0,1
1501943386,1,0
1501949482,0,1
1501949666,1,0
1501999901,0,1
1502001159,0,1
1502017838,0,3
1502020213,0,1
1502021440,1,0
1502033494,0,9
1502035651,0,2
1502037816,0,1
1502055036,1,0
1502055979,0,1
1502057440,1,1
1502059114,0,1
1502061925,0,2
1502068238,0,1
1502075665,2,0
1502084549,1,0
1502087454,1,1
1502093097,4,0
1502094653,2,0
1502096818,1,0
1502104543,1,0
1502105440,0,1
1502113258,0,1
1502116846,0,3
1502119830,0,1
1502122241,0,1
1502123432,3,0
1502183977,1,0
1502187268,3,0
1502188962,1,0
1502197630,0,4
1502203369,0,1
1502206847,1,0
1502211886,13,0
1502224242,0,1
1502231156,1,0
1502259043,0,2
1502260981,0,1
1502262872,0,2
1502266242,0,1
1502269484,1,0
1502271879,0,1
1502273441,1,0
1502275391,1,1
1502280869,1,0
1502281830,1,0
1502285617,0,1
1502289326,0,1
1502295040,1,0
1502304206,0,1
1502317777,0,1
1502338282,1,0
1502346643,2,0
1502353898,0,1
1502354744,6,0
1502356254,0,3
1502359837,0,1
1502361667,0,1
1502367055,3,0
1502368143,4,0
1502370648,1,0
1502374484,1,0
1502378072,1,0
1502379059,0,1
1502383394,0,1
1502388645,1,0
