DateTime,AddedIPs,RemovedIPs
1501776964,63,53
1501782724,66,61
1501786566,114,105
1501794245,106,117
1501801925,97,118
1501807683,74,86
1501811523,110,116
1501819217,60,96
1501821126,107,95
1501826884,142,144
1501832644,116,96
1501838645,58,52
1501844414,60,49
1501848244,116,95
1501854005,61,52
1501857844,69,55
1501861683,67,61
1501865523,63,52
1501869364,116,100
1501877043,112,108
1501884964,79,111
1501888804,52,67
1501894565,73,69
1501898413,104,112
1501904164,72,115
1501908003,93,89
1501913765,156,142
1501919523,50,40
1501923364,58,32
1501927215,53,44
1501929125,61,55
1501934883,79,88
1501938725,48,51
1501942564,65,50
1501948324,90,90
1501954323,59,56
1501958163,101,84
1501967765,89,107
1501971845,50,74
1501976165,48,69
1501980006,69,52
1501985764,97,107
1501989604,65,93
1501995366,152,162
1502001124,87,59
1502003046,53,50
1502006886,59,51
1502010725,55,49
1502016483,54,55
1502020323,66,61
1502024164,65,45
1502028012,89,81
1502034244,97,89
1502041925,57,66
1502045766,106,99
1502051523,60,66
1502053447,53,67
1502059204,50,78
1502064964,96,125
1502068805,39,88
1502074817,102,59
1502076724,78,99
1502078643,84,99
1502084404,76,91
1502086323,103,50
1502090405,59,57
1502098084,87,93
1502104083,85,101
1502111764,105,76
1502117523,110,77
1502125215,106,112
1502131205,69,63
1502137922,126,123
1502139844,64,75
1502143684,49,67
1502149685,116,137
1502159284,96,106
1502165056,161,183
1502172727,139,124
1502178484,63,59
1502182323,83,73
1502188326,71,44
1502190244,64,79
1502197924,93,80
1502203924,119,98
1502211623,100,92
1502217363,92,71
1502221684,85,77
1502223634,56,65
1502229364,96,135
1502235124,61,76
1502241364,121,129
1502247123,140,154
1502255044,156,174
1502262725,124,100
1502268483,104,78
1502278084,91,91
1502281923,63,48
1502286006,58,52
1502287925,63,57
1502291763,50,61
1502299444,114,82
1502303284,66,90
1502309044,112,102
1502314805,80,77
1502316965,39,96
1502321285,73,83
1502325125,93,66
1502328964,58,79
1502334725,140,134
1502340485,94,93
1502344323,146,138
1502350084,62,62
1502355845,97,96
1502363764,108,78
1502369765,50,62
1502373615,103,81
1502379363,61,59
1502385124,119,98
1502391618,112,121
1502399284,116,131
1502403123,72,88
1502408883,63,102
1502414644,136,122
1502420412,143,165
1502426163,102,102
1502430244,59,90
1502434323,148,94
1502442019,55,47
1502445844,55,65
1502447764,53,52
1502451605,100,109
1502459284,128,94
1502468884,118,109
1502472725,69,67
1502476563,83,78
1502480406,74,92
1502484245,104,117
1502490003,52,73
1502493844,56,90
1502497685,106,70
1502499612,63,63
1502503444,65,86
1502511124,163,201
1502515205,85,76
1502519043,68,66
1502524815,68,47
1502526723,105,81
1502534885,114,100
1502543044,109,103
1502549044,65,58
1502552885,112,99
1502558644,79,79
1502564412,110,125
1502570163,67,60
1502575925,94,130
1502581683,59,80
1502585523,135,129
1502591286,71,77
1502597044,169,178
1502602805,73,100
1502604724,81,49
1502610484,114,75
1502620084,89,81
1502624164,63,66
1502629925,117,114
1502633765,75,66
1502637845,75,58
1502641686,60,52
1502645526,54,54
1502649606,63,71
1502655364,109,128
1502659444,66,76
1502665224,102,145
1502670963,75,92
1502676724,130,116
1502684405,178,190
1502688245,75,103
1502694013,143,104
1502701684,102,91
1502707686,68,77
1502711524,122,95
1502719221,120,114
1502725209,80,74
1502729044,66,59
1502733371,64,71
1502735284,85,65
1502741525,112,98
1502747522,96,155
1502753284,70,92
1502757123,98,83
1502761206,113,141
1502768883,97,108
1502774884,175,183
1502780883,142,109
1502786644,65,50
1502788563,70,62
1502794323,114,116
1502802017,67,76
1502805843,130,92
1502813523,104,108
1502819284,108,113
1502825763,123,118
1502835363,106,135
1502841125,123,144
1502846884,57,70
1502852644,145,152
1502860804,152,178
1502866565,132,112
1502875204,120,89
1502880963,57,47
1502882883,54,74
1502888644,105,107
1502894404,129,105
1502900165,106,71
1502904004,75,68
1502910012,123,122
1502917923,115,162
1502921764,70,93
1502929443,140,142
1502933284,102,126
1502940963,98,109
1502946724,151,183
1502954407,149,120
1502960164,117,79
1502967843,110,109
1502975764,94,93
1502979603,86,62
1502985615,119,107
1502993770,110,124
1502999524,72,79
1503005284,113,134
1503011524,107,134
1503017283,92,82
1503019204,59,91
1503024964,147,170
1503032644,167,172
1503040323,147,106
1503046083,111,89
1503055684,115,113
1503059524,120,107
1503065283,83,76
1503072963,129,105
1503078964,80,66
1503081124,80,82
1503086884,121,117
1503090724,72,79
1503098404,100,172
1503102244,98,63
1503108022,116,129
1503115684,147,194
1503119524,88,97
1503125283,139,103
1503131284,63,61
1503137044,112,85
1503142804,110,107
1503150723,61,58
1503154564,89,62
1503158414,104,92
1503164403,50,72
1503168244,101,104
1503176165,103,119
1503182164,64,72
1503188403,119,137
1503196084,115,119
1503201844,76,103
1503203763,148,172
1503211445,104,74
1503215284,64,54
1503219124,106,81
1503224885,113,97
1503234485,121,98
1503238324,84,60
1503244084,68,73
1503247924,73,61
1503249846,105,122
1503257525,81,79
1503261364,67,82
1503263284,75,71
1503270964,101,151
1503274804,79,101
1503280816,114,110
1503286565,77,103
1503292326,141,185
1503298084,111,81
1503301925,106,88
1503307685,72,50
1503313444,107,105
1503319207,76,77
1503323046,76,63
1503326885,70,57
1503332644,127,87
1503337205,88,74
1503342963,68,75
1503344885,135,128
1503352565,119,159
1503358323,133,144
1503366004,121,130
1503373684,74,97
1503377523,95,116
1503381364,79,91
1503383283,98,65
1503387123,75,53
1503390964,69,45
1503396723,111,97
1503402724,64,81
1503404658,71,71
1503410644,134,105
1503416644,79,65
1503420483,111,107
1503430083,120,130
1503435843,107,125
1503443764,76,135
1503447604,101,77
1503451444,50,87
1503455524,158,161
1503461284,114,111
1503467043,72,83
1503470883,87,70
1503474723,70,71
1503476643,72,49
1503480483,61,55
1503486964,66,76
1503488883,109,112
1503496819,114,107
1503502563,85,67
1503506406,76,74
1503512164,113,111
1503517923,86,66
1503521764,67,68
1503523685,106,75
1503529684,93,179
1503535443,145,119
1503545045,146,157
1503548885,98,103
1503554644,139,137
1503562323,106,90
1503568323,57,59
1503572170,56,57
1503576964,76,64
1503578882,66,69
1503582724,61,55
1503588484,122,110
1503592324,104,91
1503600005,73,57
1503605762,116,108
1503609604,72,75
1503615846,85,140
1503623524,113,125
1503629282,139,147
1503636964,139,158
1503644643,131,102
1503650404,91,89
1503658084,102,88
1503665765,107,87
1503669613,70,67
1503677523,60,50
1503679443,61,65
1503681362,63,70
