DateTime,Entries,UniqueIPs
1503384036,4645,4736
1503385936,4654,4745
1503387854,4654,4746
1503389801,4650,4742
1503391707,4645,4738
1503393862,4637,4730
1503395786,4637,4730
1503397702,4626,4720
1503399615,4625,4719
1503401528,4618,4712
1503403467,4606,4700
1503405616,4596,4689
1503407567,4597,4690
1503409701,4593,4685
1503411612,4601,4693
1503413553,4606,4698
1503415461,4620,4712
1503419290,4622,4714
1503421240,4612,4705
1503423147,4615,4711
1503425083,4613,4710
1503426972,4609,4706
1503428918,4601,4698
1503430840,4600,4697
1503432753,4604,4701
1503434675,4607,4705
1503436583,4614,4712
1503438502,4612,4710
1503440657,4615,4713
1503442588,4612,4710
1503444505,4628,4726
1503446454,4626,4722
1503448346,4626,4721
1503450264,4624,4717
1503452170,4621,4714
1503454115,4596,4686
1503456028,4612,4702
1503457986,4597,4688
1503459857,4603,4694
1503461806,4580,4671
1503463690,4592,4683
1503465635,4582,4672
1503467547,4586,4675
1503469460,4567,4655
1503471386,4581,4670
1503473324,4578,4663
1503475220,4569,4655
1503477159,4566,4651
1503479062,4571,4655
1503480997,4553,4636
1503483169,4534,4617
1503485053,4532,4615
1503486978,4517,4600
1503488892,4506,4589
1503490850,4496,4579
1503492745,4487,4570
1503494674,4478,4561
1503496843,4476,4558
1503498751,4478,4560
1503500663,4464,4543
1503502572,4470,4549
1503504496,4459,4537
1503506435,4444,4521
1503510254,4432,4504
1503512200,4418,4488
1503514095,4409,4479
1503516015,4393,4462
1503517951,4382,4452
1503519872,4385,4455
1503521787,4370,4439
1503523692,4368,4437
1503525646,4362,4431
1503527550,4359,4428
1503529705,4351,4420
1503531616,4343,4412
1503533558,4341,4410
1503537397,4331,4400
1503539308,4333,4402
1503541235,4328,4397
1503543162,4313,4382
1503545072,4308,4377
1503546970,4297,4366
1503548894,4291,4361
1503550847,4276,4346
1503552755,4266,4336
1503554688,4267,4337
1503556589,4263,4333
1503558509,4265,4335
1503560415,4266,4337
1503562333,4261,4332
1503564252,4257,4327
1503566441,4244,4314
1503568351,4234,4304
1503570255,4228,4298
1503572194,4203,4273
1503574116,4195,4265
1503576048,4203,4273
1503577959,4192,4262
1503579860,4193,4263
1503581788,4190,4260
1503583708,4194,4264
1503585612,4204,4274
1503587555,4205,4275
1503589473,4199,4269
1503591424,4197,4269
1503593325,4197,4269
1503595238,4197,4270
1503597161,4194,4267
1503599107,4203,4276
1503600995,4199,4271
1503602915,4201,4275
1503604843,4211,4284
1503606757,4208,4281
1503608679,4204,4277
1503610598,4208,4281
1503612497,4201,4274
1503614410,4213,4286
1503618272,4189,4262
1503620196,4200,4273
1503624017,4190,4262
1503625934,4191,4264
1503627863,4193,4265
1503629791,4198,4270
1503631710,4172,4244
1503635553,4155,4227
1503637473,4163,4236
1503639389,4152,4224
1503641308,4152,4225
1503643232,4134,4206
1503645152,4127,4198
1503647055,4136,4207
1503648971,4141,4212
1503650897,4136,4207
1503652838,4109,4180
1503656671,4096,4166
1503658573,4100,4170
1503660490,4101,4171
1503664359,4102,4172
1503670092,4053,4123
1503672271,4055,4125
1503674197,4059,4129
1503676097,4059,4130
1503678041,4071,4142
1503679957,4080,4151
1503681861,4087,4158
1503683786,4089,4160
1503687641,4083,4154
1503689555,4077,4148
1503691467,4076,4147
1503693400,4076,4147
1503695327,4075,4145
1503697238,4078,4149
1503699153,4077,4148
1503701068,4079,4149
1503703014,4078,4148
1503704914,4073,4142
1503706823,4066,4135
1503708755,4063,4131
1503710662,4056,4124
1503712575,4066,4133
1503716448,4052,4118
1503718355,4053,4120
1503720282,4034,4103
1503722175,4042,4111
1503724114,4058,4130
1503726020,4051,4124
1503727943,4047,4120
1503729856,4040,4113
1503731790,4037,4110
1503733711,4030,4103
1503735631,4006,4079
1503737533,3991,4064
1503739457,3976,4049
1503743326,3976,4049
1503745225,3972,4045
1503747136,3969,4042
1503749075,3967,4040
1503750994,3961,4034
1503752913,3957,4031
1503754820,3951,4025
1503756734,3949,4023
1503758657,3940,4014
1503760843,3938,4012
1503762757,3935,4009
1503764674,3937,4011
1503766578,3941,4012
1503768511,3939,4010
1503770446,3940,4011
1503772597,3951,4022
1503774514,3948,4019
1503776434,3941,4012
1503780273,3923,3994
1503782174,3928,3999
1503784100,3935,4006
1503786260,3944,4016
1503788168,3946,4018
1503790364,3956,4028
1503792266,3946,4018
1503794173,3937,4009
1503796092,3949,4021
1503798026,3944,4016
1503799953,3943,4012
1503801855,3937,4005
1503803774,3933,4001
1503805707,3936,4004
1503807611,3931,3999
1503809533,3938,4006
1503811453,3951,4019
1503813390,3949,4017
1503815294,3962,4030
1503817224,3955,4023
1503819147,3960,4028
1503821060,3969,4037
1503822973,3966,4033
1503824908,3963,4030
1503826827,3962,4029
1503828737,3966,4033
1503830652,3969,4036
1503832583,3970,4037
1503834491,3975,4042
1503836436,3971,4038
1503838346,3964,4031
1503840313,3961,4029
1503842170,3955,4023
1503844089,3952,4020
1503846019,3952,4020
1503847931,3959,4028
1503849853,3952,4021
1503851774,3941,4010
1503853690,3937,4006
1503855625,3942,4011
1503857430,3952,4021
1503859450,3952,4021
1503861370,3958,4026
1503863293,3950,4019
1503865217,3958,4027
1503867139,3956,4025
1503869586,3960,4029
1503871452,3953,4023
1503873638,3966,4037
1503875551,3969,4040
1503877469,3966,4036
1503879371,3971,4041
1503881293,3963,4033
1503883227,3963,4034
1503885149,3963,4034
1503887123,3953,4025
1503888979,3949,4021
1503890891,3954,4026
1503894750,3940,4012
1503896656,3935,4007
1503898576,3935,4007
1503900509,3936,4008
1503902436,3935,4007
1503904346,3938,4010
1503906261,3942,4014
1503908245,3937,4009
1503910113,3929,4001
1503912034,3927,3999
1503913937,3923,3995
1503915868,3926,3998
1503917776,3926,3998
1503919701,3925,3997
1503921653,3928,4000
1503923550,3931,4003
1503925479,3930,4002
1503927378,3942,4014
1503929298,3949,4021
1503931236,3950,4022
1503933161,3952,4024
1503935068,3958,4029
1503937014,3957,4028
1503938895,3961,4032
1503944681,3954,4024
1503946573,3953,4023
1503948497,3955,4025
1503950443,3953,4023
1503952849,3951,4021
1503954756,3948,4018
1503956661,3954,4025
1503959003,3957,4029
1503960970,3954,4026
1503962893,3958,4030
1503966750,3956,4028
1503968663,3957,4029
1503970575,3945,4016
1503972490,3950,4020
1503976351,3936,4006
1503978254,3928,3997
1503980171,3925,3994
1503982097,3919,3987
1503984042,3918,3986
1503987852,3907,3973
1503989773,3902,3968
1503991704,3895,3962
1503993620,3897,3964
1503995551,3886,3952
1503997463,3881,3946
1503999387,3875,3940
1504001305,3865,3930
1504005131,3857,3922
1504007061,3860,3925
1504008994,3857,3922
1504010890,3861,3926
1504012830,3863,3928
1504014743,3865,3930
1504016653,3869,3934
1504018843,3864,3929
1504020742,3852,3917
1504022660,3861,3927
1504026489,3833,3899
1504028422,3828,3893
1504030598,3829,3893
1504032495,3830,3893
1504039226,3828,3891
1504041146,3828,3891
1504043066,3829,3892
1504045404,3826,3889
1504047374,3818,3881
1504049290,3813,3876
1504051236,3804,3867
1504053146,3781,3844
1504055078,3781,3844
1504056970,3784,3848
1504060829,3765,3829
1504062757,3772,3836
1504064652,3759,3825
1504066586,3755,3821
1504068507,3727,3792
1504070437,3727,3793
1504072341,3735,3801
1504074257,3744,3812
1504076184,3732,3800
1504078104,3730,3798
1504081938,3704,3772
1504083859,3698,3766
1504085787,3687,3755
1504087702,3681,3750
1504089617,3680,3749
1504091531,3685,3754
1504093455,3682,3751
1504095381,3682,3751
1504097311,3682,3751
1504099216,3680,3749
1504101134,3685,3754
1504103065,3698,3767
1504104988,3711,3780
1504106904,3713,3782
1504108830,3719,3789
1504110735,3716,3786
1504112670,3720,3790
1504114584,3730,3801
1504117142,3729,3799
1504119140,3724,3794
1504121051,3720,3790
1504122985,3725,3795
1504124905,3727,3798
1504126811,3729,3800
1504128749,3728,3799
1504130657,3724,3795
1504132571,3720,3791
1504134490,3730,3801
1504136410,3730,3804
1504138329,3742,3816
1504140252,3741,3815
1504142170,3753,3827
