DateTime,Entries,UniqueIPs
1498889763,1244,1244
1498900783,1247,1247
1498911783,1249,1249
1498922688,1250,1250
1498933645,1251,1251
1498944725,1250,1250
1498955583,1254,1254
1498966665,1259,1259
1498977594,1262,1262
1498988541,1262,1262
1498999680,1265,1265
1499010667,1265,1265
1499021743,1264,1264
1499032765,1272,1272
1499043642,1274,1274
1499054655,1269,1269
1499065550,1262,1262
1499076467,1259,1259
1499087498,1256,1256
1499098278,1256,1256
1499109294,1259,1259
1499120164,1257,1257
1499131204,1260,1260
1499142066,1256,1256
1499152967,1252,1252
1499164106,1252,1252
1499174839,1250,1250
1499185788,1244,1244
1499196615,1237,1237
1499207516,1232,1232
1499218511,1227,1227
1499229639,1227,1227
1499240436,1226,1226
1499251397,1220,1220
1499262506,1223,1223
1499273786,1217,1217
1499284810,1219,1219
1499296130,1220,1220
1499307049,1216,1216
1499318119,1213,1213
1499328924,1207,1207
1499339900,1204,1204
1499350840,1200,1200
1499361521,1201,1201
1499372778,1204,1204
1499384210,1215,1215
1499395402,1220,1220
1499406518,1225,1225
1499417214,1227,1227
1499428117,1231,1231
1499439372,1236,1236
1499450431,1238,1238
1499461700,1238,1238
1499472703,1239,1239
1499483630,1241,1241
1499494580,1244,1244
1499505443,1245,1245
1499516292,1241,1241
1499527181,1234,1234
1499538028,1233,1233
1499549052,1229,1229
1499560351,1227,1227
1499571263,1228,1228
1499582356,1229,1229
1499593327,1235,1235
1499603898,1235,1235
1499615044,1234,1234
1499626236,1236,1236
1499637338,1236,1236
1499648399,1240,1240
1499659356,1239,1239
1499670213,1242,1242
1499681544,1240,1240
1499692532,1234,1234
1499703607,1230,1230
1499714508,1229,1229
1499725581,1228,1228
1499736659,1230,1230
1499747710,1218,1218
1499760240,1212,1212
1499772418,1201,1201
1499786209,1205,1205
1499797225,1201,1201
1499808155,1204,1204
1499819458,1204,1204
1499830507,1206,1206
1499841603,1197,1197
1499852344,1190,1190
1499863259,1187,1187
1499874372,1180,1180
1499885483,1178,1178
1499896524,1177,1177
1499907536,1177,1177
1499918364,1178,1178
1499928868,1172,1172
1499940050,1174,1174
1499951014,1173,1173
1499962047,1178,1178
1499973130,1176,1176
1499984478,1174,1174
1499995442,1178,1178
1500006416,1168,1168
1500017434,1163,1163
1500028477,1161,1161
1500039581,1159,1159
1500050562,1156,1156
1500061655,1155,1155
1500072557,1155,1155
1500083730,1155,1155
1500094847,1145,1145
1500105538,1145,1145
1500116459,1141,1141
1500127464,1141,1141
1500138144,1143,1143
1500148952,1140,1140
1500160106,1143,1143
1500171092,1150,1150
1500182210,1146,1146
1500193160,1148,1148
1500204213,1147,1147
1500215154,1151,1151
1500225745,1143,1143
1500236857,1142,1142
1500247895,1140,1140
1500258972,1137,1137
1500269865,1133,1133
1500280693,1133,1133
1500291783,1131,1131
1500302851,1130,1130
1500313878,1128,1128
1500324966,1123,1123
1500336036,1119,1119
1500347063,1118,1118
1500358103,1123,1123
1500369093,1121,1121
1500380148,1127,1127
1500391207,1130,1130
1500402272,1131,1131
1500413174,1130,1130
1500424090,1126,1126
1500434746,1124,1124
1500445630,1128,1128
1500456506,1129,1129
1500467490,1133,1133
1500478837,1131,1131
1500489678,1135,1135
1500500559,1136,1136
1500511663,1134,1134
1500522475,1132,1132
1500533349,1133,1133
1500544310,1136,1136
1500555231,1134,1134
1500566006,1130,1130
1500576845,1130,1130
1500587758,1129,1129
1500621177,1120,1120
1500632079,1121,1121
1500643187,1118,1118
1500654190,1111,1111
1500665164,1111,1111
1500675654,1114,1114
1500686597,1113,1113
1500697692,1117,1117
1500708659,1122,1122
1500719729,1123,1123
1500730812,1123,1123
1500741783,1124,1124
1500752742,1122,1122
1500763839,1120,1120
1500774958,1123,1123
1500785812,1129,1129
1500796792,1132,1132
1500807813,1133,1133
1500818788,1136,1136
1500829706,1141,1141
1500840736,1136,1136
1500851649,1142,1142
1500862505,1140,1140
1500873448,1140,1140
1500884357,1139,1139
1500895359,1131,1131
1500906513,1134,1134
1500917287,1135,1135
1500928335,1135,1135
1500938925,1126,1126
1500949843,1120,1120
1500960761,1116,1116
1500971451,1116,1116
1500982369,1121,1121
1500993093,1118,1118
1501004137,1118,1118
1501015006,1118,1118
1501025630,1112,1112
1501036548,1108,1108
1501047594,1107,1107
1501058407,1111,1111
1501069394,1115,1115
1501080272,1121,1121
1501090803,1114,1114
1501101788,1120,1120
1501112577,1121,1121
1501123248,1126,1126
1501134136,1127,1127
1501144505,1127,1127
1501154713,1127,1127
1501164963,1131,1131
1501175845,1130,1130
1501186734,1127,1127
1501196332,1129,1129
1501207291,1132,1132
1501218046,1128,1128
1501228383,1127,1127
1501239219,1125,1125
1501250087,1123,1123
1501261086,1124,1124
1501271797,1127,1127
1501282708,1127,1127
1501293434,1123,1123
1501304458,1126,1126
1501315561,1128,1128
1501326057,1129,1129
1501336974,1132,1132
1501348065,1137,1137
1501358786,1138,1138
1501369923,1141,1141
1501381173,1134,1134
1501392478,1133,1133
1501403435,1134,1134
1501414283,1127,1127
1501425325,1129,1129
1501436507,1130,1130
1501447705,1133,1133
1501457881,1131,1131
1501468438,1134,1134
1501479322,1137,1137
1501490359,1140,1140
1501501379,1141,1141
1501512708,1143,1143
1501523628,1148,1148
1501534763,1147,1147
1501545692,1146,1146
1501556198,1145,1145
1501567241,1147,1147
1501578397,1149,1149
1501589504,1155,1155
1501600682,1159,1159
1501612332,1171,1171
1501623314,1168,1168
1501634390,1174,1174
1501645344,1181,1181
1501656498,1193,1193
1501667352,1199,1199
1501678195,1209,1209
1501689107,1211,1211
1501699964,1211,1211
1501710717,1224,1224
1501722078,1221,1221
1501732943,1230,1230
1501743844,1233,1233
1501754768,1237,1237
1501765646,1231,1231
1501776685,1234,1234
1501787560,1229,1229
1501798527,1234,1234
1501809610,1232,1232
1501820481,1230,1230
1501831398,1227,1227
1501842439,1225,1225
1501853483,1225,1225
1501864581,1220,1220
1501875491,1218,1218
1501886391,1215,1215
1501897393,1212,1212
1501908514,1215,1215
1501919498,1217,1217
1501930275,1215,1215
1501941696,1215,1215
1501952792,1216,1216
1501963896,1213,1213
1501974969,1209,1209
1501985908,1207,1207
1501996927,1203,1203
1502007732,1199,1199
1502018580,1201,1201
1502029665,1201,1201
1502040738,1201,1201
1502051884,1197,1197
1502062708,1193,1193
1502073813,1189,1189
1502084863,1185,1185
1502095849,1184,1184
1502106844,1186,1186
1502117776,1185,1185
1502128891,1185,1185
1502139814,1183,1183
1502150485,1178,1178
1502161681,1178,1178
1502172759,1177,1177
1502183734,1174,1174
1502194393,1169,1169
1502205313,1168,1168
1502216247,1164,1164
1502227187,1161,1161
1502238397,1155,1155
1502249606,1149,1149
1502260418,1150,1150
1502271242,1144,1144
1502282121,1138,1138
1502293152,1133,1133
1502304023,1133,1133
1502314860,1134,1134
1502325696,1138,1138
1502336478,1143,1143
1502347441,1141,1141
1502358302,1144,1144
1502369175,1141,1141
1502380301,1137,1137
1502391555,1133,1133
1502402695,1130,1130
1502413676,1135,1135
1502424628,1134,1134
1502435674,1136,1136
1502446670,1138,1138
1502457406,1133,1133
1502468238,1136,1136
1502479176,1144,1144
1502490138,1153,1153
1502501030,1149,1149
1502511790,1154,1154
1502522920,1160,1160
1502533910,1170,1170
1502544985,1175,1175
1502555924,1179,1179
1502567023,1180,1180
1502578302,1185,1185
1502589393,1186,1186
1502600211,1196,1196
1502611288,1203,1203
1502622429,1206,1206
1502633381,1206,1206
1502644494,1206,1206
1502655743,1211,1211
1502666827,1209,1209
1502678012,1208,1208
1502689214,1211,1211
1502700229,1210,1210
1502711139,1205,1205
1502722113,1211,1211
1502733199,1213,1213
1502743991,1214,1214
1502754859,1214,1214
1502765623,1208,1208
1502776390,1204,1204
1502787550,1206,1206
1502798203,1200,1200
1502809292,1200,1200
1502819917,1202,1202
1502830843,1207,1207
1502841695,1206,1206
1502852636,1201,1201
1502863480,1203,1203
1502874738,1211,1211
1502885772,1212,1212
1502896816,1205,1205
1502908097,1198,1198
1502919088,1186,1186
1502930413,1176,1176
1502941408,1174,1174
1502951534,1168,1168
1502962412,1160,1160
1502973290,1156,1156
1502984660,1151,1151
1502995639,1145,1145
1503006435,1142,1142
1503017701,1141,1141
1503028615,1144,1144
1503039352,1141,1141
1503050222,1145,1145
1503061182,1143,1143
1503072382,1147,1147
1503083452,1151,1151
1503095005,1144,1144
1503105947,1141,1141
1503116870,1146,1146
1503128021,1150,1150
1503138852,1154,1154
1503149659,1151,1151
1503160285,1150,1150
1503171353,1146,1146
1503182334,1143,1143
1503193338,1151,1151
1503204509,1155,1155
1503215416,1161,1161
1503226243,1160,1160
1503237312,1158,1158
1503248435,1157,1157
1503259456,1157,1157
1503270503,1155,1155
1503281607,1157,1157
1503292453,1156,1156
1503303322,1153,1153
1503314294,1147,1147
1503325364,1146,1146
1503337215,1144,1144
1503348421,1146,1146
1503376041,1132,1132
1503387028,1130,1130
1503398148,1134,1134
1503409206,1129,1129
1503420178,1124,1124
1503431260,1126,1126
1503442240,1120,1120
1503453332,1116,1116
1503464152,1119,1119
1503474977,1121,1121
1503486014,1123,1123
1503497219,1132,1132
1503508218,1136,1136
1503519380,1130,1130
1503530390,1133,1133
1503541204,1140,1140
1503552092,1145,1145
1503563244,1146,1146
1503574284,1150,1150
1503585369,1151,1151
1503596355,1155,1155
1503607382,1155,1155
1503618431,1157,1157
1503629676,1169,1169
1503640722,1169,1169
1503651637,1168,1168
1503662628,1165,1165
1503673650,1162,1162
1503684725,1157,1157
1503695748,1149,1149
1503706690,1146,1146
1503717857,1134,1134
1503728638,1132,1132
1503739701,1134,1134
1503750449,1136,1136
1503761251,1137,1137
1503772490,1145,1145
1503783538,1144,1144
1503794537,1148,1148
1503805669,1147,1147
1503816736,1145,1145
1503827672,1145,1145
1503838839,1143,1143
1503849815,1144,1144
1503861100,1146,1146
1503871352,1143,1143
1503882599,1139,1139
1503893462,1138,1138
1503904552,1145,1145
1503915563,1147,1147
1503926610,1144,1144
1503937838,1140,1140
1503948943,1132,1132
1503959899,1127,1127
1503971015,1121,1121
1503982088,1121,1121
1503993138,1119,1119
1504004053,1115,1115
1504015214,1118,1118
1504026230,1120,1120
1504037133,1121,1121
1504048066,1119,1119
1504058994,1117,1117
1504069882,1117,1117
1504080956,1116,1116
1504091924,1111,1111
1504103040,1111,1111
1504114077,1112,1112
1504124970,1118,1118
1504135735,1117,1117
1504146923,1121,1121
1504157898,1124,1124
1504168662,1128,1128
1504179558,1119,1119
1504190583,1116,1116
1504202125,1107,1107
1504213142,1101,1101
1504223996,1102,1102
1504234945,1100,1100
1504245787,1101,1101
1504256796,1098,1098
1504267947,1090,1090
1504279706,1088,1088
1504290968,1091,1091
1504302236,1096,1096
1504313253,1100,1100
1504324121,1106,1106
1504334886,1110,1110
1504345119,1103,1103
1504356181,1108,1108
1504367272,1106,1106
1504378421,1107,1107
1504389351,1109,1109
1504400423,1103,1103
1504411270,1108,1108
