DateTime,Entries,UniqueIPs
1504157561,121650,121650
1504158509,121639,121639
1504159469,121645,121645
1504160417,121612,121612
1504161402,121642,121642
1504162347,121623,121623
1504163302,121633,121633
1504164263,121612,121612
1504165230,121611,121611
1504166191,121625,121625
1504167164,121633,121633
1504168093,121627,121627
1504169072,121573,121573
1504170046,121562,121562
1504170979,121527,121527
1504171963,121514,121514
1504172897,121511,121511
1504173864,121492,121492
1504174841,121471,121471
1504175775,121456,121456
1504176757,121461,121461
1504177694,121457,121457
1504178676,121450,121450
1504179626,121479,121479
1504180584,121475,121475
1504181560,121464,121464
1504182504,121474,121474
1504183470,121489,121489
1504184444,121494,121494
1504185375,121486,121486
1504186367,121497,121497
1504187302,121499,121499
1504188273,121484,121484
1504189232,121490,121490
1504190194,121499,121499
1504191387,121451,121451
1504192357,121479,121479
1504193296,121461,121461
1504194278,121460,121460
1504195248,121448,121448
1504196179,121472,121472
1504197145,121481,121481
1504198116,121467,121467
1504199066,121457,121457
1504200024,121457,121457
1504201001,121485,121485
1504202220,121456,121456
1504203409,121472,121472
1504204338,121501,121501
1504205298,121501,121501
1504206776,121481,121481
1504207696,121492,121492
1504208664,121489,121489
1504209641,121497,121497
1504210587,121516,121516
1504211548,121533,121533
1504212505,121517,121517
1504213451,121521,121521
1504214429,121507,121507
1504215388,121519,121519
1504216348,121503,121503
1504217294,121501,121501
1504218364,121509,121509
1504219453,121522,121522
1504220431,121535,121535
1504221387,121523,121523
1504222333,121514,121514
1504223316,121481,121481
1504224267,121476,121476
1504225234,121468,121468
1504226200,121476,121476
1504227134,121473,121473
1504228106,121478,121478
1504229077,121452,121452
1504230026,121453,121453
1504230983,121447,121447
1504231943,121437,121437
1504232903,121443,121443
1504233854,121428,121428
1504234824,121442,121442
1504235786,121426,121426
1504236743,121426,121426
1504237717,121413,121413
1504238669,121415,121415
1504239616,121399,121399
1504240598,121401,121401
1504241535,121391,121391
1504242507,121372,121372
1504243465,121362,121362
1504244420,121355,121355
1504245372,121358,121358
1504246361,121356,121356
1504247296,121334,121334
1504248256,121316,121316
1504249247,121318,121318
1504250186,121278,121278
1504251141,121285,121285
1504252120,121260,121260
1504253063,121246,121246
1504254022,121227,121227
1504254996,121247,121247
1504255932,121226,121226
1504256909,121215,121215
1504257854,121191,121191
1504258823,121192,121192
1504259786,121179,121179
1504260736,121179,121179
1504261715,121173,121173
1504262656,121147,121147
1504263634,121124,121124
1504264587,121120,121120
1504265549,121103,121103
1504266505,121083,121083
1504267475,121069,121069
1504268460,121040,121040
1504269374,121060,121060
1504270359,121042,121042
1504271293,121056,121056
