DateTime,Entries,UniqueIPs
1503927861,2433,2433
1503928833,2428,2428
1503929781,2435,2435
1503930750,2431,2431
1503931701,2439,2439
1503932674,2441,2441
1503933625,2445,2445
1503934573,2449,2449
1503935560,2451,2451
1503936493,2446,2446
1503937467,2433,2433
1503938425,2427,2427
1503939389,2424,2424
1503940352,2430,2430
1503941294,2432,2432
1503942267,2442,2442
1503943238,2439,2439
1503944200,2440,2440
1503945146,2433,2433
1503946103,2429,2429
1503947068,2423,2423
1503948031,2447,2447
1503948984,2447,2447
1503949943,2446,2446
1503950914,2441,2441
1503952864,2455,2455
1503953774,2463,2463
1503954761,2470,2470
1503955691,2469,2469
1503956676,2468,2468
1503957632,2457,2457
1503959019,2457,2457
1503960029,2459,2459
1503960975,2453,2453
1503961959,2446,2446
1503962898,2446,2446
1503963857,2447,2447
1503964836,2438,2438
1503965783,2436,2436
1503966755,2437,2437
1503967695,2438,2438
1503968678,2433,2433
1503969628,2430,2430
1503970580,2428,2428
1503971548,2428,2428
1503972494,2421,2421
1503973465,2422,2422
1503974430,2426,2426
1503975380,2418,2418
1503976366,2419,2419
1503977296,2419,2419
1503978259,2423,2423
1503979240,2430,2430
1503980175,2425,2425
1503981161,2424,2424
1503982102,2412,2412
1503983096,2395,2395
1503984047,2402,2402
1503984974,2393,2393
1503985961,2392,2392
1503986894,2390,2390
1503987857,2393,2393
1503988826,2393,2393
1503989788,2393,2393
1503990736,2399,2399
1503991710,2408,2408
1503992657,2407,2407
1503993633,2391,2391
1503994587,2376,2376
1503995555,2384,2384
1503996514,2378,2378
1503997468,2374,2374
1503998422,2375,2375
1503999392,2374,2374
1504000336,2386,2386
1504001309,2381,2381
1504002275,2384,2384
1504003214,2384,2384
1504004201,2384,2384
1504005137,2381,2381
1504006103,2387,2387
1504007066,2386,2386
1504008026,2387,2387
1504008999,2389,2389
1504009936,2396,2396
1504010894,2400,2400
1504011874,2384,2384
1504012835,2378,2378
1504013774,2378,2378
1504014758,2393,2393
1504015707,2390,2390
1504016659,2394,2394
1504017636,2399,2399
1504018849,2405,2405
1504019774,2405,2405
1504020756,2404,2404
1504021694,2405,2405
1504022665,2400,2400
1504023657,2401,2401
1504024574,2403,2403
1504025557,2414,2414
1504026494,2420,2420
1504027468,2418,2418
1504028431,2402,2402
1504029384,2404,2404
1504030604,2400,2400
1504031555,2398,2398
1504032500,2412,2412
1504033492,2393,2393
1504035421,2391,2391
1504036344,2396,2396
1504037298,2398,2398
1504038280,2406,2406
1504039231,2401,2401
1504040173,2385,2385
1504041161,2381,2381
1504042090,2374,2374
1504043070,2389,2389
1504044028,2386,2386
1504045419,2387,2387
1504046414,2395,2395
1504047379,2403,2403
1504048365,2407,2407
1504049295,2404,2404
1504050255,2402,2402
1504051244,2406,2406
1504052183,2409,2409
1504053151,2407,2407
1504054098,2417,2417
1504055094,2417,2417
1504056029,2417,2417
1504056975,2411,2411
1504057955,2420,2420
1504058901,2426,2426
1504059868,2440,2440
1504060834,2443,2443
1504061787,2435,2435
1504062761,2423,2423
1504063698,2421,2421
1504064657,2431,2431
1504065629,2441,2441
1504066591,2442,2442
1504067546,2449,2449
1504068512,2440,2440
1504069469,2444,2444
1504070441,2444,2444
1504071388,2453,2453
1504072346,2459,2459
1504073294,2454,2454
1504074262,2446,2446
1504075213,2444,2444
1504076189,2441,2441
1504077145,2429,2429
1504078109,2437,2437
1504079055,2458,2458
1504080033,2449,2449
1504080991,2444,2444
1504081943,2444,2444
1504082905,2450,2450
1504083873,2446,2446
1504084818,2438,2438
1504085792,2437,2437
1504086743,2432,2432
1504087706,2431,2431
1504088657,2424,2424
1504089625,2427,2427
1504090583,2415,2415
1504091546,2415,2415
1504092507,2416,2416
1504093459,2420,2420
1504094418,2416,2416
1504095398,2415,2415
1504096335,2403,2403
1504097316,2405,2405
1504098265,2416,2416
1504099233,2413,2413
1504100188,2408,2408
1504101141,2409,2409
1504102107,2395,2395
1504103093,2402,2402
1504104030,2396,2396
1504104993,2390,2390
1504105949,2381,2381
1504106918,2373,2373
1504107857,2371,2371
1504108844,2371,2371
1504109791,2392,2392
1504110750,2416,2416
1504111709,2410,2410
1504112674,2426,2426
1504113619,2429,2429
1504114603,2439,2439
1504115531,2443,2443
1504117158,2440,2440
1504118173,2438,2438
1504119145,2444,2444
1504120118,2446,2446
1504121056,2448,2448
1504122033,2447,2447
1504123001,2451,2451
1504123936,2452,2452
1504124910,2452,2452
1504125868,2458,2458
1504126818,2462,2462
1504127794,2469,2469
1504128754,2484,2484
1504129694,2479,2479
1504130672,2475,2475
1504131628,2474,2474
1504132576,2480,2480
1504133561,2482,2482
1504134495,2478,2478
1504135454,2485,2485
1504136426,2480,2480
1504137383,2489,2489
1504138335,2497,2497
1504139305,2490,2490
1504140257,2503,2503
1504141238,2503,2503
1504142184,2507,2507
1504143147,2519,2519
1504144098,2511,2511
1504145073,2505,2505
1504146035,2494,2494
1504147008,2493,2493
1504147955,2496,2496
1504148897,2487,2487
1504149865,2488,2488
1504150832,2483,2483
1504151798,2479,2479
1504152755,2489,2489
1504153698,2496,2496
1504154670,2502,2502
1504155648,2502,2502
1504156573,2509,2509
1504157561,2509,2509
1504158509,2510,2510
1504159469,2516,2516
1504160417,2515,2515
1504161402,2524,2524
1504162347,2515,2515
1504163302,2500,2500
1504164263,2489,2489
1504165230,2489,2489
1504166191,2506,2506
1504167164,2509,2509
1504168093,2507,2507
1504169072,2504,2504
1504170046,2508,2508
1504170979,2508,2508
1504171963,2512,2512
1504172897,2509,2509
1504173864,2504,2504
1504174841,2495,2495
1504175775,2494,2494
1504176757,2496,2496
1504177694,2491,2491
1504178676,2490,2490
1504179626,2488,2488
1504180584,2492,2492
1504181560,2507,2507
1504182504,2512,2512
1504183470,2512,2512
1504184444,2512,2512
1504185375,2513,2513
1504186367,2518,2518
1504187302,2528,2528
1504188273,2524,2524
1504189232,2520,2520
1504190194,2526,2526
1504191387,2539,2539
1504192357,2534,2534
1504193296,2524,2524
1504194278,2527,2527
1504195248,2529,2529
1504196179,2534,2534
1504197145,2527,2527
1504198116,2519,2519
1504199066,2512,2512
1504200024,2501,2501
1504201001,2505,2505
1504202220,2509,2509
1504203409,2504,2504
1504204338,2503,2503
1504205298,2503,2503
1504206776,2496,2496
1504207696,2497,2497
1504208664,2496,2496
1504209641,2493,2493
