DateTime,AddedIPs,RemovedIPs
1501149615,0,13
1501153215,1,34
1501156811,0,32
1501160412,1,2
1501164012,4,0
1501167612,10,0
1501171213,5,0
1501174813,8,0
1501178414,2,0
1501182016,3,0
1501185618,4,1
1501189214,4,0
1501192830,7,0
1501196415,3,0
1501200020,1,0
1501203614,4,0
1501210817,2,1
1501214415,1,0
1501221615,3,0
1501225219,1,2
1501228816,3,0
1501232417,1,0
1501236015,1,0
1501239615,4,0
1501264818,1,0
1501272021,0,1
1501286454,0,1
1501293614,0,1
1501297214,1,0
1501318816,0,1
1501326015,0,1
1501347615,2,0
1501358416,1,0
1501362027,0,1
1501365623,0,0
1501372818,1,1
1501380017,1,0
1501390814,0,1
1501426814,1,0
1501430417,0,1
1501437637,2,0
1501459214,1,0
1501473616,0,1
1501484414,8,0
1501488020,13,0
1501491617,17,0
1501495217,11,0
1501498817,1,0
1501506017,1,0
1501556417,0,1
1501560046,0,3
1501563646,0,3
1501567217,0,8
1501570816,0,16
1501574415,1,8
1501581615,0,1
1501596016,1,0
1501599615,1,0
1501603217,2,0
1501606826,1,1
1501610416,2,0
1501614017,3,0
1501617617,1,0
1501621221,0,2
1501628415,0,1
1501639233,9,0
1501642819,1,0
1501646418,2,1
1501657219,1,0
1501668016,0,1
1501689616,0,1
1501696817,0,1
1501700416,1,1
1501722016,0,4
1501725615,1,0
1501729216,0,1
1501758016,3,1
1501772415,0,2
1501776018,0,1
1501779615,0,3
1501783216,0,4
1501786816,1,3
1501790415,1,1
1501794016,0,2
1501797621,0,3
1501801215,0,5
1501808415,0,3
1501812026,0,1
1501815631,0,3
1501819248,0,4
1501822814,0,3
1501826414,0,5
1501830014,0,2
1501833624,0,8
1501837216,0,5
1501840815,0,6
1501844445,0,7
1501848323,2,0
1501869613,0,1
1501894813,1,0
1501898415,0,1
1501912814,1,0
1501934413,1,0
1501952413,1,1
1501956012,2,1
1501963213,3,1
1501988417,0,1
1501992016,1,0
1502020812,0,1
1502031613,0,1
1502038814,0,1
1502053215,1,0
1502056813,0,1
1502064013,1,1
1502071213,1,0
1502082014,3,0
1502089213,0,3
1502092813,0,3
1502096412,0,6
1502100012,0,15
1502103616,0,5
1502110811,1,0
1502118013,27,0
1502121614,14,1
1502125213,1,0
1502128846,5,0
1502132418,3,0
1502136018,5,0
1502139617,0,1
1502179214,0,1
1502182814,1,0
1502215214,1,0
1502218814,0,1
1502233214,1,0
1502236815,1,0
1502244018,6,5
1502247614,14,1
1502251217,3,0
1502254815,1,1
1502258415,0,1
1502262020,0,4
1502265614,1,2
1502269215,0,2
1502272817,0,2
1502276416,0,2
1502280014,0,3
1502283614,0,2
1502287216,3,6
1502290816,28,5
1502294427,0,1
1502301624,3,0
1502352015,1,0
1502355620,0,2
1502377216,1,0
1502384416,0,1
1502388016,0,1
1502395216,1,0
1502398815,1,0
1502402415,0,1
1502409615,1,0
1502420421,0,1
1502424022,1,1
1502445615,0,1
1502449245,13,0
1502452816,0,1
1502456415,1,0
1502460072,1,0
1502481616,2,0
1502485230,1,1
1502496017,7,0
1502499620,1,0
1502503216,1,0
1502517617,0,1
1502521217,0,1
1502539216,0,1
1502542824,1,0
1502546416,1,0
1502550017,3,0
1502553617,3,0
1502557217,2,0
1502560820,2,1
1502568017,1,0
1502571617,1,0
1502578817,2,1
1502582417,1,0
1502600417,10,0
1502604018,13,0
1502607618,9,0
1502611220,4,0
1502614829,1,0
1502618418,5,0
1502622019,3,0
1502625619,8,0
1502629220,3,4
1502636433,3,8
1502640071,20,0
1502643620,3,0
1502658039,0,1
1502690420,1,0
1502694020,0,1
1502722819,0,13
1502726419,0,13
1502730019,0,1
1502733619,1,5
1502737233,0,3
1502740818,0,3
1502744435,0,2
1502748019,1,0
