DateTime,AddedIPs,RemovedIPs
1502705852,83,85
1502709452,73,92
1502713048,83,121
1502716647,84,135
1502720245,88,112
1502723847,99,97
1502727447,94,114
1502731045,82,105
1502734641,81,100
1502738243,88,103
1502741843,81,107
1502745441,91,100
1502749037,90,109
1502752635,93,131
1502756236,73,108
1502759832,88,77
1502763432,73,73
1502767033,76,79
1502770636,84,67
1502774236,107,79
1502777834,76,83
1502781435,90,87
1502785036,69,82
1502788637,85,77
1502792235,77,86
1502795836,75,93
1502799432,78,97
1502803036,83,108
1502806634,81,95
1502810234,91,85
1502813835,88,84
1502817437,103,90
1502821035,80,83
1502824634,86,72
1502828235,88,88
1502831834,82,88
1502835435,78,91
1502839032,69,77
1502842634,79,75
1502846232,74,90
1502849832,85,89
1502853433,78,72
1502857031,71,98
1502860628,66,77
1502864230,79,80
1502867830,79,74
1502871431,67,74
1502875029,78,94
1502878631,95,80
1502882233,124,84
1502885835,121,98
1502889435,110,90
1502893040,116,86
1502896639,118,98
1502900241,114,98
1502903842,100,80
1502907442,88,82
1502911040,85,84
1502914645,95,85
1502918245,101,87
1502921842,89,84
1502925445,75,84
1502929043,101,86
1502932639,72,90
1502936239,91,85
1502939841,94,83
1502943441,81,73
1502947040,89,76
1502950643,96,78
1502954242,82,71
1502957843,79,83
1502961443,65,77
1502965041,80,84
1502968640,97,107
1502972240,97,100
1502975841,105,102
1502979443,79,90
1502983042,96,100
1502986638,91,99
1502990240,95,91
1502993842,73,87
1502997445,97,92
1503001041,90,88
1503004641,86,94
1503008241,85,105
1503011842,105,90
1503015442,84,89
1503019042,95,81
1503022641,102,94
1503026245,102,64
1503029846,71,63
1503033446,89,85
1503037047,103,78
1503040647,77,68
1503044250,170,85
1503047850,106,104
1503051448,100,131
1503055047,95,130
1503058649,118,130
1503062250,97,117
1503065847,96,129
1503069443,89,136
1503073040,98,137
1503076643,97,118
1503080241,87,113
1503083840,95,112
1503087435,112,127
1503091041,88,91
1503094640,78,123
1503098236,75,116
1503101839,86,100
1503105432,78,116
1503109031,102,108
1503112627,98,114
1503116234,93,113
1503119828,78,113
1503123434,72,102
1503127033,72,113
1503130630,70,121
1503134221,77,143
1503137819,71,146
1503141424,81,138
1503145018,87,139
1503148617,78,133
1503152204,77,166
1503155806,73,166
1503159400,70,165
1503162998,78,142
1503166590,81,160
1503170189,92,165
1503173785,80,158
1503177379,96,125
1503180981,98,99
1503184585,91,86
1503188191,88,109
1503191783,91,89
1503195386,151,92
1503198990,154,82
1503202592,154,78
1503206184,100,84
1503209784,115,85
1503213396,133,79
1503216997,120,86
1503220599,114,79
1503224201,101,104
1503227793,100,82
1503231398,104,80
1503235003,85,88
1503238598,93,85
1503242192,106,85
1503245805,143,85
1503249407,101,91
1503253009,90,90
1503256608,84,79
1503260209,94,102
1503263810,86,78
1503267407,71,75
1503271010,69,89
1503274609,76,76
1503278209,83,104
1503281801,219,90
1503285407,87,82
1503289002,71,70
1503292612,92,92
1503296204,85,81
1503299801,72,70
1503303435,88,117
1503307006,81,85
1503310607,81,71
1503314207,79,77
1503317806,92,86
1503321409,86,79
1503325010,74,92
1503328611,100,99
1503332216,78,95
1503335809,76,89
1503339407,86,82
1503343003,103,83
1503346612,63,82
1503350202,72,89
1503353810,83,86
1503357406,85,85
1503361005,65,73
1503364609,66,91
1503368208,73,80
1503371800,88,81
1503375397,68,81
1503379002,76,107
1503382608,72,80
1503386203,85,92
1503389797,80,77
1503393402,90,92
1503396996,85,71
1503400596,66,76
1503404209,73,79
1503407812,109,86
1503414999,186,174
1503418605,76,81
1503422213,93,103
1503425812,71,83
1503429400,78,101
1503432997,81,85
1503436597,89,73
1503440206,81,84
1503443807,69,69
1503447398,77,86
1503450998,90,70
1503454607,70,82
1503458205,61,86
1503461794,64,74
1503465401,62,62
1503472603,170,159
1503476200,109,77
1503479797,98,73
1503483402,95,95
1503487009,108,107
1503490603,88,130
1503494202,80,116
1503497799,110,110
1503501397,93,111
1503504997,94,111
1503508593,78,106
1503512191,80,83
1503515793,78,84
1503519393,82,94
1503522990,91,108
1503526592,95,100
1503530197,91,86
1503533794,92,95
1503537391,84,77
1503540993,81,91
1503544593,77,90
1503548185,68,74
1503551791,85,88
