DateTime,AddedIPs,RemovedIPs
1502431262,1,1
1502434863,1,0
1502438465,2,0
1502442072,1,2
1502445672,1,3
1502449271,1,1
1502456463,5,3
1502460073,2,0
1502463667,4,1
1502467272,1,1
1502470867,6,4
1502474462,1,4
1502478073,3,4
1502481672,2,1
1502485274,3,2
1502488863,3,0
1502492467,2,0
1502496073,0,1
1502499681,1,1
1502503270,1,0
1502506863,1,0
1502510475,1,2
1502514073,1,1
1502517664,1,0
1502521272,1,1
1502524867,2,0
1502528474,3,0
1502532073,2,2
1502535662,5,0
1502539260,1,4
1502542867,6,2
1502546475,1,1
1502550073,0,6
1502553672,21,1
1502557264,4,0
1502560864,2,3
1502564479,3,2
1502568053,1,1
1502571670,3,0
1502575275,24,4
1502578867,12,1
1502582460,7,3
1502589666,0,1
1502593278,0,1
1502600466,4,1
1502604062,0,1
1502607661,0,4
1502611265,1,2
1502614873,1,3
1502618461,3,11
1502622060,3,2
1502625655,4,2
1502629258,23,2
1502636478,7,3
1502640079,3,4
1502643659,3,5
1502647258,4,2
1502650864,1,3
1502654463,2,1
1502658059,2,2
1502661675,1,1
1502665270,1,3
1502668863,1,0
1502672458,0,1
1502676075,1,5
1502683266,1,1
1502686862,4,0
1502690462,0,2
1502694062,1,1
1502697660,1,1
1502701264,0,1
1502704859,2,1
1502708467,2,4
1502712074,1,3
1502715659,2,7
1502719267,2,1
1502722860,4,1
1502726458,2,2
1502730063,5,2
1502733662,3,3
1502737278,4,2
1502740873,1,4
1502744468,0,2
1502748069,4,1
1502751655,2,2
1502758862,2,2
1502762469,0,2
1502766072,1,0
1502769660,1,2
1502773277,1,1
1502776855,2,1
1502780473,3,4
1502784060,2,2
1502787658,3,0
1502791263,2,2
1502794863,2,2
1502798471,6,1
1502802060,8,3
1502805663,5,5
1502809270,3,5
1502812856,4,3
1502816465,2,2
1502820062,1,3
1502823664,3,2
1502827265,5,1
1502830862,1,0
1502834464,3,4
1502838074,2,1
1502841660,5,1
1502845264,2,0
1502852455,0,2
1502856069,0,2
1502859672,1,3
1502863272,1,0
