DateTime,Entries,UniqueIPs
1502854562,6594,6594
1502858402,6599,6599
1502862722,6632,6632
1502866564,6632,6632
1502868484,6618,6618
1502870407,6632,6632
1502872323,6650,6650
1502876162,6660,6660
1502880002,6641,6641
1502881923,6660,6660
1502883843,6644,6644
1502889602,6639,6639
1502893444,6655,6655
1502895608,6641,6641
1502897522,6639,6639
1502899682,6697,6697
1502901602,6703,6703
1502903523,6641,6641
1502905443,6708,6708
1502911684,6704,6704
1502913628,6708,6708
1502915523,6657,6657
1502919362,6634,6634
1502923203,6629,6629
1502925123,6632,6632
1502927043,6629,6629
1502928964,6632,6632
1502930882,6597,6597
1502934722,6609,6609
1502938563,6598,6598
1502942412,6562,6562
1502944325,6566,6566
1502948163,6606,6606
1502952004,6594,6594
1502953923,6626,6626
1502955845,6594,6594
1502957763,6626,6626
1502959683,6633,6633
1502963523,6643,6643
1502967364,6634,6634
1502971215,6639,6639
1502973122,6635,6635
1502977202,6659,6659
1502981283,6661,6661
1502987042,6671,6671
1502989683,6676,6676
1502991602,6656,6656
1502995682,6676,6676
1502997603,6650,6650
1502999522,6656,6656
1503001442,6631,6631
1503003362,6629,6629
1503007204,6608,6608
1503009604,6602,6602
1503013443,6612,6612
1503015363,6580,6580
1503017282,6612,6612
1503019203,6580,6580
1503021122,6580,6580
1503024963,6557,6557
1503026883,6557,6557
1503030722,6552,6552
1503034562,6585,6585
1503038402,6593,6593
1503042243,6585,6585
1503044163,6594,6594
1503046082,6615,6615
1503049922,6610,6610
1503053763,6617,6617
1503057606,6624,6624
1503059523,6630,6630
1503063362,6637,6637
1503067203,6656,6656
1503071042,6661,6661
1503074882,6675,6675
1503081123,6666,6666
1503084962,6677,6677
1503088803,6670,6670
1503090723,6677,6677
1503092642,6638,6638
1503094562,6661,6661
1503096482,6598,6598
1503102243,6633,6633
1503104163,6626,6626
1503106082,6633,6633
1503108012,6626,6626
1503109923,6620,6620
1503111849,6600,6600
1503113762,6573,6573
1503117603,6564,6564
1503121443,6579,6579
1503125282,6600,6600
1503129123,6602,6602
1503133225,6617,6617
1503135124,6629,6629
1503138963,6639,6639
1503142803,6632,6632
1503144723,6639,6639
1503146883,6632,6632
1503148803,6635,6635
1503150722,6661,6661
1503154563,6650,6650
1503158409,6673,6673
1503160563,6651,6651
1503164402,6649,6649
1503166323,6648,6648
1503172082,6649,6649
1503174002,6651,6651
1503176164,6641,6641
1503178323,6649,6649
1503180243,6625,6625
1503182162,6588,6588
1503184083,6633,6633
1503186243,6607,6607
1503190322,6573,6573
1503194163,6602,6602
1503198010,6575,6575
1503199922,6573,6573
1503203762,6551,6551
1503205683,6581,6581
1503211444,6591,6591
1503215283,6602,6602
1503219123,6616,6616
1503222964,6641,6641
1503224884,6637,6637
1503228724,6632,6632
1503230644,6647,6647
1503232562,6656,6656
1503236402,6680,6680
1503240242,6675,6675
1503244083,6687,6687
1503247922,6687,6687
1503251763,6687,6687
1503253684,6669,6669
1503255608,6671,6671
1503257523,6656,6656
1503261363,6660,6660
1503265206,6639,6639
1503269044,6610,6610
1503272883,6588,6588
1503274802,6660,6660
1503276723,6576,6576
1503280810,6592,6592
1503282724,6588,6588
1503284645,6639,6639
1503286564,6522,6522
1503290403,6522,6522
1503294242,6552,6552
1503298083,6562,6562
1503301924,6570,6570
1503307684,6592,6592
1503309607,6602,6602
1503311524,6595,6595
1503315363,6594,6594
1503319205,6607,6607
1503323045,6620,6620
1503324963,6638,6638
1503326884,6620,6620
1503328802,6638,6638
1503330723,6660,6660
1503337203,6666,6666
1503341043,6670,6670
1503344884,6673,6673
1503348723,6660,6660
1503350643,6670,6670
1503352564,6633,6633
1503356408,6615,6615
1503358322,5352,5352
1503360243,6622,6622
1503362162,6595,6595
1503366003,6613,6613
1503369842,6590,6590
1503373682,6569,6569
