DateTime,AddedIPs,RemovedIPs
1501367713,0,0
1501379412,0,1
1501387813,0,1
1501396213,0,1
1501410613,0,1
1501417813,0,1
1501432814,0,1
1501437613,0,1
1501495212,0,1
1501521916,0,1
1501535413,0,1
1501537512,0,1
1501602913,0,2
1501617613,0,1
1501619412,0,1
1501673413,0,1
1501675812,0,1
1501753814,0,1
1501772412,0,1
1501773012,0,1
1501774512,0,1
1501778112,0,1
1501779613,0,1
1501781712,0,1
1501805113,0,1
1501864513,0,1
1501896013,0,1
1501917613,0,1
1501923613,0,1
1501984213,0,1
1501996812,0,1
1502007614,0,1
1502036413,0,1
1502050213,0,1
1502064014,0,1
1502074212,0,1
1502106614,0,1
1502109013,0,1
1502111114,0,1
1502116512,7,0
1502116813,15,0
1502117412,477,3
1502117713,251,0
1502118013,256,0
1502118313,248,0
1502118613,249,0
1502118913,225,0
1502119212,256,0
1502119514,243,0
1502119813,256,0
1502120413,498,0
1502120713,243,0
1502121015,259,0
1502121312,243,0
1502121613,245,0
1502122213,489,3
1502122513,250,0
1502122813,235,0
1502123119,241,0
1502123412,252,2
1502123713,251,0
1502124013,267,0
1502124313,260,0
1502124613,247,0
1502125214,513,0
1502125513,247,0
1502126113,503,0
1502126412,263,0
1502127012,500,0
1502127313,229,0
1502127613,242,0
1502127914,242,0
1502128212,259,0
1502128512,255,0
1502128815,259,0
1502129415,471,0
1502129712,234,0
1502130013,240,0
1502130328,195,0
1502130613,209,0
1502131214,465,1
1502131514,239,0
1502131813,238,0
1502132116,248,0
1502132420,216,2
1502133013,301,0
1502133313,234,0
1502133614,215,0
1502133920,236,0
1502134213,213,0
1502134512,202,0
1502135712,983,3
1502136013,263,0
1502136613,528,0
1502136913,261,0
1502137212,267,0
1502137519,258,0
1502137812,248,0
1502138113,258,0
1502138414,216,0
1502138713,245,0
1502139013,245,0
1502139613,509,0
1502139913,251,0
1502140227,254,0
1502140513,246,0
1502140813,241,0
1502141115,239,0
1502141414,241,3
1502141713,254,0
1502142014,243,0
1502142313,241,0
1502142613,249,0
1502142912,265,0
1502143214,256,0
1502143513,129,0
1502144114,39,0
1502144413,340,0
1502144718,253,0
1502145013,238,0
1502145314,235,0
1502145613,236,0
1502145913,236,0
1502146212,257,0
1502146513,256,0
1502146813,256,0
1502147114,246,0
1502147712,464,0
1502148014,155,0
1502148613,367,0
1502149213,264,0
1502149513,127,0
1502150114,237,0
1502150413,103,0
1502150715,123,0
1502151013,113,0
1502151313,142,0
1502151614,120,0
1502151919,113,0
1502152513,190,0
1502152813,152,0
1502153114,163,0
1502153413,164,0
1502153713,169,0
1502154013,146,0
1502154313,170,0
1502154613,172,0
1502154912,163,0
1502155213,161,0
1502155522,163,0
1502155813,140,0
1502156414,253,0
1502156713,101,0
1502157013,91,0
1502157313,121,0
1502157613,117,0
1502158213,327,0
1502158513,190,0
1502158813,167,0
1502159120,118,0
1502159414,168,0
1502159712,177,0
1502160013,171,0
1502160314,159,1
1502160613,149,0
1502161214,326,0
1502161513,108,0
1502162113,263,0
1502162413,128,0
1502162714,126,0
1502163014,133,0
1502163313,104,0
1502163613,112,3
1502163913,145,0
1502164513,242,0
1502165114,284,0
1502165413,157,0
1502166013,300,2
