DateTime,AddedIPs,RemovedIPs
1500930610,0,1
1500963011,0,1
1500969310,0,1
1500983411,1,0
1500983710,1,0
1501012510,1,0
1501017917,1,0
1501018211,2,0
1501062311,0,1
1501103711,0,1
1501116012,0,1
1501197313,12,0
1501211412,12,0
1501213212,1,0
1501243512,0,1
1501274112,0,1
1501277412,7,0
1501278012,3,0
1501335312,0,1
1501351814,0,1
1501359612,0,1
1501363813,0,1
1501367712,0,0
1501406721,1,0
1501447512,0,1
1501477212,1,0
1501477812,1,0
1501499413,0,1
1501572912,0,1
1501610413,0,1
1501620913,5,0
1501662912,0,1
1501663512,1,0
1501669212,1,0
1501678211,0,1
1501705212,0,1
1501708512,1,0
1501722313,7,0
1501722613,2,0
1501722912,2,0
1501723519,1,0
1501731912,1,0
1501753813,1,0
1501788013,0,1
1501828813,1,0
1501829112,1,0
1501848613,1,0
1501850713,0,1
1501866013,1,0
1501868113,1,0
1501880413,0,1
1501880714,0,1
1501886713,1,0
1501895412,0,1
1501925712,4,0
1501926913,2,0
1501929013,2,0
1501929613,1,0
1501929912,1,0
1501930212,1,0
1501931112,1,0
1501931713,1,0
1501932012,2,0
1501932320,1,0
1501936212,1,0
1501937412,0,1
1501938012,3,0
1501938612,1,1
1501941012,2,0
1501944912,2,0
1501946113,1,0
1501950612,1,0
1501951512,27,0
1501952712,1,0
1501953313,3,0
1501953914,1,0
1501954213,1,0
1501956314,3,0
1501956614,1,0
1501957213,1,11
1501957523,0,4
1501959013,0,1
1501962013,0,1
1501972212,0,1
1501974912,0,1
1502012714,0,1
1502014813,1,0
1502016013,0,1
1502044514,0,2
1502064313,0,1
1502093413,0,1
1502110813,0,1
1502175614,0,1
1502184014,0,1
1502217314,3,0
1502252113,1,0
1502254513,1,0
1502261113,0,1
1502296512,1,0
1502325313,0,1
1502385013,0,1
1502396719,2,0
1502397312,19,0
1502397614,15,0
1502399413,0,1
1502400614,14,0
1502400913,26,0
1502412014,2,0
1502412313,1,0
1502436321,0,1
1502468718,0,1
1502528713,0,1
1502534115,0,1
1502552712,0,1
1502565313,5,0
1502569213,1,0
1502570113,1,0
1502574913,1,0
1502575215,1,0
1502578212,1,0
1502597713,1,0
1502602513,1,0
1502616322,0,1
1502624113,0,1
1502631913,0,1
1502632813,3,0
1502642112,0,1
1502662815,3,0
1502666413,0,1
1502714414,1,0
1502718012,0,1
1502759713,1,0
1502780413,0,1
1502787613,1,0
1502788213,2,0
1502795714,0,1
1502799614,0,1
1502801113,0,1
1502822414,0,1
1502826614,1,0
1502828720,1,0
1502830214,1,0
1502833813,1,0
1502850613,0,1
1502880013,0,1
1502895313,23,0
1502895916,1,0
1502896215,1,0
1502897414,1,0
1502898013,2,0
1502899212,3,0
1502899514,1,0
1502901013,1,0
1502907013,4,0
1502907913,1,0
1502908813,1,0
1502909714,1,0
1502910313,0,1
1502911213,1,0
1502911814,0,1
1502916013,1,0
1502916614,1,0
1502917514,2,0
1502922613,1,1
1502923213,1,0
1502923513,1,0
1502924413,1,0
1502925012,1,0
1502927412,2,0
1502930413,2,0
1502939714,23,0
1502940012,52,0
1502940318,56,0
1502940614,43,0
1502940913,72,0
1502941213,56,0
1502941812,157,0
1502942413,135,0
1502942713,58,0
1502943014,66,0
1502943313,50,0
1502943613,44,0
1502944213,92,0
1502944814,71,0
1502945114,37,0
1502945414,0,1
1502945713,1,0
1502947213,1,0
1502948113,17,0
1502952313,2,0
1502952913,8,0
1502954415,92,0
1502954713,105,4
1502955313,208,5
1502955613,106,0
1502956213,207,0
1502956514,108,0
1502956814,107,0
1502957415,182,3
1502957713,114,0
1502958014,145,15
1502958322,144,2
1502958613,120,0
1502959213,243,0
1502959512,93,3
1502960113,2,0
1502960713,24,0
1502961013,2,0
1502963114,3,0
1502963413,18,0
1502964013,28,0
1502964313,5,0
1502964913,5,0
1502965213,3,0
1502965812,13,0
1502966112,3,0
1502966713,2,0
1502967012,4,0
1502967312,7,0
1502967613,6,0
1502967914,10,3
1502968213,4,0
1502968812,11,0
1502969115,8,0
1502969713,16,0
1502970014,39,0
1502970315,44,0
1502970612,42,0
1502971213,67,0
1502971813,84,0
1502972416,79,0
1502972716,39,0
1502973014,34,0
1502973313,41,0
1502973613,47,0
1502973914,34,0
1502974213,105,0
1502974813,60,0
1502975114,37,0
1502975713,55,0
1502976314,71,0
1502976613,19,0
1502977213,54,0
1502977513,22,0
1502977814,25,0
1502978112,29,6
1502978713,33,0
1502979013,19,0
1502979614,53,0
1502979920,8,0
1502980514,1,0
1502980813,8,0
1502981113,20,0
1502981713,49,0
1502982012,1,0
1502982613,15,0
1502982913,9,0
1502983214,11,0
1502983514,14,0
1502983814,11,0
1502984113,18,0
1502984415,21,0
1502984716,13,0
1502985013,64,0
1502985613,105,0
1502985915,42,0
1502986514,143,0
1502986813,55,0
1502987414,1,0
1502989214,9,0
1502992213,2,0
1502993413,1,0
1502994613,1,0
1502995513,1,0
1503000913,1,0
1503001213,0,1
1503003013,2,0
1503008113,0,1
1503067815,0,1
1503070813,0,1
1503079816,0,1
1503080713,1,0
1503084014,3,0
1503087314,0,1
1503090013,4,0
1503090314,1,0
1503097215,1,0
1503103213,1,0
1503103513,1,0
1503108913,1,0
1503138013,0,1
1503161713,0,1
1503170114,0,1
1503172213,2,0
1503177614,0,1
1503235514,1,0
1503243914,1,0
1503260721,1,0
1503273313,1,0
1503284714,1,0
1503294613,0,1
1503312014,0,1
1503320116,0,1
1503331814,0,1
1503342613,0,1
1503346513,1,0
1503346814,1,0
1503391514,0,1
1503411614,0,1
1503412513,1,0
1503420014,0,1
1503435614,0,1
1503438014,0,1
1503438914,0,1
1503441914,1,0
1503458413,1,0
1503460213,1,0
1503471013,0,1
1503473415,0,1
1503475514,0,2
1503491413,0,1
1503509713,0,1
1503531914,0,1
1503538214,2,0
1503549614,1,0
1503551115,1,0
1503564314,0,1
1503566723,0,1
1503574814,1,0
1503584716,1,0
1503585013,2,0
1503587414,0,1
1503602714,3,0
1503611412,0,1
1503621614,0,1
1503629715,1,0
1503662714,0,1
1503682215,0,1
1503691514,0,1
1503693614,7,0
1503693914,1,0
1503694214,1,1
1503694513,2,0
1503694814,4,0
1503695415,1,0
1503695714,6,0
1503729614,0,1
1503736215,0,1
1503750913,1,0
1503812114,1,0
1503849314,1,0
1503857413,1,0
1503862214,1,0
1503870613,0,1
1503876614,1,0
1503895214,1,0
1503901525,0,1
1503928213,1,0
1503935416,1,0
1503964213,1,0
1503989714,0,1
1504034714,3,0
1504037715,0,1
1504062613,0,1
1504065614,0,1
1504078513,1,0
1504082415,3,0
1504082714,15,0
1504083015,19,0
1504084213,33,0
1504084514,19,0
1504084814,5,0
1504085120,7,0
1504085415,7,0
1504085713,4,0
1504086014,6,0
1504086314,9,0
1504086613,2,0
1504086914,3,0
1504087213,3,0
1504087514,2,0
1504087814,1,0
1504088113,3,0
1504088414,3,0
1504089014,2,0
1504089315,3,0
1504089914,3,0
1504090214,3,0
1504090513,2,0
1504090814,1,0
1504091114,3,0
1504091414,2,0
1504092014,4,0
1504092318,1,0
1504092913,5,0
1504093813,5,0
1504094414,1,0
1504094714,2,0
1504095014,2,0
1504095313,2,0
1504095613,2,0
1504095920,2,0
1504096213,1,0
1504096515,3,1
1504096813,2,0
1504097113,1,0
1504097714,6,0
1504098013,1,0
1504098315,3,0
1504099213,1,0
1504099514,1,0
1504099814,1,0
1504100113,1,0
1504100713,3,0
1504104613,12,0
1504125013,5,0
1504128316,0,1
1504139117,1,0
1504161914,8,0
1504162213,10,0
1504164615,7,0
1504165513,1,0
1504166113,5,0
1504167013,4,0
1504167614,11,0
1504167917,6,0
1504168216,4,0
1504168513,2,0
1504168813,4,0
1504169413,3,0
1504177814,2,0
1504191015,1,0
1504209913,1,0
1504211413,1,0
1504218313,1,0
1504236319,8,0
1504236914,1,0
1504257922,0,1
1504293615,1,0
1504317615,3,0
1504330213,1,0
1504331114,1,0
1504335614,1,0
1504336214,2,0
1504336514,1,0
1504337714,1,0
1504339814,2,0
1504340113,4,0
1504340717,3,0
1504341013,1,0
1504347615,1,0
1504348214,2,0
1504348513,1,0
1504349413,1,0
1504350614,2,0
1504350914,1,0
1504352113,1,0
1504353313,1,0
1504367714,1,0
1504368614,1,0
1504371012,1,0
1504375814,1,0
1504384213,1,0
1504397714,1,0
1504398322,1,0
1504417214,1,0
1504442414,1,0
1504450516,0,1
1504465515,0,1
1504483513,0,1
1504492214,4,0
1504492814,8,0
1504504213,1,0
1504505113,1,0
1504514113,0,1
1504522815,0,1
1504538714,1,0
1504548015,9,0
1504548314,3,0
1504553116,0,1
1504556113,0,1
1504564214,2,0
1504564513,9,0
1504564814,18,0
1504565113,2,0
1504590614,0,1
1504595414,23,0
1504600216,0,1
1504604415,1,0
1504605313,1,0
1504606214,1,0
1504606515,1,0
1504610113,0,1
1504615514,1,0
1504618514,1,0
1504636216,1,0
1504640714,0,1
1504642514,1,0
1504643414,1,0
1504646413,1,0
