DateTime,AddedIPs,RemovedIPs
1498602622,0,256
1498607109,0,256
1498609821,0,256
1498650764,1024,0
1498661649,0,768
1498665289,256,0
1498681824,0,256
1498736708,0,256
1498740640,0,256
1498749309,0,256
1498757430,0,512
1498773624,1536,0
1498775418,256,0
1498778106,0,256
1498780702,256,0
1498787888,256,0
1498794707,256,0
1498848795,768,0
1498859745,0,768
1498864507,0,256
1498867216,0,256
1498879818,0,256
1498922105,0,256
1498924189,512,0
1498931465,0,256
1498933822,0,1024
1498942336,256,0
1498955424,0,256
1498996278,1024,0
1499005815,256,0
1499011205,256,512
1499017720,256,0
1499023816,0,256
1499027421,256,0
1499028979,256,0
1499031023,256,0
1499039377,0,256
1499082604,0,512
1499085906,0,256
1499092221,0,256
1499093481,0,256
1499095825,0,256
1499100687,1792,0
1499104353,0,256
1499108105,256,256
1499113818,0,256
1499117422,256,256
1499130906,0,256
1499186952,0,1536
1499190654,2048,0
1499193906,0,256
1499194427,512,0
1499207416,256,0
1499214605,0,256
1499216427,256,0
1499222708,0,256
1499275826,0,1792
1499277623,1280,0
1499280309,0,256
1499287508,0,256
1499302835,0,256
1499306428,256,0
1499353231,0,256
1499363109,0,768
1499364029,768,0
1499367630,256,0
1499378431,256,0
1499383810,0,256
1499392830,256,0
1499396432,0,256
1499449505,0,1024
1499453129,0,256
1499462106,1024,0
1499464812,256,0
1499469321,0,256
1499500948,256,0
1499522475,512,0
1499526169,256,0
1499538619,256,0
1499547962,0,512
1499598019,0,256
1499608811,0,1024
1499614222,0,256
1499619611,0,256
1499624105,0,256
1499629795,1792,0
1499668218,0,256
1499683905,256,0
1499694831,512,0
1499697908,0,256
1499699083,1024,0
1499705511,256,0
1499716156,0,1280
1499727036,256,0
1499747421,256,0
1499771707,0,256
1499774416,1792,0
1499786107,0,1536
1499796906,0,256
1499812223,256,256
1499815823,256,0
1499840108,0,256
1499859033,0,1536
1499874617,768,0
1499877907,0,256
1499888929,256,0
1499891426,256,0
1499895018,0,256
1499898621,0,256
1499940906,0,256
1499961042,0,768
