DateTime,Entries,UniqueIPs
1494518447,62,16896
1494524707,61,16640
1494525626,62,16896
1494540094,61,16640
1494550000,60,16384
1494595827,56,15104
1494604863,57,15360
1494633618,56,15104
1494687629,59,15872
1494691236,58,15360
1494703845,59,15616
1494769564,58,15360
1494772220,56,14848
1494783840,58,15360
1494793822,59,15616
1494797455,59,15872
1494853224,61,16384
1494861306,59,15872
1494876461,60,16128
1494880217,59,15872
1494895021,60,16128
1494950425,58,15616
1494957628,59,15872
1495008062,58,15616
1495029622,61,16384
1495032318,59,15872
1495044021,60,16128
1495067465,59,15872
1495123236,55,14848
1495131306,53,14336
1495135820,54,14592
1495138506,53,14336
1495143026,54,14592
1495150226,53,14336
1495209627,52,14080
1495214256,51,13824
1495224038,53,14336
1495292428,52,14080
1495306820,53,14336
1495315056,54,14592
1495382423,53,14336
1495388049,54,14592
1495393225,53,14336
1495398612,52,14080
1495458029,49,13056
1495497640,48,12800
1495519232,47,12544
1495548448,50,13312
1495563306,48,12800
1495647906,46,12288
1495648826,47,12544
1495652426,48,12800
1495675008,49,13056
1495682541,50,13312
1495724115,54,14336
1495733421,55,14592
1495735073,54,14336
1495739706,53,14080
1495746091,52,13824
1495756834,53,14080
1495814966,54,14592
1495818381,53,14336
1495821619,53,14848
1495836906,52,14592
1495844106,51,14336
1495863024,50,14080
1495897570,56,15616
1495901232,55,15360
1495908422,56,15616
1495911712,56,15616
1495986307,55,15360
1495987221,57,15872
1496023225,58,16128
1496044835,59,16384
1496066759,60,16640
1496074011,59,16384
1496105513,58,16128
1496153049,57,15872
1496157306,58,16128
1496158218,59,16384
1496174134,60,16640
1496238755,63,17408
1496253611,62,17152
1496271032,63,17408
1496278813,62,17152
1496327428,58,15616
1496331925,57,15360
1496341819,61,16640
1496347231,60,16384
1496411451,59,16640
1496419215,58,16384
1496425978,57,16128
1496431819,55,16384
1496440817,54,16128
1496474106,53,15872
1496478631,54,16128
1496502010,53,15616
1496505166,52,15360
1496512422,53,15616
1496515803,52,15360
1496518216,51,15104
1496519724,52,15360
1496525418,51,15104
1496584311,54,15872
1496592010,52,15360
1496599219,51,15104
1496602210,52,15360
1496613306,51,15104
1496664011,50,14848
1496670715,53,15616
1496683823,54,15872
1496703863,53,15616
1496705425,54,15872
1496760731,51,15104
1496764340,52,15360
1496776506,51,15104
1496784618,50,14848
1496789106,49,14592
1496842229,48,14336
1496847058,47,14080
1496854240,46,13824
1496871018,47,14080
1496875507,46,13824
1496899817,47,14080
1496943906,47,13312
1497016302,46,13056
1497027160,46,12800
1497072623,47,13056
1497109978,51,14080
1497113403,52,14336
1497117155,51,14080
1497189103,50,13824
1497191422,49,13568
1497199892,52,14592
1497203516,53,14848
1497207208,52,14592
1497245423,51,14336
1497271926,56,15616
1497274212,54,15104
1497276007,55,15360
1497281415,56,15616
1497288617,55,15360
1497290007,54,15104
1497380051,56,15616
1497382218,55,15360
1497400220,56,15616
1497457816,55,15360
1497538391,59,16384
