DateTime,AddedIPs,RemovedIPs
1499021625,256,256
1499027421,256,256
1499028979,256,256
1499031023,256,256
1499045427,256,256
1499100687,1792,1792
1499108105,256,256
1499110218,256,256
1499114961,256,256
1499117422,256,256
1499129348,256,256
1499136947,256,256
1499190654,2048,2048
1499194427,512,512
1499201385,256,256
1499207416,256,256
1499209637,256,256
1499212829,256,256
1499216427,256,256
1499238030,256,256
1499252434,256,256
1499266975,256,256
1499277623,1280,1280
1499282392,256,256
1499295630,256,256
1499297096,256,256
1499302835,256,256
1499306428,256,256
1499310030,256,256
1499338833,256,256
1499353231,256,256
1499364029,1024,1024
1499367630,512,512
1499378431,256,256
1499383810,512,512
1499392830,256,256
1499396432,256,256
1499410836,256,256
1499439636,256,256
1499462106,1536,1536
1499462326,256,256
1499464812,256,256
1499472037,512,512
1499475856,256,256
1499482844,256,256
1499497562,256,256
1499499021,256,256
1499500948,256,256
1499512037,256,256
1499522475,1280,1280
1499526169,256,256
1499527811,256,256
1499531417,256,256
1499533302,256,256
1499538619,256,256
1499551317,256,256
1499556622,256,256
1499563822,256,256
1499569425,256,256
1499583006,256,256
1499612133,256,256
1499629795,1792,1792
1499683905,256,256
1499694831,512,512
1499699083,1792,1792
1499701787,256,256
1499704210,256,256
1499705511,512,512
1499711418,256,256
1499725819,256,256
1499727036,256,256
1499747421,256,256
1499757309,256,256
1499771707,256,256
1499774416,2048,2048
1499782507,512,512
1499793306,256,256
1499808630,256,256
1499812223,256,256
1499815823,256,256
1499837430,256,256
1499855435,256,256
1499874617,1024,1024
1499877017,256,256
1499888929,256,256
1499891426,512,512
1499914165,256,256
1499964537,1280,1280
1499970616,256,256
1499977820,256,256
1499985019,256,256
1499992221,256,256
1499993365,256,256
1500000577,256,256
1500013831,256,256
1500054669,1792,1792
1500061779,256,256
1500065393,256,256
1500075020,256,256
1500078619,256,256
1500079785,256,256
1500126603,1024,1024
1500136215,256,256
1500137411,256,256
1500141037,256,256
1500143419,256,256
1500147019,256,256
1500157825,256,256
1500223793,2048,2048
1500234571,256,256
1500238243,256,256
1500241988,256,256
1500248964,256,256
1500306568,1792,1792
1500309018,256,256
1500313771,256,256
1500316211,256,256
1500323419,256,256
1500327018,256,256
1500332032,256,256
1500335409,256,256
1500337821,512,512
1500348621,256,256
1500349801,256,256
1500375122,2304,2304
1500377413,256,256
1500378574,256,256
1500384617,256,256
1500396824,256,256
1500409828,256,256
1500413425,256,256
1500417021,256,256
1500418722,256,256
1500421845,256,256
1500424227,256,256
1500425366,256,256
1500427827,256,256
1500439853,256,256
1500486770,1024,1024
1500489019,256,256
1500490213,256,256
1500492619,256,256
1500496224,256,256
1500510628,256,256
1500551384,2048,2048
1500553817,256,256
1500554991,256,256
1500557415,256,256
1500558718,256,256
1500561019,256,256
1500562170,256,256
1500566090,256,256
1500569382,256,256
1500571820,256,256
1500573054,256,256
1500576872,256,256
1500582627,512,512
1500583793,256,256
1500591492,256,256
1500597030,256,256
1500598169,256,256
1500605415,256,256
1500615034,256,256
1500659378,2048,2048
1500661822,256,256
1500676223,256,256
1500683422,256,256
1500684613,256,256
1500687021,256,256
1500701430,256,256
1500738681,1536,1536
1500825033,2048,2048
1500827415,256,256
1500850228,512,512
1500852627,256,256
1500856226,256,256
1500897049,1792,1792
1500899414,256,256
1500900641,256,256
1500904185,256,256
1500906616,512,512
1500910215,512,512
1500911455,256,256
1500913818,256,256
1500917421,256,256
1500918649,512,512
1500922175,256,256
1500925813,256,256
1500929604,512,512
1500935421,256,256
1500936640,256,256
1500942626,256,256
1501005130,2304,2304
1501008602,256,256
1501011018,256,256
1501012174,256,256
1501015834,256,256
1501029017,256,256
1501044639,256,256
1501050626,256,256
1501055402,256,256
1501076954,1280,1280
1501087893,256,256
1501093817,256,256
1501094989,256,256
1501098594,256,256
1501111824,256,256
1501167000,1792,1792
1501170578,512,512
1501173015,256,256
1501174164,256,256
1501176618,256,256
1501180218,512,512
1501181396,256,256
1501191020,256,256
1501194623,256,256
1501199466,256,256
1501202994,256,256
1501253388,1536,1536
1501255816,512,512
1501257039,768,768
1501259418,512,512
1501260717,256,256
1501267859,256,256
1501271375,256,256
1501273820,256,256
1501274988,256,256
1501277422,256,256
1501281020,256,256
1501282270,256,256
