DateTime,Entries,UniqueIPs
1504311382,38536,41004
1504312335,38524,40966
1504312583,36247,38620
1504313321,36276,38652
1504314261,36218,38593
1504314508,36219,38594
1504315223,36392,38799
1504316184,36593,39005
1504316407,36596,39008
1504317149,36714,39137
1504318093,36772,39204
1504318347,36772,39204
1504319067,36746,39161
1504319478,36778,39195
1504320024,36857,39273
1504320249,36856,39272
1504320978,36879,39300
1504321956,36813,39257
1504322444,36816,39260
1504322895,36795,39245
1504323078,36818,39273
1504323860,36774,39227
1504324330,36776,39231
1504324858,36787,39247
1504325793,36752,39231
1504326257,36751,39230
1504326742,36701,39176
1504327714,36691,39150
1504328184,36694,39152
1504328664,36712,39155
1504329622,36707,39127
1504330110,36706,39126
1504330602,36769,39194
1504331575,36690,39094
1504332046,36688,39091
1504332500,36608,39015
1504333468,36550,38970
1504333976,36603,39023
1504334430,36615,39055
1504335381,36603,39055
1504335860,36601,39053
1504336349,36567,39033
1504337302,36517,38993
1504337793,36566,39044
1504338273,36493,38946
1504339248,36426,38884
1504339692,36431,38889
1504340175,36394,38871
1504341145,36296,38790
1504341637,36339,38835
1504342109,36172,38660
1504343064,36051,38527
1504343540,36052,38525
1504344030,36134,38611
1504344986,36220,38682
1504345940,36231,38676
1504346921,36248,38696
1504347394,36249,38697
1504347855,36256,38695
1504348278,36368,38810
1504348825,36445,38905
1504349301,36450,38910
1504349800,36463,38924
1504350740,36407,38841
1504351215,36409,38843
1504351706,36408,38829
1504351878,36463,38885
1504352658,36386,38792
1504353661,36376,38787
1504354580,36297,38715
1504355052,36297,38715
1504355539,36221,38644
1504356514,36159,38557
1504356988,36161,38560
1504357468,36129,38521
1504358431,36003,38383
1504358895,36004,38384
1504359399,35994,38366
1504360334,36071,38459
1504360828,36072,38460
1504361311,36190,38586
1504362277,36267,38696
1504362745,36269,38698
1504363232,36386,38831
1504364171,36397,38849
1504364664,36397,38849
1504365166,36255,38684
1504366355,36285,38708
1504366833,36318,38741
1504367313,36439,38868
1504368261,36589,39050
1504368738,36593,39054
1504369230,36625,39094
1504370186,36614,39081
1504370672,36605,39070
1504371145,36366,38793
