DateTime,AddedIPs,RemovedIPs
1504323722,1,0
1504324322,81,0
1504324996,0,6
1504326121,7,9
1504326723,0,93
1504326781,1,0
1504327322,1,0
1504328163,71,0
1504328522,4,5
1504329122,0,1
1504330921,59,13
1504331522,3,0
1504332012,80,7
1504332122,1,0
1504332483,0,120
1504332722,12,6
1504333321,5,1
1504333924,71,0
1504334521,1,0
1504335121,2,2
1504335842,52,57
1504336922,7,0
1504337764,101,46
1504338243,0,83
1504338721,1,0
1504339322,5,3
1504339396,0,2
1504339922,2,0
1504340522,1,2
1504341121,0,1
1504341605,59,0
1504341722,0,6
1504342996,9,4
1504344121,5,4
1504344721,2,0
1504345443,70,14
1504345923,0,91
1504346596,0,1
1504347122,2,2
1504347721,1,0
1504348922,1,6
1504349284,60,0
1504350136,10,4
1504350722,4,4
1504351684,0,66
1504351981,1,3
1504352522,6,16
1504353797,18,22
1504355042,103,0
1504355581,0,2
1504356121,1,5
1504356965,50,88
1504357443,53,50
1504358522,2,2
1504358883,0,58
1504359721,2,0
1504360808,58,0
1504360922,1,0
1504360996,3,1
1504362121,0,3
1504362723,79,39
1504363203,12,47
1504363322,10,3
1504363922,1,0
1504364536,1,5
1504365121,0,5
1504365721,3,0
1504366322,3,2
1504366802,47,9
1504367284,10,46
1504368136,9,1
1504368721,1,0
1504369322,1,0
1504369921,1,0
1504370642,55,11
1504371122,11,52
1504371737,2,6
1504372322,2,0
1504373042,2,65
1504374121,0,1
1504374482,66,0
1504375397,23,5
1504376522,2,5
1504377722,7,10
1504378563,53,11
1504379043,1,85
1504380122,7,1
1504381321,0,3
1504382418,55,0
1504382522,7,1
1504382537,0,2
1504383721,10,2
1504384324,47,10
1504384922,5,3
1504386242,44,20
1504386723,21,103
1504387321,1,1
1504388521,1,1
1504389797,3,11
1504391521,5,2
1504392002,46,5
1504392484,26,74
1504393397,3,0
1504394645,13,4
1504395721,2,2
1504396562,67,55
1504396998,0,3
1504398483,1,69
1504398782,0,1
1504399322,5,2
1504400408,50,0
1504400597,10,5
1504401121,1,7
1504401722,0,1
1504402563,3,76
1504402922,8,0
1504403521,1,1
1504404484,85,71
1504404722,14,2
1504405321,9,0
1504406403,53,0
1504406521,4,2
1504407121,4,0
1504407797,2,3
1504408922,4,4
1504410244,93,7
1504410722,8,1
1504411322,6,6
1504412163,0,171
1504412522,4,10
1504413122,0,2
1504413721,2,6
1504414563,109,0
1504414937,1,0
1504415522,6,2
1504416122,1,1
1504416724,137,158
1504416781,2,1
1504417322,7,0
1504417922,8,38
1504418644,2,0
1504419721,0,7
1504420563,64,72
1504420922,0,1
1504422121,2,0
1504422485,0,51
1504422722,1,0
1504423322,4,1
1504423921,3,0
1504423981,0,4
1504424402,66,0
1504424521,1,0
1504425122,1,2
1504425737,2,1
1504426321,1,0
1504426922,1,4
1504427522,0,2
1504428242,43,12
1504429337,0,1
1504430165,0,92
1504430521,2,1
1504431722,1,3
1504432082,51,0
