DateTime,Entries,UniqueIPs
1503676098,2574,2574
1503678042,1434,1434
1503679958,1443,1443
1503681862,2015,2015
1503683789,2019,2019
1503685700,2013,2013
1503687642,1994,1994
1503689556,1989,1989
1503691468,1996,1996
1503693402,1993,1993
1503695328,2009,2009
1503697239,2002,2002
1503699154,2002,2002
1503701069,2007,2007
1503703015,2009,2009
1503704915,2015,2015
1503706824,2018,2018
1503708756,1995,1995
1503710663,1995,1995
1503712576,2004,2004
1503714495,1996,1996
1503716450,1965,1965
1503718356,1939,1939
1503720283,1925,1925
1503722176,1922,1922
1503724115,2446,2446
1503726021,2452,2452
1503727944,2452,2452
1503729858,2450,2450
1503731791,2436,2436
1503733712,2433,2433
1503735632,2429,2429
1503737534,2426,2426
1503739458,2419,2419
1503741389,2414,2414
1503743327,2419,2419
1503745226,2436,2436
1503747137,2445,2445
1503749076,2446,2446
1503750996,2422,2422
1503752914,2412,2412
1503754821,2418,2418
1503756735,2414,2414
1503758657,2405,2405
1503760845,2393,2393
1503762758,2355,2355
1503764675,1117,1117
1503766579,1114,1114
1503768512,1690,1690
1503770447,1673,1673
1503772598,1670,1670
1503774515,1670,1670
1503776436,1655,1655
1503778359,1653,1653
1503780274,1649,1649
1503782175,1642,1642
1503784101,1635,1635
1503786262,1622,1622
1503788169,1626,1626
1503790365,1610,1610
1503792267,1610,1610
1503794174,1606,1606
1503796093,1612,1612
1503798028,1616,1616
1503799954,1609,1609
1503801856,1608,1608
1503803775,1603,1603
1503805708,1608,1608
1503807613,1599,1599
1503809535,1593,1593
1503811454,2115,2115
1503813391,2105,2105
1503815295,2098,2098
1503817225,2115,2115
1503819148,2110,2110
1503821061,2112,2112
1503822975,2118,2118
1503824909,2126,2126
1503826828,2118,2118
1503828738,2111,2111
1503830653,2118,2118
1503832584,2104,2104
1503834492,2096,2096
1503836437,2097,2097
1503838347,2096,2096
1503840316,2095,2095
1503842171,2087,2087
1503844090,2077,2077
1503846020,2063,2063
1503847932,2065,2065
1503849854,1126,1126
1503851775,1129,1129
1503853691,1600,1600
1503855626,1604,1604
1503857431,1601,1601
1503859451,1608,1608
1503861371,1620,1620
1503863294,1623,1623
1503865218,1632,1632
1503867140,1631,1631
1503869587,1630,1630
1503871453,1618,1618
1503873639,1599,1599
1503875552,1594,1594
1503877470,1588,1588
1503879373,1581,1581
1503881294,1577,1577
1503883228,1564,1564
1503885151,1549,1549
1503887125,1538,1538
1503888980,1529,1529
1503890892,1529,1529
1503892837,1525,1525
1503894752,1515,1515
1503896657,1941,1941
1503898577,1934,1934
1503900510,1923,1923
1503902437,1933,1933
1503904346,1935,1935
1503906262,1930,1930
1503908246,1949,1949
1503910114,1962,1962
1503912035,1965,1965
1503913938,1965,1965
1503915869,1949,1949
1503917777,1936,1936
1503919702,1937,1937
1503921654,1935,1935
1503923551,1940,1940
1503925480,1929,1929
1503927379,1923,1923
1503929299,1924,1924
1503931237,1931,1931
1503933162,1928,1928
1503935069,1935,1935
1503937015,972,972
1503938896,962,962
1503940836,1439,1439
1503942756,1440,1440
1503944683,1436,1436
1503946574,1433,1433
1503948498,1432,1432
1503950444,1433,1433
1503952850,1441,1441
1503954757,1428,1428
1503956662,1435,1435
1503959004,1439,1439
1503960971,1454,1454
1503962894,1457,1457
1503964832,1466,1466
1503966751,1469,1469
1503968664,1473,1473
1503970576,1480,1480
1503972491,1488,1488
1503974427,1503,1503
1503976352,1524,1524
1503978255,1527,1527
1503980172,1531,1531
1503982098,1532,1532
1503984043,1974,1974
1503985944,1983,1983
1503987853,1992,1992
1503989774,2006,2006
1503991705,2001,2001
1503993621,1980,1980
1503995552,1978,1978
1503997463,1965,1965
1503999388,1966,1966
1504001306,1961,1961
1504003209,1955,1955
1504005132,1954,1954
1504007062,1968,1968
1504008995,1978,1978
1504010890,1983,1983
1504012831,1988,1988
1504014744,1991,1991
1504016654,1996,1996
1504018844,1999,1999
1504020743,1997,1997
1504022661,1174,1174
1504024571,1184,1184
1504026490,1641,1641
1504028423,1664,1664
1504030599,1693,1693
1504032496,1711,1711
1504035408,1738,1738
1504037294,1762,1762
1504039227,1784,1784
1504041147,1786,1786
1504043067,1794,1794
1504045405,1807,1807
1504047375,1824,1824
1504049291,1821,1821
1504051237,1818,1818
1504053147,1819,1819
1504055080,1853,1853
1504056971,1896,1896
1504058898,1922,1922
1504060830,1960,1960
1504062758,1995,1995
1504064653,2032,2032
1504066588,2062,2062
1504068508,2104,2104
1504070438,2524,2524
1504072342,2559,2559
1504074258,2592,2592
1504076185,2637,2637
1504078105,2687,2687
1504080014,2733,2733
1504081939,2755,2755
1504083859,2786,2786
1504085788,2803,2803
1504087703,2830,2830
1504089618,2851,2851
1504091532,2878,2878
1504093455,2905,2905
1504095382,2934,2934
1504097312,2956,2956
1504099217,2976,2976
1504101135,2996,2996
1504103066,3009,3009
1504104989,3014,3014
1504106904,3031,3031
1504108831,2044,2044
1504110736,2052,2052
1504112671,2581,2581
1504114585,2588,2588
1504117143,2616,2616
1504119141,2615,2615
1504121052,2613,2613
1504122986,2619,2619
1504124906,2632,2632
1504126812,2630,2630
1504128750,2639,2639
1504130658,2647,2647
1504132573,2653,2653
1504134491,2662,2662
1504136411,2650,2650
1504138330,2644,2644
1504140253,2652,2652
1504142171,2658,2658
1504144094,2659,2659
1504146032,2655,2655
1504147947,2649,2649
1504149852,2644,2644
1504151793,2684,2684
1504153694,2691,2691
1504155645,3138,3138
1504157547,3134,3134
1504159465,3128,3128
1504161389,3130,3130
1504163297,3133,3133
1504165226,3141,3141
1504167159,3146,3146
1504169058,3144,3144
1504170976,3145,3145
1504172893,3155,3155
1504174837,3164,3164
1504176743,3164,3164
1504178672,3180,3180
1504180572,3161,3161
1504182499,3155,3155
1504184439,3154,3154
1504186354,3165,3165
1504188267,3159,3159
1504190181,3157,3157
1504192353,3166,3166
1504194263,3161,3161
1504196175,1256,1256
1504198112,1238,1238
1504200021,2226,2226
1504202203,2201,2201
1504204108,2181,2181
1504206042,2125,2125
1504207944,2090,2090
1504210125,2062,2062
1504212037,2044,2044
1504213947,2018,2018
1504215857,2007,2007
1504218086,2005,2005
1504219940,1980,1980
1504221853,1945,1945
1504223780,1922,1922
1504225710,1891,1891
1504227630,1843,1843
1504229559,1812,1812
1504231462,1786,1786
1504233391,1764,1764
1504235312,1748,1748
1504237219,1742,1742
1504239142,1727,1727
1504241067,1702,1702
1504242993,2632,2632
1504244916,2592,2592
1504246842,2564,2564
1504248737,2544,2544
1504250653,2506,2506
1504252597,2467,2467
1504254508,2435,2435
1504256433,2372,2372
1504258340,2355,2355
1504260266,2324,2324
1504262197,2302,2302
1504264096,2273,2273
1504266031,2261,2261
1504267954,2242,2242
1504269869,2215,2215
1504271784,2201,2201
1504273700,2183,2183
1504275640,2153,2153
1504277550,2141,2141
1504279731,2115,2115
1504281635,996,996
1504283562,991,991
1504285455,1475,1475
1504287391,1477,1477
1504289427,1473,1473
1504291468,1479,1479
1504293385,1476,1476
1504295302,1458,1458
1504297229,1452,1452
1504299147,1447,1447
1504301050,1437,1437
1504302987,1431,1431
1504304887,1431,1431
1504306831,1427,1427
1504308737,1428,1428
1504310668,1416,1416
1504312584,1413,1413
1504314509,1405,1405
1504316408,1391,1391
1504318348,1382,1382
1504320250,1371,1371
1504322446,1365,1365
1504324331,1372,1372
1504326258,1371,1371
1504328185,1362,1362
1504330112,1811,1811
1504332047,1812,1812
1504333977,1830,1830
1504335861,1823,1823
1504337794,1813,1813
1504339693,1807,1807
1504341638,1803,1803
1504343541,1800,1800
1504345466,1788,1788
1504347394,1778,1778
1504349302,1774,1774
1504351216,1759,1759
1504353135,1759,1759
1504355053,1751,1751
1504356989,1748,1748
1504358896,1734,1734
1504360828,1721,1721
1504362745,1712,1712
1504364665,1708,1708
1504366834,1699,1699
1504368739,871,871
1504370673,885,885
1504372574,1254,1254
1504374492,1255,1255
1504376672,1257,1257
1504378587,1252,1252
1504380504,1245,1245
1504382427,1248,1248
1504384358,1257,1257
1504386261,1254,1254
1504388188,1256,1256
1504390115,1253,1253
1504392017,1244,1244
1504394690,1248,1248
1504396575,1266,1266
1504398495,1258,1258
1504400433,1269,1269
1504402289,1259,1259
1504404278,1261,1261
1504406192,1260,1260
1504408118,1275,1275
1504410019,1283,1283
1504411934,1295,1295
1504414114,1289,1289
1504416030,1607,1607
1504417946,1597,1597
1504419857,1594,1594
1504421769,1596,1596
1504423704,1602,1602
1504425632,1604,1604
1504427535,1605,1605
1504429466,1597,1597
1504431384,1596,1596
1504433306,1596,1596
1504435215,1591,1591
1504437138,1612,1612
1504439063,1614,1614
1504440982,1605,1605
1504442891,1600,1600
1504444833,1597,1597
1504446734,1592,1592
1504448658,1592,1592
1504450585,1588,1588
1504452506,1593,1593
1504454432,868,868
1504456344,850,850
1504458267,1203,1203
1504460185,1217,1217
1504462219,1211,1211
1504464264,1202,1202
1504466171,1201,1201
1504468092,1193,1193
1504470012,1197,1197
1504471939,1196,1196
1504473851,1200,1200
1504476034,1211,1211
1504477940,1222,1222
1504480103,1229,1229
1504482027,1229,1229
1504483950,1217,1217
1504485858,1208,1208
1504487787,1214,1214
1504489704,1208,1208
1504491616,1204,1204
1504493547,1208,1208
1504495454,1205,1205
1504497384,1224,1224
1504499308,1273,1273
1504501235,1648,1648
1504503156,1670,1670
1504505058,1682,1682
1504506983,1689,1689
1504508904,1691,1691
1504510812,1686,1686
1504512749,1692,1692
1504514660,1700,1700
1504516595,1709,1709
1504518509,1717,1717
1504520417,1741,1741
1504522331,1753,1753
1504524264,1760,1760
1504526187,1761,1761
1504528100,1758,1758
1504530032,1774,1774
1504531946,1779,1779
1504533861,1783,1783
1504535786,1784,1784
1504537705,1795,1795
1504539627,1798,1798
1504541551,1059,1059
1504543459,1065,1065
1504545392,1392,1392
1504547308,1408,1408
1504549241,1426,1426
1504551147,1439,1439
1504553063,1434,1434
1504555232,1448,1448
1504557148,1448,1448
1504559061,1456,1456
1504560994,1462,1462
1504563152,1470,1470
1504565065,1470,1470
1504566987,1470,1470
1504568911,1465,1465
1504570832,1466,1466
1504572753,1472,1472
1504574664,1476,1476
1504576579,1479,1479
1504578494,1476,1476
1504580442,1478,1478
1504582342,1496,1496
1504584508,1501,1501
1504586671,1508,1508
1504588574,1790,1790
1504590499,1796,1796
1504592432,1799,1799
1504594344,1807,1807
1504596258,1796,1796
1504598186,1813,1813
1504600107,1817,1817
1504602048,1830,1830
1504603942,1834,1834
1504605866,1834,1834
1504607791,1829,1829
1504609717,1840,1840
1504611639,1854,1854
1504613547,1866,1866
1504615466,1859,1859
1504617397,1879,1879
1504619305,1896,1896
1504621248,1900,1900
1504623159,1897,1897
1504625068,1888,1888
1504626989,1901,1901
1504628908,989,989
1504631330,1468,1468
1504633225,1448,1448
1504635161,1442,1442
1504637066,1453,1453
1504638993,1452,1452
1504640909,1456,1456
1504642827,1454,1454
1504644733,1454,1454
