DateTime,Entries,UniqueIPs
1440181863,2699,666661539
1440616853,2699,666661539
1442530804,2699,666661539
1453057802,2699,666661539
1453144806,2699,666661539
1453231804,2699,666661539
1453318802,2699,666661539
1453405802,2699,666661539
1453492806,2699,666661539
1453579807,2699,666661539
1453666805,2699,666661539
1481142903,2697,656175779
1500084853,2679,656081827
1500171305,2683,656148643
1500257887,2680,656008099
1500344343,2677,655891363
1500430869,2680,656139683
1500517326,2678,656057251
1500603966,2683,656132259
1500690570,2687,656167331
1500777070,2684,639380899
1500863529,2681,656140963
1500950032,2685,635030179
1501036448,2692,639392419
1501123019,2681,656152227
1501209696,2685,639358627
1501296148,2684,656164771
1501382630,2682,656139683
1501469102,2681,656136355
1501555566,2678,655894435
1501642064,2679,655850147
1501728512,2682,656158627
1501814996,2681,656096419
1501901553,2683,656158371
1501988003,2684,639371171
1502074443,2677,655867299
1502160922,2680,656154275
1502247521,2685,656156835
1502333945,2680,655890595
1502420404,2680,656154275
1502506872,2682,656139939
1502593331,2685,655636643
1502679863,2681,653801891
1502766315,2680,656115619
1502852876,2685,656156323
1502939379,2683,656133027
1503025900,2686,639338915
1503112328,2683,653016163
1503198904,2678,656134051
1503285409,2685,656071075
1503371887,2679,656073635
1503458793,2677,655872931
1503545224,2679,655992483
1503631780,2679,654051235
1503718209,2684,656158627
1503891188,2686,656159907
1503977701,2681,656024483
1504064379,2677,656153507
1504150804,2679,655891619
1504237356,2687,655776163
1504323855,2686,656141475
1504410308,2679,656148131
1504496767,2685,655598243
1504583494,2679,656069539
