DateTime,AddedIPs,RemovedIPs
1465745904,0,256
1500027089,0,4016
1500113546,4016,68186
1500200005,68186,66513
1500286465,66513,1552
1500372920,1552,270312
1500459373,270315,1481
1500545958,1481,468
1500632486,465,70040
1500718932,70043,67721
1500805405,67721,197275
1500891938,197272,465
1500978447,465,1072
1501065010,1072,67968
1501151484,67968,2096
1501237949,2096,2040
1501324393,2040,2680
1501410861,2680,4720
1501497311,4720,16344
1501583906,16344,1888
1501670352,1888,9768
1501756821,9768,67367
1501843285,67367,9096
1501929840,9096,82600
1502016253,82600,87704
1502102734,87704,2080
1502189269,2080,85000
1502275693,85000,67472
1502362294,67472,68144
1502448769,68144,3320
1502535191,3320,199569
1502621679,199569,841
1502708119,841,66592
1502794671,66592,1768
1502881100,1768,24640
1502967561,24640,1545
1503054014,1545,2688
1503140503,2688,3056
1503226932,3056,1584
1503313393,1584,10424
1503399906,10424,4048
1503486372,4048,66738
1503572939,66738,2032
1503659390,2032,68024
1503832278,68024,66488
1503918874,66488,100275
1504005322,100278,67545
1504091772,67545,67668
1504178362,67665,78808
1504264813,78808,22392
1504351450,22392,873
1504437911,876,99816
1504524611,99816,1011
1504611094,1008,67216
