DateTime,AddedIPs,RemovedIPs
1442182267,0,346758059
1442269230,346758059,0
1453534814,0,2097152
1495482316,0,233907652
1495568795,233907652,0
1500066089,0,456
1500152550,456,448
1500238995,448,1944
1500325466,1944,71648
1500411930,71648,66281
1500498376,66281,913
1500585017,913,920
1500671589,920,1113
1500758090,1113,84233
1500844514,84233,65737
1500931014,65737,912
1501017434,912,5345
1501103910,5345,547
1501190489,547,672
1501276961,672,857
1501363410,857,432
1501449860,432,634
1501536381,634,5920
1501622844,5920,117576
1501709332,117576,9130
1501795814,9130,135718
1501882316,135718,976
1501968744,976,68760
1502055195,68760,1632
1502141659,1632,1841
1502228218,1841,632
1502314636,632,6825
1502401222,6825,602
1502487678,602,1544
1502574147,1544,552
1502660619,552,672
1502747074,672,1737
1502833570,1737,1216
1502920039,1216,72257
1503006498,72257,197360
1503092978,197360,66184
1503179432,66184,1393
1503265886,1393,26208
1503352376,26208,208
1503438842,208,2489
1503525316,2489,4560
1503611774,4560,1867
1503698246,1867,2456
1503871156,2456,411
1503957660,411,17201
1504044101,17201,19112
1504130551,19112,12136
1504217011,12136,131417
1504303484,131417,1418
1504389923,1418,11712
1504476380,11712,8631
1504562846,8631,12654
