DateTime,AddedIPs,RemovedIPs
1500046852,0,1040
1500133325,1040,2064
1500219913,2064,1440
1500306415,1440,272
1500392832,272,5160
1500479292,5160,50748
1500565759,50748,96
1500652228,96,96
1500738687,96,189
1500825129,189,371
1500911613,371,848
1500998060,848,584
1501084520,584,1345
1501170963,1345,648
1501257448,392,3097
1501343972,3353,608
1501430405,608,24
1501516866,24,553
1501603333,297,416
1501689790,672,57
1501776247,57,23666
1501862708,23666,352
1501949311,352,40
1502035763,40,568
1502122207,568,1468
1502208726,1468,9296
1502295193,9296,41
1502381706,41,2344
1502468438,2344,65880
1502554990,65880,320
1502641510,320,72
1502728047,72,361
1502814606,361,328008
1502901193,328008,66617
1502987847,66617,65912
1503074813,65912,296
1503161404,296,384
1503247869,384,528
1503334326,528,536
1503420787,24,473
1503507247,985,1882
1503593704,1882,1048
1503680171,1048,2984
1503853087,2984,296
1503939551,296,123
1504026003,123,206408
1504112466,206408,32
1504198933,32,320
1504285429,320,5522
1504371880,5506,16728
