DateTime,AddedIPs,RemovedIPs
1457842203,10,0
1500088203,0,1
1500174672,1,1
1500261126,1,0
1500347584,0,8
1500434042,8,2
1500520504,2,2
1500606974,2,1
1500693423,1,0
1500779883,0,3
1500866345,3,6
1500952803,6,2
1501039265,2,2
1501125724,2,2
1501212183,2,0
1501298643,0,1
1501385105,1,1
1501471563,1,1
1501558023,1,3
1501644483,3,3
1501730944,3,5
1501817402,5,0
1501903874,0,1
1501990329,1,0
1502076788,0,1
1502163245,1,3
1502249702,3,4
1502336169,3,1
1502422628,2,3
1502509084,3,1
1502595545,1,2
1502682002,2,2
1502768464,2,1
1502854923,1,0
1502941384,0,3
1503027844,3,3
1503114304,3,0
1503200767,0,2
1503287240,2,3
1503373684,3,3
1503460145,3,5
1503546604,5,0
1503719524,0,2
1503892445,2,0
1503978904,0,4
1504065363,4,2
1504151823,2,1
1504238283,1,5
1504324755,5,1
1504411204,1,3
1504497664,3,5
1504584128,5,2
