DateTime,Entries,UniqueIPs
1497453012,3524,3524
1497467413,3506,3506
1497481813,3536,3536
1497496212,3502,3502
1497510613,3514,3514
1497525013,3555,3555
1497539413,3580,3580
1497553813,3644,3644
1497568213,3663,3663
1497582612,3692,3692
1497597013,3729,3729
1497611413,3645,3645
1497625812,3596,3596
1497640212,3517,3517
1497654612,3519,3519
1497669015,3480,3480
1497683415,3414,3414
1497697812,3369,3369
1497712212,3321,3321
1497726611,3266,3266
1497741012,3176,3176
1497755411,3088,3088
1497769810,3077,3077
1497784211,3083,3083
1497798610,3021,3021
1497813012,2996,2996
1497827411,2975,2975
1497841811,3009,3009
1497856210,3071,3071
1497870611,3143,3143
1497885011,3196,3196
1497899412,3306,3306
1497913811,3352,3352
1497928211,3440,3440
1497942612,3490,3490
1497957012,3534,3534
1497971412,3612,3612
1497985821,3655,3655
1498000212,3635,3635
1498014612,3643,3643
1498029012,3627,3627
1498043413,3644,3644
1498057816,3611,3611
1498072214,3566,3566
1498086613,3507,3507
1498101012,3501,3501
1498115412,3382,3382
1498129812,3394,3394
1498144212,3418,3418
1498158612,3388,3388
1498173012,3406,3406
1498187412,3370,3370
1498201814,3445,3445
1498216212,3445,3445
1498230612,3448,3448
1498245013,3485,3485
1498259417,3468,3468
1498273811,3439,3439
1498288212,3444,3444
1498302613,3410,3410
1498317014,3372,3372
1498331417,3340,3340
1498345813,3278,3278
1498360213,3167,3167
1498374611,3148,3148
1498389013,3121,3121
1498403411,3134,3134
1498417811,3166,3166
1498432211,3208,3208
1498446611,3166,3166
1498461011,3216,3216
1498475412,3241,3241
1498489811,3242,3242
1498504211,3247,3247
1498518612,3314,3314
1498533011,3314,3314
1498547411,3333,3333
1498561812,3357,3357
1498576211,3375,3375
1498590612,3424,3424
1498605012,3607,3607
1498619412,3565,3565
1498633819,3520,3520
1498648212,3544,3544
1498662612,3565,3565
1498677012,3592,3592
1498691412,3650,3650
1498705812,3656,3656
1498720213,3600,3600
1498734612,3635,3635
1498749012,3512,3512
1498763416,3358,3358
1498777812,3346,3346
1498792212,3300,3300
1498806611,3304,3304
1498821012,3285,3285
1498835411,3259,3259
1498849811,3196,3196
1498864211,3128,3128
1498878612,3100,3100
1498893010,3057,3057
1498907411,3022,3022
1498921813,3048,3048
1498936211,3052,3052
1498950612,3078,3078
1498965012,3047,3047
1498979411,3034,3034
1498993811,2968,2968
1499008210,2952,2952
1499022610,2928,2928
1499037010,2936,2936
1499051410,2904,2904
1499065810,2928,2928
1499080210,2948,2948
1499094610,2947,2947
1499109010,2977,2977
1499123410,3000,3000
1499137811,3064,3064
1499152212,3183,3183
1499166611,3184,3184
1499181011,3254,3254
1499195411,3289,3289
1499209812,3274,3274
1499224212,3227,3227
1499238612,3244,3244
1499253012,3258,3258
1499267412,3290,3290
1499281811,3275,3275
1499296211,3229,3229
1499310612,3170,3170
1499325012,3185,3185
1499339411,3198,3198
1499353812,3245,3245
1499368213,3348,3348
1499382612,3375,3375
1499397011,3420,3420
1499411412,3444,3444
1499425812,3462,3462
1499440212,3497,3497
1499454611,3541,3541
1499469012,3533,3533
1499483411,3506,3506
1499497812,3499,3499
1499512212,3510,3510
1499526612,3440,3440
1499541017,3396,3396
1499555411,3424,3424
1499569811,3398,3398
1499584211,3404,3404
1499598611,3360,3360
1499613011,3320,3320
1499627411,3317,3317
1499641812,3323,3323
1499656211,3293,3293
1499670611,3293,3293
1499685011,3357,3357
1499699411,3353,3353
1499713812,3350,3350
1499728212,3331,3331
1499742611,3325,3325
1499757011,3372,3372
1499771411,3406,3406
1499785813,3460,3460
1499800214,3441,3441
1499814612,3452,3452
1499829012,3456,3456
1499843411,3407,3407
1499857811,3398,3398
1499872385,3409,3409
1499886611,3451,3451
1499901012,3414,3414
1499915411,3359,3359
1499929811,3353,3353
1499944212,3377,3377
1499958611,3381,3381
1499973012,3402,3402
1499987412,3375,3375
1500001812,3416,3416
1500016212,3411,3411
1500030612,3429,3429
1500045011,3452,3452
1500059412,3477,3477
1500073812,3457,3457
1500088214,3433,3433
1500102612,3402,3402
1500117012,3384,3384
1500131412,3362,3362
1500145812,3365,3365
