DateTime,AddedIPs,RemovedIPs
1497492619,18,7
1497507019,9,9
1497521419,21,14
1497535821,8,22
1497550228,10,16
1497564619,19,7
1497579019,16,7
1497589819,18,7
1497604337,25,8
1497618618,56,13
1497633018,32,14
1497647418,9,17
1497661825,4,10
1497676218,4,21
1497690619,7,8
1497705025,1,9
1497719424,5,20
1497733828,4,14
1497748218,12,21
1497762617,14,28
1497777016,3,70
1497791413,11,16
1497805814,11,8
1497820216,2,4
1497834613,10,7
1497849013,10,2
1497863414,14,3
1497877814,16,6
1497892216,13,2
1497906616,24,19
1497921014,12,8
1497935416,9,3
1497949815,17,17
1497964219,9,6
1497978619,9,5
1497993019,21,11
1498007415,4,7
1498021816,11,16
1498036218,9,17
1498050616,13,17
1498065016,14,20
1498079417,19,9
1498093815,12,9
1498108216,11,17
1498122615,16,10
1498137015,5,9
1498151414,15,22
1498165816,7,3
1498180216,4,10
1498194616,17,10
1498209014,8,15
1498223415,2,11
1498237817,7,24
1498252244,19,9
1498266616,10,11
1498281015,8,14
1498295415,13,9
1498309816,12,13
1498324216,3,5
1498338616,4,3
1498353018,8,21
1498367414,20,3
1498381814,7,2
1498396215,28,12
1498410614,17,16
1498425014,18,10
1498439414,18,10
1498453814,21,11
1498468215,9,13
1498482615,13,1
1498497014,9,3
1498511414,18,17
1498525814,25,13
1498540215,29,8
1498554614,26,29
1498569015,15,17
1498583415,13,21
1498597815,3,18
1498612215,9,17
1498626614,12,5
1498641014,3,21
1498655415,2,4
1498669814,12,23
1498684215,3,25
1498698614,12,26
1498713014,22,27
1498727415,9,17
1498741815,7,8
1498756213,8,4
1498770614,4,8
1498785014,16,11
1498799414,20,3
1498813814,9,3
1498828214,8,11
1498842615,14,5
1498857015,16,15
1498867815,6,15
1498882213,7,10
1498896613,24,7
1498911013,13,8
1498925413,9,4
1498939815,22,16
1498954216,25,19
1498968614,14,10
1498983013,10,7
1498997413,22,14
1499011813,15,17
1499026218,19,7
1499040613,20,6
1499055014,18,23
1499069414,10,13
1499083813,14,9
1499098213,37,27
1499112613,19,21
1499127015,9,11
1499141413,27,15
1499155813,14,22
1499170214,13,13
1499184613,20,24
1499199014,8,17
1499213417,8,16
1499227814,18,9
1499242214,14,19
1499256614,10,42
1499271013,23,8
1499285414,8,12
1499299816,2,29
1499314214,2,9
1499328614,1,22
1499343014,4,12
1499357413,20,6
1499371817,19,11
1499386214,15,22
1499400614,10,11
1499415014,10,12
1499429414,25,23
1499443814,12,6
1499458214,15,2
1499472615,9,1
1499487014,10,4
1499501415,7,2
1499515815,10,24
1499530214,16,18
1499544614,11,10
1499559015,7,7
1499573414,10,17
1499587814,5,19
1499602213,15,8
1499616613,11,16
1499631015,12,9
1499645414,4,10
1499659814,13,7
1499674213,9,15
1499688615,25,8
1499703059,7,12
1499717415,17,9
1499731814,11,9
1499746214,28,8
1499760614,8,13
1499775015,3,10
1499789415,12,10
1499803816,14,5
1499818215,24,14
1499832614,35,13
1499847015,18,25
1499861414,11,4
1499875814,29,15
1499890214,9,20
1499904614,7,23
1499919014,13,5
1499933415,9,5
1499947814,17,20
1499962214,13,16
1499976615,8,20
1499991024,8,34
1500005414,16,16
1500019814,12,19
1500034215,14,21
1500048614,14,7
1500063014,6,7
1500077415,10,13
1500091814,9,7
1500106215,9,20
1500120615,12,9
1500135015,6,8
1500149415,9,13
1500163816,5,15
1500178215,9,4
1500192614,6,13
1500207018,18,13
1500221414,27,8
1500235813,10,12
1500250214,11,9
1500264614,18,5
1500279015,11,13
1500293414,19,6
1500307813,28,10
1500322213,18,9
1500336614,6,8
1500351016,22,5
1500365415,5,24
1500379815,12,27
1500394214,54,10
1500408615,16,9
1500423016,14,18
1500437415,29,9
1500451815,10,28
1500466216,10,20
1500480615,13,19
1500495015,26,8
1500509416,34,22
1500523815,45,5
1500538215,6,26
1500552615,24,45
1500567015,45,13
1500581415,12,19
1500595815,13,28
1500610215,18,4
1500624614,15,9
1500639015,26,13
1500653414,34,32
1500667814,14,37
1500682215,27,36
1500696614,23,13
1500711014,10,24
1500725415,18,45
1500739814,31,6
1500754216,11,15
1500768615,18,20
1500783014,14,19
1500797414,9,29
1500811814,13,28
