DateTime,AddedIPs,RemovedIPs
1497492625,210,193
1497507024,241,259
1497521425,210,239
1497535827,205,214
1497550241,248,198
1497564626,211,178
1497579025,186,199
1497589825,150,169
1497604351,0,1860
1497618624,2082,224
1497633024,200,209
1497647424,189,228
1497661833,201,234
1497676223,194,217
1497690626,175,200
1497705033,205,236
1497719432,195,232
1497733834,176,197
1497748224,176,209
1497762623,143,206
1497777021,172,223
1497791418,166,196
1497805819,199,191
1497820222,194,199
1497834618,181,188
1497849018,193,177
1497863420,213,205
1497877819,225,194
1497892221,215,167
1497906621,217,170
1497921019,206,146
1497935421,198,158
1497949820,241,175
1497964231,215,197
1497978627,237,194
1497993027,208,183
1498007421,216,190
1498021822,189,201
1498036224,198,234
1498050623,230,214
1498065023,177,216
1498079423,174,197
1498093821,211,194
1498108222,192,253
1498122621,223,202
1498137021,191,233
1498151420,226,210
1498165822,197,220
1498180222,197,195
1498194623,171,201
1498209020,192,235
1498223421,206,182
1498237823,194,170
1498252251,163,202
1498266621,139,192
1498281021,172,216
1498295421,181,200
1498309821,191,230
1498324222,174,199
1498338622,176,190
1498353024,195,175
1498367420,166,196
1498381819,175,207
1498396220,172,197
1498410619,180,172
1498425019,192,134
1498439419,161,173
1498453819,175,173
1498468220,189,186
1498482620,201,179
1498497019,189,189
1498511421,191,203
1498525820,192,165
1498540220,200,178
1498554620,188,176
1498569021,214,175
1498583420,179,191
1498597820,196,166
1498612221,193,163
1498626620,195,189
1498641020,208,204
1498655421,232,188
1498669820,218,184
1498684221,190,186
1498698620,197,196
1498713020,170,188
1498727421,188,208
1498741820,193,184
1498756219,217,205
1498770621,172,199
1498785020,167,202
1498799420,173,201
1498813820,171,221
1498828219,182,229
1498842620,189,200
1498857020,184,189
1498867820,127,126
1498882218,172,201
1498896619,184,196
1498911019,172,216
1498925418,173,174
1498939821,182,181
1498954221,162,167
1498968619,136,167
1498983018,148,179
1498997417,174,193
1499011817,179,180
1499026226,164,174
1499040618,141,171
1499055018,145,178
1499069418,175,170
1499083817,198,177
1499098217,211,176
1499112618,198,168
1499127019,170,137
1499141418,161,145
1499155818,202,178
1499170219,185,176
1499184619,224,157
1499199019,198,138
1499213422,186,144
1499227820,187,177
1499242220,177,192
1499256620,168,218
1499271018,177,206
1499285420,195,162
1499299822,191,150
1499314219,167,202
1499328620,191,187
1499343020,199,219
1499357418,217,197
1499371823,256,169
1499386220,187,185
1499400620,190,175
1499415020,206,180
1499429420,222,184
1499443820,209,185
1499458220,183,188
1499472621,189,168
1499487020,183,185
1499501421,185,198
1499515821,196,220
1499530221,185,249
1499544620,210,183
1499559020,191,201
1499573420,182,205
1499587819,202,221
1499602219,157,218
1499616618,155,180
1499631020,216,195
1499645420,162,191
1499659819,162,187
1499674219,195,200
1499688620,192,182
1499703064,229,208
1499717421,194,190
1499731820,185,177
1499746221,173,195
1499760620,192,155
1499775020,185,169
1499789421,216,203
1499803822,218,161
1499818222,181,157
1499832620,191,193
1499847021,245,200
1499861421,222,229
1499875820,205,201
1499890220,204,182
1499904620,207,159
1499919019,60,375
1499933420,229,183
1499947819,213,204
1499962219,265,210
1499976622,198,167
1499991029,176,184
1500005420,186,237
1500019820,206,209
1500034221,203,211
1500048619,212,189
1500063020,213,198
1500077421,191,59
1500091820,178,206
1500106221,189,190
1500120620,193,260
1500135021,211,199
1500149421,205,156
1500163821,117,318
1500178220,194,190
1500192619,230,197
1500207024,208,205
1500221419,179,203
1500235819,180,177
1500250220,187,169
1500264619,187,181
1500279020,177,191
1500293419,218,204
1500307819,204,202
1500322219,204,124
1500336620,178,177
1500351022,173,214
1500365420,182,189
1500379820,197,178
1500394220,199,188
1500408621,207,180
1500423021,179,185
1500437420,132,185
1500451821,234,211
1500466221,201,200
1500480621,210,210
1500495021,212,173
1500509421,188,174
1500523821,176,175
1500538220,199,201
1500552621,212,207
1500567020,181,202
1500581420,161,183
1500595821,174,157
1500610220,173,206
1500624620,188,193
1500639020,199,206
1500653419,189,204
1500667819,185,185
1500682222,164,164
1500696619,154,204
1500711020,186,223
1500725420,223,184
1500739820,184,158
1500754222,168,170
