DateTime,AddedIPs,RemovedIPs
1501578635,1,0
1501587033,2,0
1501605032,1,0
1501615835,2,0
1501619433,3,0
1501623034,2,0
1501626633,1,0
1501636237,1,0
1501641634,4,0
1501653632,1,0
1501667432,3,0
1501675232,2,0
1501685435,1,0
1501689032,3,0
1501700433,1,0
1501704035,1,0
1501711234,3,0
1501714833,19,0
1501718434,6,0
1501732831,4,0
1501740034,2,0
1501758035,2,0
1501761632,1,0
1501771831,1,0
1501775435,1,0
1501779032,3,0
1501782634,3,0
1501794033,1,0
1501797635,3,0
1501804833,4,0
1501809034,2,0
1501819234,2,0
1501822832,3,0
1501825834,2,0
1501829431,1,0
1501848031,3,0
1501851034,2,0
1501858231,1,0
1501865432,2,0
1501869034,2,0
1501890631,1,0
1501894834,1,0
1501910433,1,0
1501914032,1,0
1501921232,1,0
1501932032,1,0
1501935634,2,0
1501939233,1,0
1501957834,1,0
1501975831,2,0
1501982432,3,0
1501989631,1,0
1501993833,1,0
1501997431,1,0
1502001034,1,0
1502007634,1,0
1502011232,1,0
1502018431,1,0
1502029235,5,0
1502036494,4,0
1502044232,1,0
1502050831,2,0
1502061631,1,0
1502074231,1,0
1502077834,105,0
1502082034,207,0
1502091635,6,0
1502097034,21,0
1502101835,1,0
1502109032,7,0
1502112634,6,0
1502119835,2,0
1502123432,1,0
1502127034,10,0
1502130632,15,0
1502134235,7,0
1502141434,6,0
1502144432,10,0
1502148634,2,0
1502155834,7,0
1502159432,3,0
1502163035,5,0
1502166631,1,0
1502170234,2,0
1502173832,5,0
1502181032,6,0
1502191834,1,0
1502195432,4,0
1502199034,1,0
1502202632,2,0
1502209832,16,0
1502213435,24,0
1502217032,12,0
1502220634,1,0
1502224835,1,0
1502228432,6,0
1502233835,9,0
1502244032,9,0
1502248234,1,0
1502252434,8,0
1502259632,27,0
1502263834,21,0
1502273435,16,0
1502279434,59,0
1502285435,7,0
1502289636,6,0
1502295634,28,0
1502301036,15,0
1502306435,7,0
1502311835,15,0
1502316635,3,0
1502322034,4,0
1502327435,9,0
1502333434,8,0
1502339435,7,0
1502344235,4,0
1502354434,3,0
1502360434,9,0
1502365235,6,0
1502371234,4,0
1502376635,3,0
1502381434,3,0
1502385032,1,0
1502388634,2,0
1502392232,3,0
1502396435,1,0
1502401234,2,0
1502406635,4,0
1502412033,7,0
1502417434,5,0
1502426435,6,0
1502430031,9,0
1502433034,2,0
1502437234,0,6
1502440832,3,0
1502446235,2,10
1502451634,2,8
1502455232,2,0
1502458235,2,3
1502462437,6,4
1502467834,3,14
1502473236,6,5
1502476832,6,0
1502480435,9,3
1502485835,3,10
1502491833,6,5
1502496633,1,3
1502500832,0,5
1502505632,1,4
1502511634,6,1
1502516433,3,7
1502521833,1,9
1502526633,1,4
1502530230,1,0
1502534433,4,11
1502538031,1,0
1502543433,3,3
1502546430,1,0
1502550033,2,8
1502553631,2,9
