DateTime,AddedIPs,RemovedIPs
1502112634,41,86
1502116233,38,57
1502119835,50,62
1502123432,108,94
1502127034,91,134
1502130632,57,60
1502134235,49,36
1502137832,64,60
1502141434,51,60
1502144432,59,64
1502148634,94,66
1502152231,59,61
1502155834,64,50
1502159432,49,44
1502163035,61,50
1502166631,80,74
1502170234,104,101
1502173832,91,106
1502181032,102,146
1502184635,33,44
1502188232,56,61
1502191834,34,49
1502195432,90,108
1502199034,43,43
1502202632,69,57
1502206235,39,47
1502209832,61,53
1502213435,78,65
1502217032,77,73
1502220634,116,91
1502224835,76,72
1502228432,62,61
1502233835,98,86
1502236832,46,46
1502244032,142,140
1502248234,51,77
1502252434,75,52
1502259632,170,99
1502263834,108,66
1502273435,286,235
1502279434,137,109
1502285435,105,149
1502289636,98,129
1502295634,118,112
1502301036,112,107
1502306435,114,81
1502311835,129,109
1502316635,156,180
1502322034,139,97
1502327435,128,108
1502333434,100,98
1502339435,161,154
1502344235,90,111
1502349035,79,82
1502354434,100,99
1502360434,124,125
1502365235,152,174
1502371234,87,128
1502376635,76,131
1502381434,79,94
1502385032,83,78
1502388634,76,76
1502392232,57,40
1502396435,79,75
1502401234,102,89
1502406635,108,100
1502412033,171,158
1502417434,120,124
1502421031,51,67
1502426435,97,119
1502430031,84,72
1502433034,53,50
1502437234,97,99
1502440832,68,72
1502446235,81,93
1502451634,69,84
1502455232,71,70
1502458235,44,46
1502462437,137,116
1502467834,128,108
1502473236,79,63
1502476832,113,79
1502480435,104,68
1502485835,124,104
1502491833,127,134
1502496633,62,71
1502500832,77,82
1502505632,141,177
1502511634,136,140
1502516433,83,89
1502521833,112,163
1502526633,88,99
1502530230,59,61
1502534433,94,77
1502538031,54,85
1502543433,115,161
1502546430,85,95
1502550033,82,69
1502553631,58,57
1502560834,169,142
1502563832,56,47
1502568033,75,47
1502571631,76,62
1502575232,126,100
1502578831,122,102
1502583633,148,121
1502588433,83,85
1502595033,120,191
1502599832,93,113
1502607632,115,111
1502611832,160,142
1502617234,102,151
1502620831,75,90
1502625632,70,71
1502632831,129,158
1502635833,41,52
1502643631,119,117
1502646633,135,92
1502650833,148,95
1502655633,124,91
1502661034,81,87
1502665832,130,124
1502671833,89,99
1502677232,67,91
1502681433,184,119
1502685633,163,132
1502691632,118,129
1502697033,68,107
1502702432,103,151
1502707233,87,63
1502712633,93,78
1502718633,159,183
1502724033,151,135
1502728834,107,100
1502731830,67,64
1502736033,74,105
1502742033,117,102
