DateTime,Entries,UniqueIPs
1501921232,705,705
1501924833,693,693
1501932032,671,671
1501935634,667,667
1501939233,652,652
1501942833,654,654
1501945832,656,656
1501949434,666,666
1501953031,690,690
1501957834,700,700
1501961431,680,680
1501964434,690,690
1501968032,688,688
1501975831,725,725
1501978834,732,732
1501982432,719,719
1501989631,711,711
1501993833,710,710
1501997431,695,695
1502001034,702,702
1502004032,701,701
1502007634,715,715
1502011232,718,718
1502014833,695,695
1502018431,686,686
1502025632,676,676
1502029235,690,690
1502036494,713,713
1502040634,720,720
1502044232,721,721
1502047834,713,713
1502050831,722,722
1502054433,732,732
1502061631,754,754
1502066434,738,738
1502074231,736,736
1502077834,857,857
1502082034,1072,1072
1502086234,1095,1095
1502091635,1077,1077
1502097034,1033,1033
1502101835,1020,1020
1502109032,1013,1013
1502112634,968,968
1502116233,949,949
1502119835,937,937
1502123432,951,951
1502127034,908,908
1502130632,905,905
1502134235,918,918
1502137832,922,922
1502141434,913,913
1502144432,908,908
1502148634,936,936
1502152231,934,934
1502155834,948,948
1502159432,953,953
1502163035,964,964
1502166631,970,970
1502170234,973,973
1502173832,958,958
1502181032,914,914
1502184635,903,903
1502188232,898,898
1502191834,883,883
1502195432,865,865
1502199034,865,865
1502202632,877,877
1502206235,869,869
1502209832,877,877
1502213435,890,890
1502217032,894,894
1502220634,919,919
1502224835,923,923
1502228432,924,924
1502233835,936,936
1502236832,936,936
1502244032,938,938
1502248234,912,912
1502252434,935,935
1502259632,1006,1006
1502263834,1048,1048
1502273435,1099,1099
1502279434,1127,1127
1502285435,1083,1083
1502289636,1052,1052
1502295634,1058,1058
1502301036,1063,1063
1502306435,1096,1096
1502311835,1116,1116
1502316635,1092,1092
1502322034,1134,1134
1502327435,1154,1154
1502333434,1156,1156
1502339435,1163,1163
1502344235,1142,1142
1502349035,1139,1139
1502354434,1140,1140
1502360434,1139,1139
1502365235,1117,1117
1502371234,1076,1076
1502376635,1021,1021
1502381434,1006,1006
1502385032,1011,1011
1502388634,1011,1011
1502392232,1028,1028
1502396435,1032,1032
1502401234,1045,1045
1502406635,1053,1053
1502412033,1066,1066
1502417434,1062,1062
1502421031,1046,1046
1502426435,1024,1024
1502430031,1036,1036
1502433034,1039,1039
1502437234,1037,1037
1502440832,1033,1033
1502446235,1021,1021
1502451634,1006,1006
1502455232,1007,1007
1502458235,1005,1005
1502462437,1026,1026
1502467834,1046,1046
1502473236,1062,1062
1502476832,1096,1096
1502480435,1132,1132
1502485835,1152,1152
1502491833,1145,1145
1502496633,1136,1136
1502500832,1131,1131
1502505632,1095,1095
1502511634,1091,1091
1502516433,1085,1085
1502521833,1034,1034
1502526633,1023,1023
1502530230,1021,1021
1502534433,1038,1038
1502538031,1007,1007
1502543433,961,961
1502546430,951,951
1502550033,964,964
1502553631,965,965
1502560834,992,992
1502563832,1001,1001
1502568033,1029,1029
1502571631,1043,1043
1502575232,1069,1069
1502578831,1089,1089
1502583633,1116,1116
1502588433,1114,1114
1502595033,1043,1043
1502599832,1023,1023
1502607632,1027,1027
1502611832,1045,1045
1502617234,996,996
1502620831,981,981
1502625632,980,980
1502632831,951,951
1502635833,940,940
1502643631,942,942
1502646633,985,985
1502650833,1038,1038
1502655633,1071,1071
1502661034,1065,1065
1502665832,1071,1071
1502671833,1061,1061
1502677232,1037,1037
1502681433,1102,1102
1502685633,1133,1133
1502691632,1122,1122
1502697033,1083,1083
1502702432,1035,1035
1502707233,1059,1059
1502712633,1074,1074
1502718633,1050,1050
1502724033,1066,1066
1502728834,1073,1073
1502731830,1076,1076
1502736033,1045,1045
1502742033,1060,1060
1502747433,1067,1067
1502752832,1060,1060
1502757633,1083,1083
1502763033,1076,1076
1502766630,1097,1097
1502772633,1093,1093
1502777433,1065,1065
1502781632,1027,1027
1502785833,1011,1011
1502790033,1009,1009
1502795433,1010,1010
1502801432,1001,1001
1502806232,972,972
1502809831,958,958
1502814632,963,963
1502818230,993,993
1502821834,996,996
1502825430,990,990
1502829633,1007,1007
1502833834,1044,1044
1502838035,1080,1080
1502841632,1107,1107
1502845834,1120,1120
1502851834,1097,1097
1502856635,1088,1088
1502861434,1133,1133
1502865032,1152,1152
1502869235,1171,1171
1502873435,1204,1204
1502878834,1173,1173
1502884234,1135,1135
1502889635,1094,1094
1502895034,1073,1073
1502899835,1067,1067
1502905234,1094,1094
1502911234,1120,1120
1502916634,1135,1135
1502922035,1144,1144
1502926234,1136,1136
1502930435,1159,1159
1502935833,1163,1163
1502941834,1168,1168
1502947234,1160,1160
1502952636,1130,1130
1502957435,1136,1136
1502964034,1123,1123
1502968834,1088,1088
1502974235,1060,1060
1502979635,1086,1086
1502985034,1085,1085
1502990437,1103,1103
1502995835,1112,1112
1503001835,1056,1056
1503006634,1005,1005
1503012034,1023,1023
1503017433,1010,1010
1503022834,966,966
1503028234,936,936
1503033034,907,907
1503037834,873,873
1503041431,866,866
1503045033,849,849
1503052232,845,845
1503055833,832,832
1503059431,822,822
1503063033,829,829
1503066632,815,815
1503070234,828,828
1503073831,832,832
1503077434,897,897
1503081638,936,936
1503086434,931,931
1503090031,902,902
1503097831,915,915
1503103233,924,924
1503105632,916,916
1503110434,921,921
1503113431,984,984
1503117034,983,983
1503120631,945,945
1503127832,899,899
1503131435,907,907
1503138634,918,918
1503141634,982,982
1503145834,1059,1059
1503150034,1091,1091
1503156034,1098,1098
1503161434,1074,1074
1503166835,1050,1050
1503171634,1076,1076
1503177034,1107,1107
1503183035,1334,1334
1503189634,1359,1359
1503195034,1357,1357
1503200434,1358,1358
1503205234,1333,1333
1503210635,1331,1331
1503216635,1254,1254
1503222635,1212,1212
1503228034,1210,1210
1503233434,1166,1166
1503238834,1145,1145
1503244233,1174,1174
1503249634,1181,1181
1503255034,1294,1294
1503261035,1369,1369
1503266434,1379,1379
1503271834,1401,1401
1503277234,1423,1423
1503283234,1423,1423
1503289834,1392,1392
1503295235,1372,1372
1503300034,1409,1409
1503311438,1338,1338
1503316834,1311,1311
1503322235,1236,1236
1503333035,1217,1217
1503337834,1208,1208
1503343235,1254,1254
1503348634,1297,1297
1503354034,1327,1327
1503359434,1346,1346
1503365435,1394,1394
1503370835,1364,1364
1503376239,1361,1361
1503381639,1353,1353
1503387038,1338,1338
1503391835,1362,1362
1503397235,1390,1390
1503403234,1363,1363
1503408634,1310,1310
1503413435,1282,1282
1503418834,1288,1288
1503424834,1317,1317
1503429635,1394,1394
1503435034,1393,1393
1503440435,1411,1411
1503446434,1379,1379
1503450634,1384,1384
1503457235,1375,1375
1503462035,1330,1330
1503467433,1289,1289
1503473434,1284,1284
1503479434,1249,1249
1503486034,1179,1179
1503491434,1145,1145
1503496834,1031,1031
1503501633,982,982
1503506434,959,959
1503511834,966,966
1503517834,970,970
1503523234,952,952
1503528034,965,965
1503531631,984,984
1503535834,994,994
1503540637,986,986
1503546034,968,968
1503551434,907,907
1503557433,896,896
1503562234,914,914
1503567635,916,916
1503573034,915,915
1503578436,878,878
1503583833,855,855
1503589234,851,851
1503594634,862,862
1503600034,909,909
1503605434,916,916
1503610834,937,937
1503614432,950,950
1503618034,994,994
1503624033,976,976
1503629434,935,935
1503634233,882,882
1503639634,899,899
1503645034,882,882
1503651034,886,886
1503655834,885,885
1503661834,890,890
1503666634,871,871
1503672034,891,891
1503677434,922,922
1503683434,960,960
1503688834,967,967
1503693634,978,978
1503698434,999,999
1503702032,1008,1008
1503706234,1059,1059
1503711634,1067,1067
1503717034,1074,1074
1503723036,1033,1033
1503727834,996,996
1503731432,999,999
1503736834,1009,1009
1503742234,950,950
