DateTime,AddedIPs,RemovedIPs
1495294228,47,78
1495308628,131,78
1495323026,126,105
1495332627,53,81
1495343426,54,103
1495355429,129,87
1495365630,53,50
1495376438,59,70
1495390248,113,73
1495401026,100,90
1495410027,57,56
1495422027,62,88
1495436429,90,79
1495450827,87,56
1495460429,39,110
1495474826,100,97
1495488627,89,54
1495499425,68,166
1495509026,100,173
1495522827,78,100
1495534230,61,79
1495548029,109,0
1495558826,74,195
1495573227,104,0
1495584626,161,60
1495596027,55,99
1495609228,56,142
1495623030,157,100
1495634429,64,54
1495644629,55,0
1495658428,121,69
1495672827,163,66
1495687225,82,154
1495698029,84,84
1495708829,58,77
1495719629,40,0
1495731628,103,98
1495746028,99,198
1495757426,63,158
1495771827,181,0
1495784428,67,58
1495795830,58,77
1495806029,103,156
1495816829,56,82
1495828828,80,0
1495840227,125,53
1495851629,75,148
1495862427,43,78
1495875628,101,78
1495890027,99,96
1495902628,58,44
1495912828,97,49
1495924828,67,89
1495933826,42,67
1495944627,48,63
1495956629,53,96
1495971027,37,78
1495983629,49,63
1495998028,66,132
1496011827,84,61
1496023827,95,196
1496034627,54,79
1496046629,61,58
1496061029,130,87
1496073629,91,49
1496086227,67,70
1496097628,178,89
1496108427,53,0
1496119828,50,60
1496130029,58,65
1496142030,50,71
1496156429,48,66
1496167227,108,52
1496178629,67,98
1496191227,70,40
1496202627,59,129
1496217028,70,96
1496228427,63,152
1496241629,92,91
1496253628,49,0
1496268028,75,146
1496279427,156,131
1496290827,46,93
1496302830,63,48
1496317230,138,0
1496328029,50,129
1496343627,71,68
1496354428,160,107
1496364628,53,60
1496375427,35,0
1496388628,89,58
1496399429,42,76
1496412628,39,58
1496424629,101,65
1496432428,53,86
1499852431,690,1450
1499867430,344,0
1499878230,139,0
1499888429,186,0
1499900430,166,0
1499911228,130,0
1499921428,76,0
1499932231,120,0
1499943030,59,162
1499953830,68,108
1499964629,103,63
1499975447,139,0
1499986230,61,224
1499997628,116,0
1500007828,83,80
1500018030,105,69
1500029430,83,94
1500040230,84,71
1500051030,58,107
1500061229,129,69
1500073230,120,71
1500083429,92,214
1500094828,38,0
1500105630,99,150
1500115830,105,98
1500126629,100,91
1500137429,64,86
1500148229,110,0
1500159028,130,193
1500170428,94,0
1500181228,48,174
1500192030,66,115
1500202831,103,88
1500213630,77,68
1500223830,57,105
1500234629,64,104
1500245430,126,108
1500256228,102,75
1500267028,97,0
1500277230,45,143
1500289230,84,123
1500300038,97,72
1500309629,97,71
1500321030,77,80
1500331228,78,119
1500343228,150,59
1500354028,42,167
1500364232,59,123
1500375031,78,96
1500386430,105,0
1500396033,47,125
1500406829,88,0
1500418230,41,87
1500428429,74,192
1500439828,55,0
1500450030,83,69
1500461430,47,103
1500472230,49,136
1500484229,84,51
1500498629,88,162
1500511228,66,144
1500522627,122,64
1500534630,84,107
1500545430,74,79
1500558029,70,122
1500570629,135,68
1500583230,93,77
1500594028,56,87
1500604828,55,142
1500619226,117,57
1500633628,90,66
1500647430,55,220
1500661229,118,69
1500672629,74,77
1500683427,52,100
1500694828,41,166
1500706830,122,96
1500721230,93,120
1500735628,76,127
1500750029,186,67
1500761427,111,55
1500773428,91,72
1500783028,32,101
1500793830,148,74
1500805231,95,89
1500816030,91,0
1500826830,58,97
1500837029,99,64
1500847829,114,97
1500858628,64,91
1500873026,73,0
1500885031,46,165
1500894630,103,87
1500915629,98,164
1500930029,79,98
1500943227,129,90
1500954028,67,97
1500966030,79,74
1500975630,36,112
1500989428,100,115
1501003827,74,91
1501018228,105,129
1501032626,163,80
1501045228,96,72
1501057230,97,59
1501068030,55,145
1501081230,81,58
1501092027,102,63
1501102828,68,109
1501117226,85,0
1501131627,86,110
1501144830,84,177
1501155629,68,136
1501167629,41,76
1501177828,74,0
1501189229,124,60
1501203627,119,210
1501218026,76,81
1501231828,120,0
1501243230,66,153
1501257629,73,52
1501268428,58,91
1501282226,136,107
1501295426,68,135
1501309826,72,128
1501324229,99,86
