DateTime,Entries,UniqueIPs
1495294228,1815,1833
1495308628,1866,1886
1495323026,1886,1907
1495332627,1859,1879
1495343426,1810,1830
1495355429,1851,1872
1495365630,1854,1875
1495376438,1847,1864
1495390248,1887,1904
1495401026,1897,1914
1495410027,1898,1915
1495422027,1875,1889
1495436429,1884,1900
1495450827,1916,1931
1495460429,1847,1860
1495474826,1847,1863
1495488627,1880,1898
1495499425,1787,1800
1495509026,1714,1727
1495522827,1691,1705
1495534230,1674,1687
1495548029,1783,1796
1495558826,1662,1675
1495573227,1766,1779
1495584626,1862,1880
1495596027,1818,1836
1495609228,1733,1750
1495623030,1790,1807
1495634429,1803,1817
1495644629,1856,1872
1495658428,1909,1924
1495672827,1998,2021
1495687225,1924,1949
1495698029,1925,1949
1495708829,1906,1930
1495719629,1945,1970
1495731628,1948,1975
1495746028,1851,1876
1495757426,1757,1781
1495771827,1936,1962
1495784428,1945,1971
1495795830,1923,1952
1495806029,1870,1899
1495816829,1846,1873
1495828828,1924,1953
1495840227,1995,2025
1495851629,1925,1952
1495862427,1891,1917
1495875628,1910,1940
1495890027,1916,1943
1495902628,1928,1957
1495912828,1979,2005
1495924828,1963,1983
1495933826,1937,1958
1495944627,1921,1943
1495956629,1879,1900
1495971027,1840,1859
1495983629,1825,1845
1495998028,1758,1779
1496011827,1779,1802
1496023827,1680,1701
1496034627,1655,1676
1496046629,1660,1679
1496061029,1704,1722
1496073629,1745,1764
1496086227,1743,1761
1496097628,1830,1850
1496108427,1883,1903
1496119828,1873,1893
1496130029,1868,1886
1496142030,1845,1865
1496156429,1823,1847
1496167227,1879,1903
1496178629,1852,1872
1496191227,1882,1902
1496202627,1809,1832
1496217028,1784,1806
1496228427,1695,1717
1496241629,1697,1718
1496253628,1745,1767
1496268028,1675,1696
1496279427,1704,1721
1496290827,1657,1674
1496302830,1672,1689
1496317230,1808,1827
1496328029,1730,1748
1496343627,1730,1751
1496354428,1781,1804
1496364628,1776,1797
1496375427,1810,1832
1496388628,1842,1863
1496399429,1807,1829
1496412628,1789,1810
1496424629,1825,1846
1496432428,1794,1813
1499852431,1038,1053
1499867430,1379,1397
1499878230,1517,1536
1499888429,1702,1722
1499900430,1867,1888
1499911228,1995,2018
1499921428,2071,2094
1499932231,2188,2214
1499943030,2084,2111
1499953830,2046,2071
1499964629,2087,2111
1499975447,2225,2250
1499986230,2065,2087
1499997628,2178,2203
1500007828,2182,2206
1500018030,2216,2242
1500029430,2203,2231
1500040230,2218,2244
1500051030,2170,2195
1500061229,2229,2255
1500073230,2276,2304
1500083429,2156,2182
1500094828,2193,2220
1500105630,2144,2169
1500115830,2152,2176
1500126629,2162,2185
1500137429,2141,2163
1500148229,2251,2273
1500159028,2188,2210
1500170428,2281,2304
1500181228,2154,2178
1500192030,2104,2129
1500202831,2115,2144
1500213630,2125,2153
1500223830,2077,2105
1500234629,2034,2065
1500245430,2051,2083
1500256228,2081,2110
1500267028,2177,2207
1500277230,2083,2109
1500289230,2044,2070
1500300038,2070,2095
1500309629,2095,2121
1500321030,2091,2118
1500331228,2048,2077
1500343228,2137,2168
1500354028,2014,2043
1500364232,1953,1979
1500375031,1933,1961
1500386430,2038,2066
1500396033,1961,1988
1500406829,2047,2076
1500418230,2002,2030
1500428429,1885,1912
1500439828,1940,1967
1500450030,1957,1981
1500461430,1903,1925
1500472230,1817,1838
1500484229,1849,1871
1500498629,1775,1797
1500511228,1696,1719
1500522627,1754,1777
1500534630,1731,1754
1500545430,1725,1749
1500558029,1673,1697
1500570629,1740,1764
1500583230,1754,1780
1500594028,1722,1749
1500604828,1636,1662
1500619226,1696,1722
1500633628,1719,1746
1500647430,1559,1581
1500661229,1608,1630
1500672629,1605,1627
1500683427,1558,1579
1500694828,1434,1454
1500706830,1460,1480
1500721230,1432,1453
1500735628,1383,1402
1500750029,1501,1521
1500761427,1557,1577
1500773428,1574,1596
1500783028,1506,1527
1500793830,1581,1601
1500805231,1587,1607
1500816030,1677,1698
1500826830,1638,1659
1500837029,1674,1694
1500847829,1689,1711
1500858628,1662,1684
1500873026,1735,1757
1500885031,1618,1638
1500894630,1633,1654
1500915629,1567,1588
1500930029,1546,1569
1500943227,1586,1608
1500954028,1554,1578
1500966030,1558,1583
1500975630,1483,1507
1500989428,1470,1492
1501003827,1453,1475
1501018228,1432,1451
1501032626,1514,1534
1501045228,1538,1558
1501057230,1576,1596
1501068030,1486,1506
1501081230,1508,1529
1501092027,1546,1568
1501102828,1506,1527
1501117226,1591,1612
1501131627,1567,1588
1501144830,1475,1495
1501155629,1408,1427
1501167629,1374,1392
1501177828,1447,1466
1501189229,1510,1530
1501203627,1414,1439
1501218026,1409,1434
1501231828,1528,1554
