DateTime,Entries,UniqueIPs
1495053626,899,899
1495066227,949,949
1495077627,969,969
1495088425,927,927
1495099230,870,870
1495109429,831,831
1495120829,790,790
1495134628,805,805
1495145428,881,881
1495156827,975,975
1495167627,943,943
1495178428,923,923
1495189231,817,817
1495203628,783,783
1495213828,746,746
1495225827,867,867
1495237227,926,926
1495248626,901,901
1495258826,825,825
1495270829,754,754
1495281639,780,780
1495294228,718,718
1495308628,823,823
1495323026,947,947
1495332627,923,923
1495343426,846,846
1495355429,939,939
1495365630,934,934
1495376438,818,818
1495390248,817,817
1495401026,916,916
1495410027,977,977
1495422027,905,905
1495436429,792,792
1495450827,811,811
1495460429,766,766
1495474826,785,785
1495488627,790,790
1495499425,828,828
1495509026,802,802
1495522827,767,767
1495534230,761,761
1495548029,701,701
1495558826,751,751
1495573227,775,775
1495584626,941,941
1495596027,844,844
1495609228,796,796
1495623030,914,914
1495634429,890,890
1495644629,838,838
1495658428,912,912
1495672827,992,992
1495687225,922,922
1495698029,926,926
1495708829,866,866
1495719629,794,794
1495731628,839,839
1495746028,915,915
1495757426,966,966
1495771827,975,975
1495784428,928,928
1495795830,884,884
1495806029,818,818
1495816829,802,802
1495828828,870,870
1495840227,1036,1036
1495851629,1031,1031
1495862427,948,948
1495875628,908,908
1495890027,985,985
1495902628,1005,1005
1495912828,958,958
1495924828,1000,1000
1495933826,998,998
1495944627,852,852
1495956629,794,794
1495971027,783,783
1495983629,718,718
1495998028,779,779
1496011827,839,839
1496023827,901,901
1496034627,845,845
1496046629,799,799
1496061029,837,837
1496073629,847,847
1496086227,893,893
1496097628,1064,1064
1496108427,1084,1084
1496119828,895,895
1496130029,833,833
1496142030,778,778
1496156429,759,759
1496167227,861,861
1496178629,921,921
1496191227,916,916
1496202627,775,775
1496217028,672,672
1496228427,745,745
1496241629,732,732
1496253628,762,762
1496268028,825,825
1496279427,912,912
1496290827,844,844
1496302830,774,774
1496317230,840,840
1496328029,766,766
1496343627,860,860
1496354428,1054,1054
1496364628,1045,1045
1496375427,904,904
1496388628,772,772
1496399429,794,794
1496412628,683,683
1496424629,750,750
1496432428,843,843
1499852431,1053,1053
1499867430,1010,1010
1499878230,936,936
1499888429,1016,1016
1499900430,1097,1097
1499911228,1043,1043
1499921428,965,965
1499932231,1008,1008
1499943030,932,932
1499953830,940,940
1499964629,893,893
1499975447,986,986
1499986230,1008,1008
1499997628,1012,1012
1500007828,912,912
1500018030,944,944
1500029430,935,935
1500040230,916,916
1500051030,903,903
1500061229,1028,1028
1500073230,1100,1100
1500083429,1088,1088
1500094828,994,994
1500105630,988,988
1500115830,938,938
1500126629,923,923
1500137429,916,916
1500148229,992,992
1500159028,1082,1082
1500170428,1097,1097
1500181228,1048,1048
1500192030,968,968
1500202831,953,953
1500213630,859,859
1500223830,810,810
1500234629,891,891
1500245430,908,908
1500256228,944,944
1500267028,897,897
1500277230,894,894
1500289230,895,895
1500300038,865,865
1500309629,879,879
1500321030,909,909
1500331228,922,922
1500343228,1046,1046
1500354028,909,909
1500364232,906,906
1500375031,903,903
1500386430,821,821
1500396033,801,801
1500406829,853,853
1500418230,864,864
1500428429,826,826
1500439828,786,786
1500450030,760,760
1500461430,748,748
1500472230,664,664
1500484229,687,687
1500498629,716,716
1500511228,728,728
1500522627,747,747
1500534630,736,736
1500545430,729,729
1500558029,725,725
1500570629,738,738
1500583230,766,766
1500594028,764,764
1500604828,741,741
1500619226,643,643
1500633628,637,637
1500647430,602,602
1500661229,609,609
1500672629,646,646
1500683427,691,691
1500694828,626,626
1500706830,622,622
1500721230,641,641
1500735628,629,629
1500750029,732,732
1500761427,791,791
1500773428,759,759
1500783028,698,698
1500793830,734,734
1500805231,753,753
1500816030,716,716
1500826830,698,698
1500837029,743,743
1500847829,763,763
1500858628,707,707
1500873026,650,650
1500885031,687,687
1500894630,674,674
1500915629,614,614
1500930029,668,668
1500943227,700,700
1500954028,642,642
