DateTime,AddedIPs,RemovedIPs
1501924831,9,6
1501929032,5,12
1501932030,7,0
1501935632,9,18
1501939230,11,9
1501942831,9,0
1501945829,7,12
1501949432,9,0
1501953029,7,7
1501957833,6,21
1501961429,7,0
1501964432,3,10
1501968030,10,8
1501975829,9,7
1501978832,8,10
1501982430,7,0
1501989629,9,16
1501993831,7,16
1501997429,9,0
1502001032,12,7
1502004030,5,11
1502007632,9,7
1502011230,6,0
1502014831,7,6
1502018429,6,8
1502025630,8,21
1502029232,12,0
1502036440,10,23
1502040632,7,10
1502044230,8,0
1502047832,13,15
1502050829,9,12
1502054431,9,0
1502061629,8,6
1502066432,9,30
1502074229,8,0
1502077831,12,11
1502082032,17,14
1502086231,9,8
1502091632,13,9
1502097032,12,18
1502101833,9,8
1502109029,13,11
1502112632,5,6
1502116231,8,11
1502119832,13,0
1502123430,15,0
1502127032,14,11
1502130630,12,19
1502134232,7,0
1502137830,9,10
1502141432,8,19
1502144430,11,0
1502148632,7,7
1502152229,12,0
1502155832,10,0
1502159430,9,12
1502163033,11,8
1502166629,13,15
1502170232,11,0
1502173830,14,11
1502181030,10,24
1502184633,5,0
1502188230,11,10
1502191832,15,7
1502195430,10,0
1502199032,6,9
1502202630,9,9
1502206233,7,6
1502209830,10,21
1502213433,6,0
1502217030,10,11
1502220632,8,18
1502224833,7,21
1502228430,11,0
1502233833,10,9
1502236830,11,0
1502244030,10,34
1502248231,8,21
1502252431,15,14
1502259630,8,11
1502263831,13,5
1502273432,9,30
1502279432,13,8
1502285432,13,18
1502289634,12,20
1502295632,11,10
1502301034,11,14
1502306432,13,26
1502311832,10,0
1502316632,10,20
1502322032,10,22
1502327432,14,0
1502333431,14,11
1502339432,11,9
1502344232,11,25
1502349032,10,0
1502354432,11,14
1502360432,8,7
1502365232,16,15
1502371231,11,0
1502376632,7,12
1502381432,14,15
1502385030,14,0
1502388632,10,0
1502392230,14,10
1502396433,11,14
1502401232,10,7
1502406632,13,12
1502412031,14,9
1502417432,14,13
1502421029,9,0
1502426432,16,21
1502430029,13,0
1502433032,10,11
1502437232,10,15
1502440829,10,0
1502446232,12,9
1502451631,12,13
1502455230,6,15
1502458232,10,0
1502462433,6,26
