DateTime,AddedIPs,RemovedIPs
1502112632,18,21
1502116231,21,18
1502119832,19,17
1502123430,23,23
1502127032,24,24
1502130630,23,23
1502134232,19,22
1502137830,21,21
1502141432,23,20
1502144430,19,21
1502148632,20,21
1502152229,22,20
1502155832,22,22
1502159430,19,21
1502163033,20,20
1502166629,23,20
1502170232,21,21
1502173830,22,24
1502181030,20,22
1502184633,20,19
1502188230,24,20
1502191832,21,22
1502195430,20,21
1502199032,19,21
1502202630,22,19
1502206233,21,25
1502209830,19,16
1502213433,19,19
1502217030,25,23
1502220632,23,23
1502224833,20,24
1502228430,23,23
1502233833,25,23
1502236830,21,20
1502244030,22,25
1502248231,21,20
1502252431,22,22
1502259630,24,23
1502263831,20,20
1502273432,21,23
1502279432,23,20
1502285432,23,25
1502289634,24,24
1502295632,22,23
1502301034,24,22
1502306432,22,20
1502311832,22,25
1502316632,22,23
1502322032,20,20
1502327432,25,23
1502333431,25,24
1502339432,26,26
1502344232,24,25
1502349032,24,24
1502354432,24,25
1502360432,23,22
1502365232,27,25
1502371231,26,26
1502376632,20,24
1502381432,23,22
1502385030,21,20
1502388632,20,22
1502392230,23,20
1502396433,21,23
1502401232,21,21
1502406632,22,20
1502412031,24,25
1502417432,21,22
1502421029,22,22
1502426432,24,21
1502430029,22,25
1502433032,24,22
1502437232,19,21
1502440829,21,23
1502446232,24,22
1502451631,23,23
1502455230,21,22
1502458232,25,23
1502462433,20,21
1502467832,21,21
1502473234,23,21
1502476830,22,25
1502480433,22,21
1502485832,26,24
1502491831,26,26
1502496631,26,26
1502500830,22,24
1502505630,25,23
1502511632,23,26
1502516431,22,22
1502521831,24,22
1502526631,23,25
1502530228,23,20
1502534431,23,24
1502538029,21,24
1502543431,20,21
1502546428,22,17
1502550031,23,26
1502553629,20,20
1502560831,20,22
1502563830,23,18
1502568031,21,24
1502571629,21,19
1502575230,22,25
1502578829,18,17
1502583631,23,22
1502588431,22,23
1502595031,24,22
1502599830,22,23
1502607630,22,24
1502611830,21,20
1502617231,23,21
1502620829,23,22
1502625631,22,22
1502632829,20,25
1502635831,21,19
1502643629,23,21
1502646631,23,22
1502650831,24,24
1502655631,24,24
1502661031,26,26
1502665830,24,24
1502671831,25,25
1502677230,25,25
1502681431,23,25
1502685631,24,24
1502691630,23,24
1502697031,26,23
1502702430,21,23
1502707231,23,23
1502712631,23,23
1502718631,20,20
1502724031,22,22
1502728832,21,21
1502731828,21,18
1502736031,18,25
1502742031,21,17
1502747431,22,21
1502752830,21,24
1502757631,22,19
1502763031,24,24
1502766628,23,22
1502772631,25,25
1502777431,26,26
1502781630,23,25
1502785831,17,18
1502790031,23,23
1502795431,21,20
1502801430,22,22
1502806230,23,23
1502809829,21,21
1502814630,20,21
1502818228,21,19
1502821831,22,23
1502825428,20,20
1502829630,25,23
1502833832,22,23
1502838032,21,23
1502841629,21,20
1502845832,19,21
1502851832,23,20
1502856632,25,24
1502861431,21,22
1502865029,23,22
1502869232,23,24
1502873432,20,23
1502878832,20,20
1502884231,26,21
1502889632,24,25
1502895031,24,26
1502899832,19,20
1502905231,17,21
1502911231,22,17
1502916632,23,24
1502922032,27,23
1502926232,22,26
1502930433,25,21
1502935831,24,27
1502941832,26,24
1502947232,26,25
1502952632,23,26
1502957432,26,24
1502964032,24,25
1502968832,22,24
1502974232,24,23
1502979631,22,23
1502985032,24,23
1502990434,23,22
1502995832,25,24
1503001832,23,25
1503006632,22,22
1503012032,23,24
1503017431,23,22
1503022832,27,24
1503028232,25,27
1503033031,24,23
1503037831,21,26
1503041429,19,18
1503045031,23,18
1503052230,22,25
1503055831,24,22
1503059429,22,23
1503063031,23,24
1503066630,21,18
1503070231,20,23
1503073829,26,23
1503077432,22,23
1503081635,23,24
1503086432,24,24
1503090029,22,23
1503097828,20,22
1503103231,22,19
1503105630,20,23
1503110432,24,22
1503113429,22,21
1503117032,23,22
1503120629,20,24
1503127830,23,20
1503131432,20,23
1503138629,23,21
1503141632,22,22
1503145832,26,24
1503150031,26,26
1503156032,21,26
1503161432,25,21
1503166832,22,23
1503171632,22,23
1503177032,24,23
1503183032,22,24
1503189631,24,22
1503195032,23,24
1503200432,21,23
1503205232,23,20
1503210632,20,21
1503216632,24,22
1503222632,20,24
1503228032,22,21
1503233431,20,19
1503238832,24,23
1503244231,24,23
1503249632,20,23
1503255032,21,21
1503261032,23,19
1503266432,19,23
1503271832,22,21
1503277231,23,23
1503283231,24,23
1503289831,24,24
1503295233,24,24
1503300031,26,24
1503311433,26,26
1503316832,25,26
1503322232,23,25
1503333032,20,17
1503337832,23,25
1503343232,22,22
1503348632,22,24
1503354032,23,22
1503359432,20,23
1503365432,24,20
1503370832,27,24
1503376235,22,27
1503381635,26,21
1503387034,25,27
1503391832,25,25
1503397232,26,25
1503403232,24,26
1503408632,21,24
1503413433,21,18
1503418832,24,24
1503424832,23,23
1503429632,24,24
1503435031,25,24
1503440432,23,24
1503446432,24,23
1503450632,22,23
1503457233,24,23
1503462032,26,24
1503467431,20,25
1503473432,20,20
1503479432,24,21
1503486032,22,24
1503491431,23,23
1503496831,26,23
1503501631,19,22
1503506432,24,23
1503511831,25,24
1503517832,23,25
1503523232,25,23
1503528032,23,24
1503531629,25,23
1503535832,21,26
1503540634,25,20
1503546032,23,24
1503551432,20,24
1503557431,24,19
1503562232,25,25
1503567632,23,25
1503573032,23,24
1503578432,25,22
1503583831,24,25
1503589232,23,24
1503594632,25,24
1503600032,26,25
1503605432,23,24
1503610832,22,24
1503614430,23,22
1503618032,25,22
1503624031,22,27
1503629432,21,19
1503634231,23,23
1503639632,22,23
1503645032,24,21
1503651031,20,24
1503655832,23,20
1503661831,21,22
1503666631,21,22
1503672031,19,21
1503677431,23,19
1503683432,22,22
1503688832,21,22
1503693632,23,24
1503698432,21,20
1503702029,26,23
1503706232,22,25
1503711632,21,21
1503717031,22,23
1503723033,24,22
1503727832,24,25
1503731430,23,23
1503736831,22,22
1503742232,26,24
1503748232,23,24
1503753632,24,24
1503758432,22,25
1503763832,22,20
1503768032,24,24
1503772232,23,22
1503775829,20,21
1503783029,23,22
1503787232,22,23
1503790829,22,23
1503796232,22,22
1503799829,18,20
1503805232,23,21
1503810632,23,23
1503817832,24,23
1503825032,23,23
1503832249,22,23
1503837031,26,23
1503843032,22,26
1503848432,18,21
1503853832,23,18
1503860433,25,24
1503865232,22,23
1503870632,24,24
1503876632,25,24
1503881432,25,25
1503888032,23,23
1503892832,20,23
1503898232,21,19
1503903632,25,24
1503909032,24,25
1503914431,22,22
1503919832,24,24
1503925232,21,21
1503930631,20,22
1503935432,22,21
1503940831,22,21
1503946232,23,23
1503951031,19,21
1503957032,23,20
1503962432,23,22
1503967832,23,24
1503973232,23,24
1503978632,24,21
1503984632,23,27
1503988832,23,21
1503994232,24,23
1504000251,22,26
1504005632,21,20
1504011032,26,23
1504016432,25,25
1504021832,26,26
1504026632,22,24
1504030229,21,23
1504035632,24,22
1504041032,23,22
1504047033,22,24
1504052432,26,22
1504057232,25,26
1504063832,21,23
1504069233,20,22
1504074032,22,20
1504079432,22,22
1504084832,24,23
1504090833,23,23
1504095032,22,23
1504101032,24,23
1504106432,23,24
1504111231,23,24
1504117232,21,21
1504122632,24,21
1504127432,21,23
1504132832,22,22
1504137031,23,23
1504141832,24,22
1504147832,24,25
1504153832,23,25
1504159232,21,21
1504164632,22,23
1504169432,24,22
1504174832,23,20
1504179632,23,27
1504185632,26,22
1504190432,22,26
1504195831,22,20
1504201232,23,24
1504207232,26,24
1504212636,21,23
1504218032,24,23
1504222831,25,25
1504228832,21,25
1504234231,21,18
1504240232,24,22
1504245032,23,24
1504250432,23,24
1504255831,25,23
1504260632,23,24
1504266032,23,23
1504271432,21,24
1504277432,22,20
1504282233,23,23
1504287632,25,23
1504292432,24,25
1504296632,22,25
1504302032,24,21
1504307431,24,24
1504313432,22,24
1504319431,21,21
1504324832,21,22
1504331431,23,21
1504336832,26,24
1504342232,22,25
1504347631,22,22
1504353032,23,21
1504358432,23,23
1504363832,23,24
1504368633,25,23
1504372229,23,24
1504376433,24,25
1504381232,26,24
1504386632,22,23
