DateTime,Entries,UniqueIPs
1504394654,5084,5084
1504395128,5085,5085
1504395606,5084,5084
1504396091,5086,5086
1504396567,5087,5087
1504397051,5086,5086
1504397526,5086,5086
1504398005,5086,5086
1504398487,5083,5083
1504398969,5087,5087
1504399446,5082,5082
1504399929,5082,5082
1504400419,5083,5083
1504400889,5083,5083
1504401607,5083,5083
1504402087,5081,5081
1504402568,5081,5081
1504403044,5074,5074
1504403528,5076,5076
1504404012,5079,5079
1504404489,5081,5081
1504404969,5079,5079
1504405444,5080,5080
1504405930,5081,5081
1504406413,5079,5079
1504406886,5080,5080
1504407365,5081,5081
1504407847,5079,5079
1504408331,5077,5077
1504408810,5080,5080
1504409286,5077,5077
1504409765,5080,5080
1504410253,5077,5077
1504410725,5080,5080
1504411213,5082,5082
1504411686,5079,5079
1504412168,5076,5076
1504412644,5079,5079
1504413124,5080,5080
1504413850,5078,5078
1504414570,5078,5078
1504415046,5081,5081
1504415526,5073,5073
1504416247,5078,5078
1504416733,5081,5081
1504417446,5081,5081
1504418413,5076,5076
1504418886,5078,5078
1504419365,5080,5080
1504420087,5080,5080
1504420569,5080,5080
1504421049,5080,5080
1504421525,5082,5082
1504422021,5082,5082
1504422492,5077,5077
1504423204,5078,5078
1504423688,5078,5078
1504424166,5076,5076
1504424646,5079,5079
1504425124,5077,5077
1504425620,5080,5080
1504426087,5077,5077
1504426567,5080,5080
1504427045,5075,5075
1504427528,5079,5079
1504428006,5079,5079
1504428486,5080,5080
1504428965,5079,5079
1504429446,5079,5079
1504429930,5077,5077
1504430404,5080,5080
1504430891,5080,5080
1504431365,5080,5080
1504431847,5079,5079
1504432324,5081,5081
1504432825,5077,5077
1504433287,5079,5079
1504433765,5079,5079
1504434244,5082,5082
1504434730,5081,5081
1504435204,5077,5077
1504435689,5079,5079
1504436165,5077,5077
1504436650,5081,5081
1504437129,5077,5077
1504437604,5081,5081
1504438089,5080,5080
1504438565,5075,5075
1504439044,5082,5082
1504439529,5076,5076
1504440016,5080,5080
1504440486,5080,5080
1504440970,5079,5079
1504441444,5078,5078
1504441928,5078,5078
1504442404,5079,5079
1504442884,5079,5079
1504443366,5082,5082
1504443846,5078,5078
1504444325,5076,5076
1504444804,5080,5080
1504445285,5081,5081
1504445764,5082,5082
1504446245,5079,5079
1504446725,5082,5082
1504447216,5078,5078
1504447685,5080,5080
1504448170,5081,5081
1504448644,5080,5080
1504449129,5080,5080
1504449605,5080,5080
1504450086,5081,5081
1504450565,5082,5082
1504451050,5082,5082
1504452005,5079,5079
1504452486,5082,5082
1504452968,5076,5076
1504453450,5080,5080
1504453924,5079,5079
1504454420,5082,5082
1504454888,5080,5080
1504455380,5079,5079
1504455847,5074,5074
1504456329,5081,5081
1504456806,5082,5082
1504457297,5077,5077
1504457765,5082,5082
1504458726,5080,5080
1504459213,5081,5081
1504459686,5082,5082
1504460164,5079,5079
1504460649,5082,5082
1504461126,5081,5081
1504461613,5079,5079
1504462086,5080,5080
1504462569,5082,5082
1504463047,5079,5079
1504463768,5081,5081
1504464244,5083,5083
1504464730,5079,5079
1504465213,5081,5081
1504465685,5080,5080
1504466166,5083,5083
1504466645,5080,5080
1504467133,5080,5080
1504467604,5081,5081
1504468085,5078,5078
1504468566,5082,5082
1504469288,5080,5080
1504469768,5082,5082
1504470244,5080,5080
1504470726,5082,5082
1504471687,5080,5080
1504472166,5082,5082
1504472648,5078,5078
1504473130,5083,5083
1504473604,5079,5079
1504474090,5082,5082
1504474564,5077,5077
1504475048,5079,5079
1504475526,5080,5080
1504476017,5076,5076
1504476490,5081,5081
1504476970,5078,5078
1504477689,5082,5082
1504478164,5079,5079
1504479624,5079,5079
1504480086,5080,5080
1504480565,5082,5082
1504481046,5078,5078
1504481530,5080,5080
1504482006,5082,5082
1504482489,5078,5078
1504482966,5080,5080
1504483450,5077,5077
1504483929,5080,5080
1504484405,5080,5080
1504484887,5082,5082
1504486813,5083,5083
1504487292,5076,5076
1504487764,5075,5075
1504488245,5076,5076
1504488728,5080,5080
1504489208,5073,5073
1504489685,5082,5082
1504490165,5081,5081
1504490651,5077,5077
1504491127,5078,5078
1504491605,5079,5079
1504492085,5082,5082
1504492806,5080,5080
1504493528,5079,5079
1504494012,5082,5082
1504494486,5077,5077
1504494968,5080,5080
1504495446,5081,5081
1504495926,5079,5079
1504496406,5082,5082
1504496889,5078,5078
1504497368,5079,5079
1504497845,5078,5078
1504498328,5078,5078
1504498808,5079,5079
1504499289,5081,5081
1504499764,5082,5082
1504500734,5081,5081
1504501216,5082,5082
1504501686,5080,5080
1504502165,5082,5082
1504502646,5080,5080
1504503129,5083,5083
1504503604,5080,5080
1504504084,5082,5082
1504504571,5076,5076
1504505045,5082,5082
1504506008,5081,5081
1504506488,5082,5082
1504506964,5081,5081
1504507448,5083,5083
1504507924,5081,5081
1504508420,5078,5078
1504508887,5079,5079
1504509367,5082,5082
1504509846,5081,5081
1504510327,5083,5083
1504510804,5082,5082
1504511285,5078,5078
1504511766,5083,5083
1504512251,5079,5079
1504512728,5082,5082
1504513205,5074,5074
1504513691,5082,5082
1504514169,5081,5081
1504514652,5080,5080
1504515124,5080,5080
1504515614,5081,5081
1504516088,5081,5081
1504516568,5079,5079
1504517045,5075,5075
1504517526,5081,5081
1504518009,5079,5079
1504518487,5075,5075
1504518965,5079,5079
1504519449,5095,5095
1504519927,5097,5097
1504520405,5096,5096
1504520885,5093,5093
1504521368,5094,5094
1504521848,5097,5097
1504522326,5094,5094
1504522814,5095,5095
1504523286,5093,5093
1504523766,5094,5094
1504524249,5095,5095
1504524725,5093,5093
1504525205,5097,5097
1504525687,5096,5096
1504526165,5095,5095
1504526645,5097,5097
1504527125,5095,5095
1504527616,5093,5093
1504528085,5098,5098
1504528564,5092,5092
1504529049,5096,5096
1504529528,5094,5094
1504530015,5095,5095
1504530486,5096,5096
1504530968,5093,5093
1504531451,5094,5094
1504531925,5094,5094
1504532408,5094,5094
1504532885,5094,5094
1504533372,5094,5094
1504533847,5095,5095
1504534805,5095,5095
1504535291,5113,5113
1504535765,5112,5112
1504536246,5115,5115
1504536724,5113,5113
1504537219,5116,5116
1504537688,5115,5115
1504538166,5114,5114
1504538644,5109,5109
1504539132,5112,5112
1504539604,5114,5114
1504540085,5112,5112
1504540566,5112,5112
1504541047,5115,5115
1504541529,5111,5111
1504542006,5113,5113
1504542486,5114,5114
1504542967,5115,5115
1504543449,5113,5113
1504543926,5109,5109
1504544425,5114,5114
1504544888,5099,5099
1504545365,5115,5115
1504545847,5112,5112
1504546329,5111,5111
1504546819,5110,5110
1504547285,5113,5113
1504547766,5114,5114
1504548246,5115,5115
1504548734,5114,5114
1504549209,5111,5111
1504549686,5113,5113
1504550168,5111,5111
1504550657,5109,5109
1504551126,5113,5113
1504551608,5114,5114
1504552090,5112,5112
1504552569,5107,5107
1504553047,5111,5111
1504553527,5113,5113
1504554005,5109,5109
1504554728,5112,5112
1504555215,5111,5111
1504555690,5113,5113
1504556168,5111,5111
1504556648,5111,5111
1504557128,5114,5114
1504557605,5108,5108
1504558087,5109,5109
1504558567,5113,5113
1504559046,5109,5109
1504559525,5113,5113
1504560006,5112,5112
1504560487,5115,5115
1504560969,5111,5111
1504561448,5111,5111
1504562653,5108,5108
1504563130,5113,5113
1504563606,5111,5111
1504564086,5114,5114
1504564566,5111,5111
1504565052,5115,5115
1504565524,5109,5109
1504566008,5112,5112
1504566489,5113,5113
1504566965,5109,5109
1504567444,5111,5111
1504567926,5109,5109
1504568409,5113,5113
1504568886,5107,5107
1504569366,5110,5110
1504569850,5111,5111
1504570329,5111,5111
1504570808,5112,5112
1504571284,5112,5112
1504571768,5112,5112
1504572247,5109,5109
1504572730,5108,5108
1504573212,5114,5114
1504573686,5111,5111
1504574170,5117,5117
1504574645,5118,5118
1504575125,5112,5112
1504575606,5112,5112
1504576087,5113,5113
1504576570,5118,5118
1504577045,5116,5116
1504577529,5116,5116
1504578009,5119,5119
1504578486,5120,5120
1504578964,5113,5113
1504579449,5121,5121
1504579926,5117,5117
1504580418,5121,5121
1504580886,5119,5119
1504581609,5118,5118
1504582085,5117,5117
1504582568,5114,5114
1504583046,5111,5111
1504583526,5120,5120
1504584019,5120,5120
1504584487,5116,5116
1504584965,5113,5113
1504585444,5121,5121
1504586649,5120,5120
1504587124,5121,5121
1504587622,5119,5119
1504588093,5117,5117
1504588568,5118,5118
1504589045,5118,5118
1504589531,5119,5119
1504590005,5116,5116
1504590489,5116,5116
1504590965,5117,5117
1504591449,5111,5111
1504591928,5117,5117
1504592406,5114,5114
1504592886,5117,5117
1504593368,5118,5118
1504593849,5120,5120
1504594325,5118,5118
1504594810,5111,5111
1504595292,5119,5119
1504595764,5113,5113
1504596246,5118,5118
1504596724,5102,5102
1504597217,5117,5117
1504597687,5114,5114
1504598166,5114,5114
1504598646,5117,5117
1504599129,5119,5119
1504599608,5118,5118
1504600086,5112,5112
1504600563,5117,5117
1504601294,5118,5118
1504602025,5119,5119
1504602486,5116,5116
1504602964,5117,5117
1504603444,5113,5113
1504603929,5116,5116
1504604405,5116,5116
1504604887,5114,5114
1504605299,5117,5117
1504605851,5117,5117
1504606210,5119,5119
1504606570,5117,5117
1504607047,5112,5112
1504607524,5117,5117
1504608006,5117,5117
1504608724,5119,5119
1504609230,5119,5119
1504609687,5135,5135
1504610165,5145,5145
1504610644,5136,5136
1504611127,5138,5138
1504611606,5136,5136
1504612085,5138,5138
1504612565,5138,5138
1504613057,5134,5134
1504613525,5136,5136
1504614017,5145,5145
1504614485,5137,5137
1504614969,5137,5137
1504615447,5132,5132
1504615925,5133,5133
1504616411,5134,5134
1504616889,5131,5131
1504617369,5137,5137
1504617844,5134,5134
1504618324,5135,5135
1504618813,5137,5137
1504619290,5137,5137
1504619764,5136,5136
1504620247,5133,5133
1504620735,5135,5135
1504621210,5138,5138
1504621687,5137,5137
1504622165,5135,5135
1504622656,5137,5137
1504623132,5134,5134
1504623614,5134,5134
1504624086,5136,5136
1504624570,5145,5145
1504625048,5131,5131
1504625530,5147,5147
1504626006,5137,5137
1504626488,5131,5131
1504626966,5139,5139
1504627449,5138,5138
1504627924,5134,5134
1504628416,5137,5137
1504628888,5136,5136
1504629365,5136,5136
1504629850,5140,5140
1504631295,5136,5136
1504631777,5140,5140
1504632245,5139,5139
1504632732,5135,5135
1504633216,5138,5138
1504633688,5139,5139
1504634165,5131,5131
1504634649,5136,5136
1504635138,5138,5138
1504635606,5133,5133
1504636088,5138,5138
1504636565,5136,5136
1504637049,5141,5141
1504637525,5147,5147
1504638022,5135,5135
1504638486,5135,5135
1504638971,5138,5138
1504639445,5140,5140
1504639927,5135,5135
1504640406,5135,5135
1504640890,5134,5134
1504641366,5137,5137
1504641847,5136,5136
1504642325,5137,5137
1504642813,5148,5148
1504643289,5139,5139
1504643765,5136,5136
1504644251,5138,5138
1504644727,5138,5138
1504645230,5145,5145
1504645686,5139,5139
1504646169,5138,5138
