DateTime,Entries,UniqueIPs
1493615722,438,442
1493642586,500,503
1493655030,456,457
1493683932,412,414
1493701985,446,448
1493729435,404,407
1493741704,438,441
1493768674,402,404
1493788087,437,439
1493814444,497,499
1493828261,449,451
1493856392,412,414
1493874602,390,392
1493901548,403,406
1493914436,404,406
1493942201,497,500
1493961268,433,436
1493987957,464,467
1494001052,358,359
1494028317,367,367
1494047397,405,405
1494074015,456,456
1494086834,411,411
1494114717,458,459
1494133426,429,430
1494160559,388,390
1494174159,416,418
1494196120,467,471
1494220686,371,374
1494243431,467,470
1494260448,382,384
1494282437,391,392
1494307240,422,423
1494328311,386,387
1494346683,418,421
1494370095,387,389
1494393155,386,388
1494420158,387,388
1494433242,362,363
1494455714,450,452
1494479618,398,400
1494506183,437,442
1494519198,399,402
1494546724,360,362
1494565610,389,391
1494591435,449,450
1494605159,400,400
1494631216,443,444
1494652023,356,357
1494677982,367,368
1494692136,362,362
1494719150,382,383
1494738101,411,412
1494764236,466,467
1494778080,422,422
1494805311,480,480
1494824880,433,434
1494849684,397,398
1494864504,430,431
1494891032,483,485
1494911637,374,375
1494937206,388,389
1494951760,373,374
1494972489,467,469
1494997569,413,415
1495023374,456,457
1495037176,398,399
1495063634,362,362
1495083854,362,363
1495109812,368,370
1495123695,358,359
1495151890,356,357
1495170900,385,386
1495196600,367,368
1495210083,352,353
1495236840,431,432
1495256222,345,346
1495282296,436,437
1495296067,402,403
1495323533,373,375
1495342536,407,409
1495368084,457,460
1495382615,434,436
1495410066,399,401
1495429109,373,373
1495453905,472,472
1495468466,373,373
1495495292,469,470
1495514915,380,381
1495535154,471,472
1495554428,366,367
1495575323,451,453
1495601328,384,386
1495621738,368,370
1495640426,397,399
1495661602,452,454
1495687486,369,370
1495707926,459,460
1495727863,367,368
1495754329,379,380
1495774333,388,389
1495795086,395,396
1495814822,381,381
1495840922,401,401
1495861399,404,405
1495886777,406,408
1495901215,439,441
1495928310,365,367
1495947365,402,404
1495973231,381,382
1495987365,370,371
1496015323,382,383
1496034125,371,372
1496061194,388,389
1496073640,377,377
1496100520,469,470
1496120404,382,383
1496146241,476,477
1496159599,425,425
1496185259,481,481
1496206397,417,417
1496229847,383,383
1496246082,378,378
1496272778,384,385
1496293164,375,376
1496318872,380,380
1496333209,379,379
1496359975,383,383
1496379709,390,390
1496406041,470,472
1496419970,415,417
1496447866,356,357
1496466374,378,379
1496492892,456,457
