DateTime,AddedIPs,RemovedIPs
1504252921,78,78
1504253522,68,68
1504254122,72,72
1504255322,80,80
1504256522,80,80
1504257121,80,80
1504257721,74,74
1504258922,75,75
1504260121,18,18
1504260722,75,75
1504261322,60,60
1504261921,80,80
1504262522,80,80
1504263122,80,80
1504263722,80,80
1504264922,77,77
1504266121,35,35
1504266722,80,80
1504267321,72,72
1504268522,78,78
1504269722,79,79
1504270322,80,80
1504270922,61,61
1504272122,76,76
1504272721,80,80
1504273321,80,80
1504273921,80,80
1504274522,80,80
1504275122,80,80
1504275722,74,74
1504276321,73,73
1504276922,79,79
1504278122,77,77
1504279321,79,79
1504279921,80,80
1504280522,80,80
1504281722,78,78
1504282321,80,80
1504282922,80,80
1504284121,80,80
1504285322,77,77
1504286521,69,69
1504287122,78,78
1504287721,80,80
1504288921,70,70
1504289522,80,80
1504290122,80,80
1504290722,71,71
1504291322,43,43
1504291922,80,80
1504292521,70,70
1504293721,80,80
1504294322,80,80
1504294922,79,79
1504295522,27,27
1504296121,80,80
1504296721,76,76
1504297322,80,80
1504298521,68,68
1504299721,79,79
1504300922,80,80
1504301522,80,80
1504302122,78,78
1504302722,78,78
1504303321,47,47
1504303922,78,78
1504304522,75,75
1504305722,80,80
1504306922,72,72
1504308122,64,64
1504309321,74,74
1504309922,78,78
1504310521,77,77
1504311121,79,79
1504311722,75,75
1504312321,80,80
1504312921,80,80
1504313523,80,80
1504314121,80,80
1504314722,63,63
1504315321,79,79
1504315921,46,46
1504316521,37,37
1504317722,75,75
1504318921,76,76
1504319521,44,44
1504320121,65,65
1504321321,67,67
1504322522,79,79
1504323722,60,60
1504324922,79,79
1504326121,80,80
1504327322,72,72
1504328522,80,80
1504329722,79,79
1504330921,75,75
1504331522,80,80
1504332122,78,78
1504332722,80,80
1504333321,76,76
1504334521,74,74
1504335121,73,73
1504335722,78,78
1504336322,76,76
1504336922,80,80
1504338122,80,80
1504339322,79,79
1504339922,80,80
1504340522,76,76
1504341121,72,72
1504341722,73,73
1504342921,34,34
1504344121,77,77
1504344721,76,76
1504345321,76,76
1504346522,75,75
1504347122,78,78
1504347721,78,78
1504348321,77,77
1504348922,75,75
1504350121,78,78
1504350722,75,75
1504351322,70,70
1504351922,80,80
1504352522,72,72
1504353721,72,72
1504354922,42,42
1504356121,71,71
1504357321,80,80
1504357922,80,80
1504358522,80,80
1504359721,80,80
1504360922,76,76
1504361522,8,8
1504362121,75,75
1504363322,45,45
1504363922,80,80
1504364521,32,32
1504365121,29,29
1504365721,57,57
1504366322,80,80
1504366922,79,79
1504367522,52,52
1504368122,73,73
1504368721,73,73
1504369322,79,79
1504369921,80,80
1504370521,76,76
1504371721,72,72
1504372322,80,80
1504372921,80,80
1504374121,80,80
1504375321,77,77
1504376522,77,77
1504377722,79,79
1504378322,78,78
1504378922,78,78
1504379522,79,79
1504380122,71,71
1504381321,68,68
1504381922,80,80
1504382522,80,80
1504383721,57,57
1504384922,80,80
1504386121,56,56
1504387321,80,80
1504388521,65,65
1504389722,73,73
1504391521,79,79
1504392122,80,80
1504393322,75,75
1504394521,51,51
1504395121,74,74
1504395721,80,80
1504396322,73,73
1504396922,80,80
1504398123,72,72
1504398721,75,75
1504399322,76,76
1504399921,80,80
1504400521,80,80
1504401121,80,80
1504401722,80,80
1504402322,75,75
1504402922,77,77
1504403521,80,80
1504404121,76,76
1504404722,72,72
1504405321,80,80
1504406521,33,33
1504407121,77,77
1504407722,80,80
1504408322,79,79
1504408922,80,80
1504410122,72,72
1504411322,80,80
1504412522,63,63
1504413122,75,75
1504413721,80,80
1504414321,80,80
1504414922,76,76
1504415522,80,80
1504416122,73,73
1504416722,80,80
1504417322,80,80
1504417922,80,80
1504418521,66,66
1504419721,77,77
1504420321,80,80
1504420922,22,22
1504422121,51,51
1504422722,77,77
1504423322,76,76
1504423921,79,79
1504424521,79,79
1504425122,79,79
1504425721,34,34
1504426321,77,77
1504426922,75,75
1504428121,71,71
1504429322,70,70
1504429921,80,80
1504430521,76,76
1504431722,75,75
1504432322,77,77
1504432922,80,80
1504433522,80,80
1504434121,80,80
1504434721,80,80
1504435321,80,80
1504435922,74,74
1504436521,79,79
1504437121,80,80
1504437722,76,76
1504438922,78,78
1504440121,76,76
1504440722,80,80
1504441323,79,79
1504442522,79,79
1504443722,67,67
1504444922,79,79
1504445522,70,70
1504446121,65,65
1504447322,78,78
1504447921,80,80
1504448522,26,26
1504449722,78,78
1504450922,70,70
1504452122,79,79
1504452722,80,80
1504453321,67,67
1504453921,79,79
1504454522,80,80
1504455121,43,43
1504455721,80,80
1504456321,78,78
1504456921,80,80
1504457521,74,74
1504458122,80,80
1504458721,77,77
1504459322,56,56
1504459922,80,80
1504460522,79,79
1504461121,80,80
1504461722,80,80
1504462321,80,80
1504462921,80,80
1504463522,79,79
1504464122,80,80
1504465322,67,67
1504466521,43,43
1504467722,44,44
1504468321,80,80
1504468922,64,64
1504469522,79,79
1504470121,78,78
1504471322,79,79
1504471921,80,80
1504472522,80,80
1504473721,76,76
1504474322,80,80
1504474922,80,80
1504475522,80,80
1504476122,77,77
1504477321,77,77
1504479121,50,50
1504479722,68,68
1504480321,80,80
1504480921,80,80
1504482122,32,32
1504483322,78,78
1504483922,74,74
1504484522,80,80
1504485122,11,11
1504485722,52,52
1504486922,76,76
1504488121,73,73
1504488721,80,80
1504489321,65,65
1504490522,58,58
1504491121,80,80
1504491722,13,13
1504492922,72,72
1504494122,76,76
1504495322,72,72
1504496522,64,64
1504497122,74,74
1504497721,72,72
1504498321,80,80
1504498922,72,72
1504500122,64,64
1504500721,80,80
1504501321,71,71
1504502522,79,79
1504503121,80,80
1504503722,78,78
1504504322,80,80
1504504922,75,75
1504505521,80,80
1504506122,80,80
1504506721,78,78
1504507322,80,80
1504508521,74,74
1504509122,80,80
1504509721,80,80
1504510321,76,76
1504510922,77,77
1504511521,74,74
1504512122,79,79
1504512722,77,77
1504513322,31,31
1504513922,13,13
1504514521,70,70
1504515721,77,77
1504516321,74,74
1504516921,80,80
1504517522,69,69
1504518121,68,68
1504518721,78,78
1504519322,77,77
1504520522,74,74
1504521121,79,79
1504521722,77,77
1504522921,77,77
1504524122,31,31
1504525322,78,78
1504525922,76,76
1504526521,23,23
1504527721,64,64
1504528922,73,73
1504529522,80,80
1504530121,75,75
1504531321,59,59
1504532522,74,74
1504533722,78,78
1504534322,70,70
1504534921,68,68
1504536122,80,80
1504537322,80,80
1504537922,75,75
1504538522,75,75
1504539122,80,80
1504539722,80,80
1504540322,75,75
1504540922,78,78
1504541522,75,75
1504542121,76,76
1504542721,76,76
1504543321,80,80
1504544522,79,79
1504545122,80,80
1504545721,72,72
1504546922,56,56
1504547521,71,71
1504548122,72,72
1504549322,34,34
1504549921,80,80
1504550522,74,74
1504551722,65,65
1504552922,36,36
1504554122,63,63
1504555322,63,63
1504555921,80,80
1504556521,77,77
1504557722,75,75
1504558922,80,80
1504560122,80,80
1504560721,78,78
1504561322,80,80
1504562522,72,72
1504563122,72,72
1504563722,80,80
1504564922,21,21
1504565522,77,77
1504566121,80,80
1504566721,80,80
1504567322,80,80
1504568522,52,52
1504569122,80,80
1504569722,78,78
1504570322,79,79
1504570922,80,80
1504571522,78,78
1504572122,75,75
1504573322,72,72
1504573922,40,40
1504574522,9,9
1504575122,80,80
1504575721,58,58
1504576322,59,59
1504576922,55,55
1504577522,79,79
1504578122,78,78
1504579322,60,60
1504579921,64,64
1504580521,64,64
1504581121,66,66
1504581721,75,75
1504582921,70,70
1504583522,79,79
1504584122,80,80
1504584722,73,73
1504585321,80,80
1504586522,50,50
1504587122,31,31
1504587721,68,68
1504588322,72,72
1504588921,60,60
