DateTime,Entries,UniqueIPs
1503920521,3079,3116
1503921722,3080,3117
1503922922,3078,3114
1503924121,3075,3111
1503925321,3079,3115
1503926521,3079,3115
1503928922,3078,3114
1503930121,3077,3113
1503932522,3072,3108
1503933122,3073,3109
1503934921,3072,3108
1503935522,3070,3106
1503936122,3071,3107
1503937321,3070,3106
1503938522,3067,3103
1503939722,3066,3102
1503940321,3074,3110
1503942121,3077,3113
1503943322,3078,3114
1503943922,3077,3112
1503945121,3078,3113
1503945721,3075,3110
1503948122,3088,3123
1503949321,3086,3121
1503950522,3081,3116
1503952322,3080,3117
1503952922,3080,3117
1503954121,3079,3116
1503955322,3076,3113
1503956521,3073,3110
1503957121,3071,3108
1503957721,3072,3109
1503959522,3064,3101
1503961321,3064,3101
1503962522,3058,3095
1503963122,3070,3107
1503963721,3072,3109
1503964922,3073,3110
1503966122,3072,3109
1503968522,3070,3107
1503969722,3113,3151
1503970922,3110,3148
1503972122,3109,3147
1503972722,3116,3154
1503973322,3115,3153
1503973922,3117,3155
1503974521,3122,3160
1503975722,3118,3156
1503976922,3121,3159
1503978121,3109,3147
1503979322,3104,3142
1503980522,3097,3135
1503981722,3094,3130
1503982922,3079,3115
1503984121,3072,3108
1503984721,3075,3111
1503985321,3074,3110
1503986522,3072,3109
1503987722,3072,3109
1503988922,3075,3112
1503989521,3072,3109
1503990122,3070,3107
1503991322,3068,3105
1503991921,3070,3107
1503992521,3072,3109
1503993122,3067,3104
1503993721,3062,3099
1503994921,3051,3088
1503996722,3047,3084
1503997321,3046,3082
1503997922,3051,3087
1503998521,3058,3093
1503999722,3058,3093
1504000321,3060,3095
1504000922,3059,3094
1504001522,3057,3092
1504002122,3052,3087
1504002721,3051,3086
1504003322,3052,3087
1504003921,3044,3079
1504004522,3045,3080
1504005721,3050,3085
1504006322,3051,3086
1504006921,3049,3084
1504007522,3052,3087
1504008122,3045,3079
1504008722,3047,3081
1504009921,3041,3076
1504010522,3037,3073
1504011722,3054,3090
1504012921,3050,3085
1504014121,3048,3083
1504014721,3044,3079
1504015921,3043,3078
1504016522,3044,3079
1504017722,3040,3075
1504018922,3059,3094
1504020121,3053,3088
1504021322,3054,3089
1504022522,3044,3079
1504023722,3042,3077
1504026121,3053,3089
1504027322,3053,3089
1504028521,3054,3090
1504029722,3058,3094
1504030322,3059,3095
1504030921,3060,3096
1504032121,3061,3097
1504033321,3051,3087
1504035122,3050,3086
1504035722,3047,3083
1504036921,3048,3084
1504038122,3045,3081
1504039321,3054,3090
1504039922,3060,3096
1504040521,3062,3099
1504041122,3065,3103
1504041721,3068,3106
1504042321,3068,3106
1504042921,3070,3108
1504043521,3074,3112
1504044122,3077,3115
1504045322,3073,3111
1504046521,3074,3112
1504047722,3071,3109
1504048322,3075,3113
1504048921,3074,3112
1504050122,3075,3113
1504051322,3081,3119
1504052521,3074,3112
1504054322,3073,3111
1504054922,3071,3108
1504055521,3073,3110
1504056121,3075,3112
1504056721,3077,3114
1504057321,3077,3114
1504058521,3080,3117
1504059722,3083,3120
1504060922,3091,3129
1504062121,3100,3138
1504063322,3096,3133
1504063922,3092,3128
1504064521,3095,3131
1504065722,3089,3126
1504066921,3099,3136
1504068121,3094,3131
1504070522,3082,3119
1504071722,3072,3109
1504072921,3081,3118
1504073521,3087,3123
1504074121,3089,3125
1504074722,3089,3125
1504075322,3080,3116
1504076521,3078,3114
1504077721,3079,3115
1504078322,3087,3123
1504078921,3090,3126
1504079522,3086,3121
1504080121,3085,3120
1504081322,3085,3120
1504081922,3081,3115
1504083722,3080,3114
1504084922,3085,3119
1504086123,3081,3115
1504087322,3080,3114
1504088522,3078,3112
1504089721,3078,3112
1504090922,3080,3114
1504092122,3092,3127
1504092721,3092,3127
1504093321,3091,3126
1504094521,3093,3128
1504095721,3093,3128
1504096922,3097,3132
1504097522,3092,3127
1504098121,3093,3128
1504099321,3092,3127
1504100521,3089,3124
1504101121,3087,3122
1504102922,3095,3130
1504104122,3094,3129
1504104722,3095,3130
1504105322,3096,3131
1504106521,3095,3130
1504108922,3091,3126
1504110121,3095,3130
1504110722,3097,3132
1504111922,3094,3129
1504112522,3095,3130
1504113722,3097,3132
1504114921,3087,3122
1504116722,3088,3123
1504117322,3087,3122
1504118522,3087,3122
1504119722,3089,3124
1504120322,3096,3131
1504120921,3094,3131
1504123322,3098,3135
1504124521,3101,3138
1504125721,3089,3126
1504126922,3090,3127
1504127522,3087,3124
1504128122,3090,3127
1504128722,3094,3132
1504129321,3095,3133
1504130522,3090,3128
1504131721,3091,3130
1504132922,3090,3129
1504134122,3090,3130
1504135321,3085,3125
1504136521,3089,3129
1504137121,3091,3131
1504137722,3093,3133
1504138921,3096,3136
1504140122,3094,3134
1504140722,3090,3130
1504141322,3096,3136
1504142521,3096,3136
1504143121,3097,3137
1504143721,3097,3137
1504144321,3099,3139
1504144922,3097,3137
1504146121,3096,3136
1504146721,3099,3139
1504147321,3100,3140
1504148521,3112,3151
1504149721,3117,3156
1504150322,3114,3153
1504150922,3112,3151
1504151522,3113,3152
1504152121,3114,3153
1504153322,3142,3182
1504154521,3145,3185
1504155721,3143,3183
1504156921,3144,3184
1504157521,3147,3187
1504158121,3148,3189
1504158722,3152,3193
1504159321,3154,3195
1504159922,3152,3193
1504161721,3147,3188
1504162922,3146,3187
1504164121,3155,3196
1504165321,3150,3191
1504166522,3147,3188
1504167122,3146,3187
1504168922,3140,3181
1504170121,3142,3183
1504170722,3141,3182
1504171322,3154,3195
1504172521,3156,3197
1504173122,3157,3198
1504173721,3150,3191
1504177322,3167,3208
1504178521,3174,3215
1504179721,3173,3214
1504180922,3174,3215
1504182122,3183,3224
1504183321,3182,3223
1504183922,3185,3226
1504184521,3186,3227
1504185722,3185,3226
1504187522,3183,3224
1504190522,3197,3242
1504191122,3196,3241
1504191721,3190,3235
1504192921,3191,3236
1504193521,3186,3231
1504194122,3186,3231
1504195321,3190,3235
1504196521,3191,3236
1504197121,3192,3237
1504197721,3202,3248
1504198321,3202,3248
1504198921,3203,3249
1504199522,3203,3249
1504200121,3205,3251
1504201921,3203,3249
1504203122,3204,3250
1504203721,3205,3251
1504204322,3213,3259
1504204922,3221,3267
1504206722,3222,3268
1504207321,3225,3271
1504208521,3221,3267
1504209721,3219,3265
1504211522,3232,3278
1504212121,3239,3285
1504213321,3242,3288
1504213921,3240,3286
1504214521,3240,3286
1504215722,3232,3278
1504216321,3235,3281
1504216921,3234,3280
1504219322,3241,3287
1504220521,3245,3291
1504221722,3244,3290
1504222321,3246,3292
1504222921,3248,3294
1504223522,3264,3311
1504224121,3270,3317
1504224721,3275,3322
1504225321,3271,3318
1504226522,3272,3319
1504227122,3276,3322
1504227721,3283,3329
1504228921,3286,3332
1504230122,3285,3331
1504231322,3290,3336
1504232521,3313,3359
1504233122,3311,3357
1504233721,3312,3358
1504234921,3313,3360
1504236122,3311,3358
1504237321,3314,3361
1504237922,3311,3358
1504238522,3312,3359
1504239121,3315,3362
1504239722,3315,3362
1504240321,3313,3360
1504240921,3312,3359
1504242121,3347,3394
1504242721,3347,3394
1504243321,3352,3399
1504243921,3355,3402
1504244521,3356,3403
1504245122,3356,3403
1504245721,3355,3403
1504246921,3355,3403
1504248121,3358,3406
1504249321,3362,3411
1504250521,3367,3417
1504251721,3368,3418
1504252322,3366,3416
1504252921,3365,3415
1504254122,3366,3416
1504254721,3364,3414
1504255322,3365,3415
1504256522,3377,3428
1504257121,3384,3435
1504257721,3381,3432
1504258922,3381,3433
1504260121,3381,3433
1504261322,3386,3439
1504261921,3385,3438
1504262522,3381,3434
1504264922,3381,3434
1504265521,3380,3433
1504266121,3380,3433
1504268522,3388,3439
1504269722,3384,3435
1504270322,3382,3432
1504270922,3383,3433
1504272121,3378,3428
1504273921,3374,3424
1504274522,3373,3423
1504275722,3378,3428
1504276922,3374,3424
1504278122,3373,3423
1504279321,3388,3440
1504281722,3393,3446
1504282922,3395,3448
1504285322,3393,3446
1504286521,3396,3450
1504287122,3393,3447
1504287721,3396,3450
1504288921,3399,3453
1504289522,3397,3451
1504290122,3398,3452
1504290722,3397,3451
1504291322,3395,3449
