DateTime,AddedIPs,RemovedIPs
1502145151,209,0
1502146974,0,1
1502147851,0,1
1502151435,6,5
1502158628,1,6
1502165874,7,3
1502173030,1,5
1502180237,5,3
1502187436,7,2
1502194630,5,4
1502201845,2,4
1502209046,5,0
1502210863,605,0
1502216253,3,3
1502223450,5,4
1502226182,1,0
1502230653,1,5
1502234250,0,1
1502237853,3,6
1502245058,2,5
1502252295,5,5
1502259453,3,4
1502266665,5,5
1502273866,4,5
1502281072,6,3
1502288261,3,8
1502291856,1,0
1502295460,5,1
1502296351,1,0
1502298194,938,0
1502302658,3,4
1502305393,1,0
1502306258,1,0
1502309858,3,3
1502310751,0,1
1502317057,3,4
1502324264,2,3
1502331506,4,5
1502335058,0,1
1502339557,8,3
1502344984,0,1
1502345855,3,7
1502347657,0,1
1502349455,0,1
1502353054,4,4
1502360246,5,3
1502367440,1,5
1502374642,6,3
1502376437,1,0
1502377367,1,0
1502378241,1,0
1502380050,1,0
1502381851,4,7
1502385442,0,1
1502389048,1106,4
1502396271,3,2
1502398060,0,1
1502403459,7,3
1502410658,1,3
1502417855,2,2
1502425105,5,7
1502432260,5,3
1502468268,17,11
1502471862,1,0
1502475467,4,3
1502478190,0,2
1502479963,0,1
1502482658,3,5
1502489858,2,3
1502497059,4,6
1502503382,0,1
1502504263,2,3
1502512355,6,4
1502514184,0,1
1502518654,1,10
1502525858,12,7
1502533057,1,2
1502535788,777,1
1502541156,4,6
1502542983,1,0
1502547454,2,5
1502554657,5,4
1502561856,4,6
1502569058,3,7
1502576254,10,3
1502578985,1,0
1502583463,2,1
1502589792,1,0
1502590665,2,3
1502598757,6,7
1502605056,4,12
1502612265,4,1
1502619457,1,2
1502626662,4,0
1502633859,3,0
1502641053,3,3
1502648264,4,4
1502652755,1,0
1502655455,4,5
1502662657,5,3
1502668058,1,0
1502669862,0,3
1502677053,3,4
1502685164,6,4
1502687858,1,0
1502688760,0,1
1502689656,0,1
1502691457,6,5
1502694186,1,0
1502698653,10,3
1502705858,4,2
1502713058,3,1
1502720250,4,3
1502727451,6,8
1502731061,1,0
1502734533,10,2
1502741896,0,5
1502747256,861,0
1502749060,9,1
1502756253,2,4
1502759856,0,1
1502763457,1,5
1502769791,1,0
1502770703,6,3
1502777873,4,5
1502785070,6,1
1502792269,7,3
1502799470,3,4
1502806672,3,1
1502811167,1,0
1502813866,7,6
1502821975,2,6
1502823820,856,0
1502828265,6,3
1502835461,3,5
1502842659,4,6
1502849861,4,5
1502850762,1,0
1502857116,1,8
1502864260,3,5
1502865159,1,0
1502868762,1,0
1502871464,6,5
1502878663,2,5
1502880465,1,0
1502884072,1,0
1502884994,1,0
1502885859,5,2
1502887659,2,0
1502893065,3,2
1502896662,1,0
1502900260,9,6
1502907462,4,6
1502914659,3,0
1502921865,7,4
1502929070,4,3
1502936258,2,8
1502943476,5,6
1502950667,4,5
1502958024,4,7
1502959665,0,1
1502965059,3,0
1502972262,3,3
1502979460,5,5
1502986668,3,3
1502991171,849,0
1502993860,1,8
1503001071,1,2
1503008264,4,2
1503011864,1,0
1503012766,1,0
1503015464,1,5
1503022661,5,1
1503029880,1,6
1503037067,6,7
1503042468,1,0
1503044262,2,3
1503051472,4,10
1503058665,5,4
1503065863,1,8
1503073072,8,0
1503080276,5,1623
1503087472,6,5
1503093792,0,1
1503094668,4,4
1503101861,2,2
1503109066,0,4
1503116279,4,1
1503117164,1,0
1503120764,0,636
1503123463,5,7
1503128867,1,0
1503130654,5,2
1503137859,3,4
1503145069,2,8
1503147800,1,0
1503152260,5,4
1503159462,2,1
1503163058,2,1
1503166660,2,4
1503169395,0,771
1503173865,1,2
1503176598,0,1
1503177461,1,0
1503181063,3,5
1503188262,4,5
1503190062,0,1
1503195462,2,2
1503199056,1,0
1503202682,4,7
1503208066,1,0
1503209866,3,1
1503213466,1,0
1503217065,6,4
1503224263,2,2
1503231464,3,5
1503238672,4,3
1503242263,0,1
1503245875,3,5
1503253064,6,3
1503260265,4,3
1503267459,4,4
1503274661,3,1
