DateTime,Entries,UniqueIPs
1502377413,1853,1919
1502380953,1853,1919
1502384613,1856,1922
1502388154,1853,1919
1502391753,1854,1920
1502395413,1852,1918
1502399015,1855,1921
1502402613,1854,1920
1502406213,1852,1918
1502409753,1851,1917
1502413355,1849,1915
1502417013,1847,1913
1502420554,1850,1916
1502424155,1852,1918
1502427754,1852,1918
1502431414,1851,1917
1502435015,1854,1920
1502442154,1854,1920
1502449415,1851,1917
1502452955,1850,1916
1502460214,1849,1915
1502463755,1850,1916
1502467415,1850,1916
1502471014,1851,1917
1502478154,1852,1918
1502481754,1853,1919
1502488963,1851,1917
1502492622,1852,1918
1502496214,1851,1917
1502503355,1852,1918
1502506955,1850,1916
1502510558,1852,1918
1502514155,1848,1913
1502517755,1841,1906
1502521355,1843,1908
1502524955,1844,1909
1502528555,1843,1908
1502532215,1840,1905
1502535755,1840,1905
1502539415,1842,1907
1502542955,1836,1901
1502546615,1837,1902
1502550155,1838,1903
1502553755,1837,1902
1502557355,1836,1901
1502561015,1834,1899
1502564555,1832,1897
1502568155,1832,1897
1502571815,1829,1894
1502575355,1837,1902
1502579016,1833,1898
1502582556,1834,1899
1502586156,1832,1897
1502589756,1833,1898
1502593416,1833,1898
1502597016,1834,1899
1502600556,1834,1899
1502604216,1834,1899
1502607756,1832,1897
1502611356,1833,1898
1502614956,1830,1895
1502618556,1831,1896
1502622156,1826,1891
1502625756,1828,1893
1502629416,1831,1896
1502633016,1829,1892
1502636556,1830,1893
1502640156,1829,1892
1502643756,1828,1891
1502647416,1829,1892
1502650978,1830,1893
1502654617,1832,1895
1502658171,1831,1894
1502661817,1830,1893
1502669017,1829,1892
1502672617,1828,1891
1502676157,1828,1891
1502679817,1830,1893
1502683357,1832,1895
1502686957,1834,1897
1502690557,1838,1901
1502694217,1842,1905
1502697817,1839,1902
1502701357,1839,1902
1502704957,1840,1903
1502708617,1841,1904
1502712217,1842,1905
1502715757,1844,1907
1502719357,1842,1905
1502722957,1839,1902
1502726557,1842,1905
1502730157,1842,1906
1502733817,1845,1909
1502737357,1846,1910
1502740957,1847,1911
1502744558,1848,1912
1502748218,1849,1913
1502751818,1850,1914
1502755358,1851,1915
1502762558,1852,1916
1502766158,1854,1918
1502769758,1855,1919
1502773358,1857,1921
1502776958,1856,1920
1502780558,1858,1922
1502784158,1859,1923
1502787782,1860,1924
1502791418,1861,1925
1502795018,1861,1925
1502802158,1862,1926
1502809419,1861,1925
1502812958,1862,1926
1502816558,1863,1927
1502820158,1862,1926
1502823760,1863,1927
1502827418,1861,1925
1502830959,1863,1927
1502834559,1861,1925
1502838219,1861,1925
1502841759,1859,1923
1502845359,1861,1925
1502852619,1862,1926
1502856159,1860,1924
1502859765,1859,1923
1502863419,1861,1925
1502866959,1862,1926
1502870559,1862,1926
1502874159,1863,1927
1502877759,1860,1924
1502881360,1861,1925
1502884959,1860,1924
1502888560,1859,1923
1502892159,1861,1925
1502895759,1864,1928
1502899359,1866,1930
1502910159,1864,1928
1502913760,1864,1928
1502917360,1867,1931
1502920960,1869,1933
1502924560,1870,1934
1502928160,1872,1936
1502935360,1871,1935
1502938960,1873,1937
1502942560,1874,1938
1502946160,1874,1938
1502949760,1875,1939
1502953360,1877,1941
1502960560,1875,1939
1502964160,1873,1937
1502971360,1871,1935
1502975020,1874,1938
1502978620,1876,1940
1502982161,1876,1940
1502985761,1871,1935
1502996622,1866,1930
1503000161,1863,1927
1503003761,1865,1929
1503007361,1863,1927
1503010961,1864,1928
1503018221,1864,1928
1503021821,1864,1928
1503025361,1863,1927
1503028961,1861,1925
1503032621,1864,1928
1503036221,1862,1926
1503039821,1863,1927
1503046961,1864,1928
1503050561,1864,1928
1503054221,1868,1932
1503061361,1866,1930
1503068561,1867,1931
1503072161,1868,1932
