DateTime,AddedIPs,RemovedIPs
1502399015,3,3
1502402613,2,1
1502406213,0,3
1502409753,0,1
1502413355,0,2
1502417013,0,2
1502420554,3,1
1502424155,2,0
1502427754,3,4
1502431414,2,0
1502435015,3,2
1502442154,1,1
1502449415,2,7
1502452955,1,0
1502460214,4,6
1502463755,1,1
1502467415,2,0
1502471014,2,0
1502474614,0,4
1502478154,1,3
1502481754,1,0
1502485414,0,2
1502488963,2,0
1502492622,1,4
1502496214,3,3
1502503355,1,0
1502506955,2,5
1502510558,2,0
1502514155,1,1
1502517755,1,1
1502521355,5,0
1502524955,5,2
1502528555,0,3
1502532215,0,1
1502535755,2,0
1502539415,3,1
1502542955,1,1
1502546615,1,0
1502550155,1,2
1502557355,2,3
1502561015,1,0
1502564555,0,2
1502568155,2,5
1502571815,1,1
1502575355,8,0
1502579016,0,5
1502582556,1,0
1502586156,1,6
1502589756,1,0
1502593416,4,4
1502597016,1,0
1502600556,1,2
1502604216,2,3
1502607756,2,0
1502611356,1,0
1502614956,0,2
1502618556,1,0
1502622156,0,2
1502625756,3,1
1502629416,3,0
1502633016,0,2
1502636556,1,0
1502640156,0,2
1502643756,2,0
1502647416,1,0
1502650978,2,3
1502654617,2,0
1502661817,2,2
1502665357,0,4
1502672617,0,4
1502676157,1,4
1502679817,2,0
1502683357,3,2
1502686957,2,0
1502690557,4,3
1502694217,6,4
1502697817,2,0
1502701357,2,4
1502704957,1,0
1502708617,1,1
1502712217,2,2
1502715757,2,0
1502719357,1,5
1502722957,0,2
1502726557,3,1
1502730157,3,0
1502733817,4,0
1502737357,2,1
1502740957,2,1
1502744558,1,0
1502748218,2,1
1502751818,1,0
1502755358,1,4
1502762558,1,2
1502766158,3,0
1502769758,2,3
1502773358,3,0
1502776958,0,5
1502780558,2,4
1502784158,1,0
1502787782,2,1
1502791418,5,0
1502795018,3,2
1502802158,2,4
1502809419,1,4
1502812958,2,2
1502816558,2,0
1502820158,0,4
1502823760,1,3
1502827418,4,0
1502830959,3,0
1502834559,2,2
1502838219,2,0
1502841759,3,0
1502845359,2,1
1502848959,0,2
1502852619,1,0
1502856159,0,4
1502859765,0,3
1502863419,2,0
1502866959,3,1
1502870559,2,1
1502874159,1,3
1502877759,0,2
1502881360,1,0
1502884959,3,1
1502888560,1,2
1502892159,2,3
1502895759,3,0
1502899359,5,4
1502906559,0,1
1502913760,2,6
1502917360,3,0
1502920960,2,1
1502924560,1,0
1502928160,2,2
1502931820,0,2
1502935360,1,2
1502938960,2,3
1502942560,2,2
1502946160,1,2
1502949760,1,4
1502953360,4,0
1502957020,0,5
1502960560,0,3
1502964160,1,1
1502971360,1,2
1502975020,3,0
1502978620,2,0
1502982161,1,2
1502985761,0,2
1502989381,0,3
1502992961,1,0
1502996622,0,4
1503000161,0,6
1503003761,2,0
1503007361,0,2
1503010961,1,1
1503018221,1,1
1503021821,1,1
1503025361,0,2
1503028961,1,2
1503032621,3,0
1503036221,2,5
1503039821,1,0
1503043361,0,2
1503046961,1,0
1503050561,3,1
1503054221,4,0
1503061361,1,1
1503064962,0,4
1503068561,1,0
1503072161,2,0
1503075761,2,0
1503079362,2,2
1503082962,1,2
1503086562,2,5
1503090222,1,0
1503093762,2,3
1503097422,1,0
1503101022,0,4
1503108162,0,2
1503111762,3,0
1503115422,0,3
1503119022,1,0
1503122562,2,4
1503126162,3,2
1503129762,2,1
1503133362,2,1
1503136962,1,0
1503140622,1,2
1503147762,2,0
1503151422,2,1
1503155022,1,0
1503158623,1,4
1503162223,1,2
1503165763,1,0
1503176563,0,2
1503180163,1,3
1503183763,2,1
1503187363,2,0
1503194563,0,4
1503198163,3,0
1503201823,0,1
1503205363,1,0
1503208963,2,3
1503212624,1,3
1503216163,4,2
1503223363,0,2
1503227023,2,0
1503230623,1,0
1503234163,2,3
1503241364,2,1
1503244964,1,0
1503248564,2,5
1503252224,2,4
1503255824,1,0
