DateTime,AddedIPs,RemovedIPs
1497932048,1,0
1497982129,1,0
1497985942,2,0
1497989825,2,0
1498009238,3,0
1498036113,2,0
1498051639,0,66
1498059184,2,0
1498062992,1,0
1498074556,2,0
1498078638,1,0
1498086291,2,0
1498098048,3,0
1498101862,1,0
1498105737,1,0
1498121057,1,0
1498132591,2,0
1498136536,1,0
1498159471,1,0
1498171030,2,0
1498175083,1,0
1498178948,1,0
1498182784,2,0
1498190703,1,0
1498194525,1,0
1498206516,1,0
1498229550,2,0
1498233427,1,0
1498237317,1,0
1498244949,1,0
1498256378,1,0
1498267575,5,0
1498271339,2,0
1498275149,1,0
1498278986,1,0
1498290513,1,0
1498298519,2,0
1498310432,1,0
1498321983,1,0
1498333469,1,0
1498337333,1,0
1498344796,1,0
1498352530,3,0
1498356274,1,0
1498360114,1,0
1498367832,1,0
1498371642,1,0
1498390874,1,0
1498394693,2,0
1498413704,2,0
1498417473,2,0
1498425432,2,0
1498479433,1,0
1498487067,1,0
1498507938,1,0
1498519744,2,0
1498527413,1,0
1498538928,1,0
1498542788,1,0
1498550681,1,0
1498569854,2,0
1498573717,1,0
1498581661,2,0
1498593440,1,0
1498612883,2,0
1498616576,1,0
1498631796,1,0
1498635654,1,0
1498647176,1,0
1498677874,1,0
1498681734,1,0
1498704973,1,0
1498716521,2,0
1498743666,1,0
1498759307,2,0
1498763080,1,0
1498782809,1,0
1498835318,4,0
1498854530,1,0
1498862194,1,0
1498869892,1,0
1498873725,1,0
1498881391,1,0
1498885299,2,0
1498897258,1,0
1498901082,1,0
1498912576,2,0
1498916425,2,0
1498931794,4,0
1499021088,2,0
1499025165,1,0
1499032900,1,0
1499040511,1,0
1499059733,1,0
1499067392,0,1
1499087348,1,1
1499098846,2,1
1499102927,1,0
1499106759,2,0
1499114453,0,2
1499122133,1,3
1499133743,0,2
1499141312,0,1
1499149272,1,0
1499153063,0,1
1499160767,1,0
1499164612,0,1
1499172266,1,1
1499180186,1,0
1499184116,0,2
1499191718,1,0
1499195559,6,0
1499199400,0,1
1499214778,1,0
1499230129,1,0
1499233953,2,0
1499237814,1,1
1499257249,0,1
1499261059,2,0
1499269049,0,1
1499277060,1,0
1499284623,1,2
1499292293,0,3
1499307984,0,2
1499319681,1,0
1499327342,1,0
1499335269,1,0
1499342949,1,0
1499346766,1,0
1499368105,2,0
1499372017,0,1
1499375781,0,1
1499387581,1,0
1499395091,0,1
1499398818,1,0
1499410391,1,0
1499441306,0,131
1499460764,2,0
