DateTime,AddedIPs,RemovedIPs
1501876147,8,10
1501879958,15,14
1501884188,27,22
1502195323,51,179
1502199166,3,0
1502203010,13,0
1502206859,10,0
1502210714,4,0
1502214504,5,0
1502218778,3,0
1502222691,9,0
1502226517,6,0
1502234208,1,0
1502241870,3,0
1502245716,7,0
1502251354,6,0
1502257018,8,0
1502260834,11,0
1502264672,7,0
1502268526,3,0
1502272466,2,0
1502276198,4,0
1502280129,1,0
1502284138,8,0
1502287987,8,0
1502291794,11,0
1502295646,22,0
1502299459,18,0
1502303316,10,0
1502307164,3,0
1502314837,1,0
1502398368,23,16
1502402198,6,6
1502406116,0,1
1502410131,1,1
1502413963,4,21
1502417828,3,2
1502421913,3,3
1502425735,10,9
1502433416,18,88
1502437300,7,43
1502441109,14,69
1502444955,6,5
1502448784,6,6
1502453212,5,2
1502456946,8,5
1502460773,2,6
1502464602,5,0
1502468470,11,13
1502472280,8,14
1502476138,15,20
1502479967,3,4
1502483832,5,3
1502487659,9,14
1502491485,5,5
1502495328,6,13
1502499194,9,5
1502503018,3,3
1502510706,5,1
1502514532,7,1
1502518362,9,6
1502522208,13,12
1502526059,4,4
1502529869,9,6
1502533560,6,4
1502541210,1,0
1502545016,2,0
1502548858,4,2
1502552949,8,11
1502556797,4,1
1502560633,4,1
1502568305,4,0
1502572156,4,0
1502580310,3,0
1502584153,3,1
1502587987,5,4
1502591833,9,13
1502595633,6,5
1502614917,1,0
1502622537,6,2
1502626366,7,6
1502630469,4,4
1502646065,1,1
1502649887,2,0
1502654009,6,1
1502657821,1,0
1502661777,3,1
1502669576,1,1
1502673682,3,1
1502681588,3,4
1502685417,1,3
1502693089,1,1
1502696904,1,0
1502704973,1,0
1502708835,3,1
1502712541,0,2
1502716389,8,5
1502720483,11,11
1502732095,26,51
1502735831,16,14
1502739667,8,1
1502743490,10,11
1502747332,4,4
1502751165,8,3
1502755006,13,15
1502758934,11,11
1502762709,5,2
1502766551,6,1
1502770644,4,1
1502774486,3,0
1502778550,2,0
1502782397,2,0
1502790070,10,4
1502793878,2,0
1502797736,1,0
1502801583,3,0
1502805426,4,2
1502813095,4,1
1502816972,4,1
1502828927,10,4
1502832792,6,4
1502836609,1,0
1502840703,4,0
1502844557,1,0
1502848406,4,1
1502852232,5,3
1502856145,6,1
1502864191,11,3
1502868095,4,1
1502871900,5,1
1502875754,7,0
1502879612,4,1
1502883547,4,3
1502887261,2,2
1502891100,7,2
1502895186,5,3
1502899357,16,16
1502903121,7,15
1502907092,7,13
1502910785,4,4
1502914609,5,17
1502918482,13,46
1502922158,9,15
1502925890,15,20
1502930000,6,9
1502933824,5,19
1502937666,5,8
1502941503,4,3
1502945349,5,5
1502949213,11,0
1502953037,6,9
1502956883,9,2
1502960735,10,15
1502964551,9,1
1502968404,8,10
1502972504,10,7
1502976319,7,2
1502980148,5,9
1502983976,17,27
1502987783,4,121
1502991643,14,0
1502995463,11,0
1502999319,12,0
1503003155,7,0
1503006993,10,0
1503010880,2,0
1503014958,5,0
1503018789,13,0
1503022642,16,0
1503026475,22,27
1503030302,19,20
1503034149,4,7
1503037990,11,14
1503041825,14,16
1503045673,4,5
1503049481,5,13
1503053336,8,3
1503057185,5,7
1503064972,12,6
1503068693,10,5
1503072558,8,3
1503076641,6,0
1503080714,7,0
1503084538,5,0
1503088386,9,1
1503092217,13,0
1503096044,5,1
1503099882,15,10
1503103729,1,3
1503107577,8,5
1503111429,7,4
1503115277,14,16
1503119100,7,11
1503122945,3,7
1503126789,3,2
1503130602,6,18
1503134449,10,62
1503138262,8,12
1503142105,2,7
1503145974,6,3
1503149806,16,11
1503153823,3,6
1503157718,1,2
1503161587,1,1
1503165398,2,0
1503169342,1,0
1503173098,5,0
1503176926,2,0
1503180802,1,0
1503184618,2,0
1503188480,1,0
1503192281,4,1
1503196110,4,1
1503199971,10,7
1503203814,5,4
1503207671,4,4
1503211483,4,4
1503215335,6,3
1503219190,6,9
1503223032,5,2
1503226953,8,13
1503230709,12,32
1503234565,10,15
1503238389,9,8
1503242213,4,7
1503246094,3,1
1503249896,3,1
1503257582,2,0
1503261428,9,4
1503265293,7,6
1503269116,3,1
1503272951,11,8
1503276797,9,2
1503280965,19,16
1503284709,14,13
1503288549,9,20
1503292394,9,9
1503296238,10,6
1503300053,3,4
1503303937,9,16
1503307740,2,1
1503311600,9,14
1503315425,5,1
1503319273,4,2
1503323108,5,9
1503326938,2,1
1503330789,8,1
1503334631,6,1
1503338431,6,1
1503342302,3,2
1503346128,6,4
1503349987,8,3
1503353804,13,2
1503357643,10,7
1503361502,21,3
1503365334,9,7
1503373000,14,14
1503376863,5,6
1503380703,6,37
1503384551,8,3
1503388362,6,2
1503392236,6,1
1503396055,8,0
1503403740,8,9
1503407601,5,0
1503411432,3,1
1503415257,1,3
1503422927,4,5
1503430861,2,1
1503434712,2,0
1503438538,6,2
1503442366,5,0
1503450304,8,6
1503454149,8,0
1503458024,4,1
1503461834,5,1
1503465679,6,3
1503469488,6,6
1503473333,2,1
1503477178,2,2
1503484836,1,1
1503488659,1,1
1503492501,2,1
1503508108,2,0
1503511861,1,0
1503523247,1,1
1503527082,0,1
1503538592,1,1
1503542439,1,2
1503546279,5,1
1503550107,2,0
1503557814,10,4
1503561646,53,6
1503565517,53,7
1503569314,47,8
1503573182,45,3
1503576986,31,14
1503580894,44,21
1503584672,4,3
1503649477,5,7
1503653333,2,1
1503657168,3,2
1503660994,1,1
1503664842,4,5
1503672514,0,4
1503676350,12,9
1503680177,15,14
1503684040,18,16
1503687876,11,9
1503691721,16,11
1503695546,13,9
1503699410,0,1
1503703482,2,3
1503707326,1,0
1503711167,3,5
1503714979,3,3
1503718860,13,22
1503722705,13,24
1503726542,9,25
1503734211,11,352
1503738063,15,0
1503741872,8,0
1503745738,24,0
1503749571,17,0
1503753413,6,0
1503757231,11,0
1503761071,7,0
1503764896,8,0
1503768743,11,0
1503772607,10,0
1503776455,10,0
1503780286,10,0
1503784133,4,0
1503787968,5,0
1503791800,15,3
1503795653,4,4
1503799466,0,2
1503803300,3,4
1503807167,2,3
1503811000,5,5
1503814835,5,3
1503818663,6,10
1503822498,6,7
1503826361,9,11
1503830193,4,4
1503834039,4,3
