DateTime,AddedIPs,RemovedIPs
1501686577,4,10
1501690420,3,2
1501694274,11,14
1501698464,7,4
1501702156,6,6
1501706026,7,9
1501709832,4,4
1501713670,5,8
1501717762,7,13
1501721613,7,4
1501725449,7,6
1501729342,2,6
1501733134,4,2
1501736960,4,4
1501740824,4,9
1501744642,5,3
1501748480,6,10
1501752319,4,4
1501756172,3,9
1501760003,5,0
1501763819,9,7
1501767674,4,5
1501771499,6,2
1501775363,9,12
1501779236,6,5
1501783365,6,3
1501787369,8,3
1501791471,12,12
1501795277,2,1
1501799155,6,8
1501802991,3,6
1501806825,3,1
1501810636,4,2
1501814486,3,3
1501818311,4,1
1501822173,5,3
1501826022,7,2
1501829855,4,3
1501833849,7,6
1501837554,5,3
1501841389,5,0
1501845471,9,3
1501849320,6,2
1501853119,5,6
1501856975,9,3
1501860821,9,6
1501864654,6,1
1501868483,4,1
1501872312,4,9
1501876175,8,2
1501879990,9,3
1501884277,6,7
1502195346,56,220
1502199189,2,0
1502203059,4,0
1502206920,4,0
1502210738,4,0
1502214546,4,0
1502218801,4,0
1502222714,12,0
1502226541,2,0
1502230387,3,0
1502234248,3,0
1502238053,2,0
1502241885,1,0
1502245735,4,0
1502251419,1,0
1502257039,4,0
1502264697,2,0
1502268544,5,0
1502272486,3,0
1502276218,1,0
1502280185,6,0
1502284166,8,0
1502288012,5,0
1502291822,6,0
1502295676,8,10
1502299482,5,7
1502303339,4,0
1502307183,4,1
1502311036,3,0
1502314858,4,2
1502318707,0,2
1502398406,30,15
1502402252,2,2
1502406141,2,2
1502410158,1,4
1502414014,4,5
1502417875,1,1
1502437367,18,29
1502441193,10,3
1502453304,17,10
1502460853,8,10
1502464671,2,2
1502468524,1,4
1502472337,2,2
1502476210,2,3
1502483887,10,9
1502491574,5,12
1502499275,4,13
1502503096,1,6
1502514902,12,13
1502518655,5,2
1502522494,6,5
1502534332,17,8
1502538102,5,3
1502541904,2,2
1502545790,4,3
1502549622,9,9
1502553466,5,2
1502557370,3,9
1502564985,7,7
1502576795,10,10
1502580832,3,2
1502588493,7,6
1502592325,2,5
1502596154,2,12
1502599981,6,2
1502603819,4,6
1502611551,12,8
1502615378,8,4
