DateTime,AddedIPs,RemovedIPs
1501729348,136,140
1501733138,172,169
1501736964,96,99
1501740830,160,153
1501744649,117,128
1501748486,269,262
1501752324,102,97
1501756177,254,258
1501760007,67,69
1501763824,139,132
1501767680,131,131
1501771505,52,55
1501775367,235,228
1501779246,73,82
1501783370,79,83
1501787374,140,150
1501791474,212,206
1501795283,73,102
1501799160,57,39
1501802996,92,90
1501806829,77,77
1501810640,128,122
1501814492,161,156
1501818315,91,89
1501822177,176,165
1501826028,106,110
1501829860,233,236
1501833861,150,161
1501837561,159,146
1501841397,91,111
1501845475,158,133
1501849328,72,77
1501853123,220,221
1501856981,82,86
1501860827,113,107
1501864657,163,156
1501868487,58,66
1501872317,230,224
1501876178,152,156
1501879995,111,114
1501884284,78,103
1502195351,393,411
1502199192,41,44
1502203066,34,47
1502206928,80,71
1502210742,43,12
1502214551,46,96
1502218807,146,78
1502222719,159,152
1502226544,71,71
1502230389,80,90
1502234255,79,103
1502238056,35,44
1502241888,43,17
1502245740,108,103
1502251432,48,51
1502257041,86,92
1502260873,115,102
1502264701,92,95
1502268547,131,127
1502272488,49,55
1502276220,125,131
1502280190,48,46
1502284170,80,151
1502288021,182,110
1502291826,60,54
1502295682,84,76
1502299486,174,176
1502303342,107,110
1502307185,140,146
1502311042,49,53
1502314860,91,123
1502318709,38,65
1502398411,409,340
1502402261,103,124
1502406144,40,64
1502410161,46,43
1502414021,86,48
1502417885,71,100
1502437378,212,198
1502460871,265,269
1502464683,102,99
1502468534,90,72
1502472347,45,42
1502476221,51,52
1502483896,199,200
1502491588,111,140
1502499286,156,136
1502503109,70,71
1502514916,250,241
1502518670,42,42
1502522506,74,78
1502538120,235,273
1502541913,106,75
1502545809,35,51
1502549634,104,97
1502553480,35,19
1502565000,247,234
1502576813,259,284
1502580845,76,62
1502588507,83,80
1502592338,64,58
1502596163,94,90
1502599992,53,54
1502603834,65,101
1502611556,130,127
1502615391,46,45
1502619214,100,90
1502623309,52,40
1502627188,63,109
1502630986,61,23
1502638932,83,106
1502642732,27,8
1502646594,46,116
1502650401,138,62
1502657905,181,177
1502665832,101,141
1502669642,37,33
1502673765,80,61
1502677834,35,23
1502681706,44,40
1502685491,79,74
1502689348,33,32
1502693180,86,89
1502696979,28,31
1502700849,58,84
1502705084,39,21
1502708918,66,67
1502712611,15,22
1502716508,140,162
1502720585,224,174
1502732208,418,415
1502735937,148,150
1502739786,274,272
1502743603,192,191
1502747420,201,209
1502751256,131,129
1502755087,184,182
1502762810,432,433
1502766627,198,197
1502770754,281,281
1502774568,175,173
1502778648,287,292
1502782503,199,191
1502790179,392,393
1502801687,347,345
1502805523,173,174
1502813213,390,393
1502817067,206,204
1502821531,151,151
1502825394,184,183
1502829249,161,161
1502840810,405,403
1502864283,400,404
1502868211,179,182
1502883655,333,328
1502887353,146,148
1502891206,223,222
1502895321,277,278
1502899477,172,171
1502903230,256,254
1502907199,300,302
1502910902,222,230
1502914702,246,241
1502922631,338,332
1502938225,409,419
1502942078,214,209
1502945880,167,165
1502953575,423,428
1502957453,250,249
1502961280,160,160
1502965152,192,190
1502968983,272,272
1502980625,363,362
1502984298,148,147
1502988088,129,446
1502992209,307,0
1502996274,265,260
1503000173,237,241
1503003952,180,184
1503007790,197,188
1503011617,205,202
1503015472,255,255
1503019299,208,210
1503023139,171,174
1503026970,202,201
1503034679,446,438
1503038495,246,251
1503042320,178,179
1503046185,118,119
1503050009,50,50
1503053843,125,140
1503061553,56,110
1503065402,34,17
1503073087,118,116
1503077142,45,19
1503081257,89,68
1503085059,125,128
1503088929,27,46
1503092747,49,51
1503096597,56,78
1503100423,28,52
1503104239,59,20
1503108198,28,20
1503115798,74,77
1503119640,40,35
1503123474,34,59
1503127356,59,64
1503131367,59,56
1503135273,58,56
1503139044,66,44
1503142912,23,25
1503146995,65,95
1503150821,40,40
1503154672,36,32
1503162603,86,70
1503166559,56,27
1503170301,80,83
1503174124,99,100
1503177958,39,57
1503181772,27,29
1503185622,73,92
1503189474,34,48
1503193299,22,5
1503201010,107,92
1503204826,67,70
1503208682,53,60
1503216376,92,123
1503220185,63,26
1503224043,50,51
1503227919,50,77
1503231729,76,40
1503235583,34,37
1503239395,43,81
1503243285,30,11
1503250928,102,101
1503258595,174,124
1503262437,23,27
1503266277,28,35
1503270222,28,29
1503273941,31,41
1503277796,96,106
1503281896,36,59
1503285739,36,12
1503289549,77,65
1503293392,33,32
1503297243,81,108
1503301107,29,4
1503304967,42,106
1503308773,31,5
1503312592,49,59
1503316432,32,14
1503320242,32,43
1503324169,50,47
1503331811,61,68
1503335672,73,59
1503339393,33,5
1503343078,119,99
1503346908,47,51
1503350750,65,77
1503354568,32,43
1503358435,39,48
1503362303,72,87
1503366094,39,29
1503369955,33,21
1503373768,68,62
1503377617,33,54
1503381452,40,39
1503385296,40,23
1503389132,46,33
1503393034,75,89
1503396816,88,72
1503400682,35,50
1503404781,111,133
1503408872,41,40
1503412694,71,74
1503416497,75,56
1503420346,23,5
1503428044,147,133
1503431855,75,74
1503439574,101,127
1503443645,27,61
1503451360,119,108
1503455153,42,20
1503462873,131,114
1503466701,86,98
1503470536,89,74
1503474292,26,30
1503478133,26,27
1503481986,29,31
1503485807,30,33
1503489756,18,24
1503493480,38,40
1503497346,38,37
1503501173,20,19
1503505033,25,27
1503508878,31,33
1503512693,22,25
1503516520,31,37
1503520378,29,30
1503524217,32,33
1503529061,35,32
1503536697,53,60
1503540519,20,18
1503544389,124,118
1503548203,164,152
1503552088,33,100
1503555901,33,29
1503559752,358,266
1503563606,444,445
1503567441,446,442
1503571272,448,449
1503575103,448,448
1503578966,446,444
1503582802,288,295
1503586627,109,111
1503647606,297,302
1503651435,45,52
1503655336,79,158
1503659107,33,38
1503662947,56,22
1503666770,28,31
1503670613,33,48
1503674464,52,59
1503678316,46,11
1503682164,67,49
1503686032,87,59
1503689829,102,100
1503693665,59,84
1503697481,56,56
1503701341,30,58
1503705473,45,65
1503709389,25,15
1503713115,50,22
