DateTime,AddedIPs,RemovedIPs
1502206936,15,0
1502210744,15,0
1502214554,10,0
1502218810,14,0
1502222721,8,0
1502226546,10,0
1502230391,12,0
1502234259,12,0
1502238058,9,0
1502241890,14,0
1502245742,12,0
1502251444,11,10
1502257218,6,7
1502261054,10,11
1502264908,7,8
1502268732,6,6
1502272491,6,7
1502276224,8,8
1502280197,10,9
1502284177,5,4
1502288024,10,2
1502291829,8,0
1502295691,13,4
1502299490,12,6
1502303346,14,5
1502307188,8,3
1502311048,14,11
1502314863,7,4
1502318713,19,15
1502398413,55,54
1502402272,10,14
1502406149,9,10
1502410164,9,11
1502414029,21,52
1502417894,15,30
1502437388,75,187
1502460888,87,76
1502464694,21,29
1502468548,18,30
1502472355,15,7
1502476232,18,23
1502480032,13,11
1502483904,14,14
1502491605,37,47
1502499303,40,34
1502503121,23,17
1502514927,47,27
1502518676,14,8
1502522519,28,13
1502538134,32,26
1502541922,9,3
1502545826,9,6
1502549646,13,12
1502553491,12,18
1502565012,33,28
1502580858,52,37
1502588523,21,15
1502592351,10,10
1502596176,10,5
1502600001,8,5
1502603847,5,2
1502611565,16,8
1502615407,6,5
1502619225,11,10
1502623321,17,18
1502627201,12,14
1502630998,8,9
1502638947,21,25
1502642741,9,5
1502646608,7,7
1502650410,5,6
1502657916,10,14
1502665843,9,13
1502669653,0,2
1502673770,2,2
1502677847,7,10
1502681726,9,19
1502685502,5,7
1502689357,12,14
1502693189,5,3
1502696986,8,7
1502700857,10,10
1502705100,6,3
1502708931,9,7
1502712621,9,4
1502716522,15,13
1502720602,20,36
1502732223,28,66
1502735951,14,29
1502739805,7,32
1502743625,14,33
1502747431,22,7
1502751270,15,6
1502755098,29,33
1502762828,32,10
1502766640,6,1
1502770768,3,2
1502774578,3,1
1502778661,5,4
1502782518,10,0
1502790197,6,0
1502801703,6,5
1502805537,2,0
1502813226,2,0
1502817080,1,1
1502821543,2,0
1502825405,3,1
1502829262,2,1
1502840822,3,0
1502864297,29,10
1502868226,4,0
1502883670,11,4
1502887368,3,0
1502891219,2,0
1502899494,15,30
1502903244,8,15
1502907216,9,12
1502914717,17,32
1502922649,18,111
1502926433,4,11
1502938242,29,25
1502942095,7,7
1502945890,7,8
1502953585,16,13
1502957467,6,1
1502961293,4,5
1502965168,6,5
1502968992,5,6
1502980641,25,27
1502984694,7,9
1502989294,4,81
1502993094,7,0
1502997181,14,0
1503001023,14,0
1503004867,13,0
1503009203,9,0
1503013013,10,0
1503016876,7,5
1503020677,11,6
1503024550,7,6
1503028359,4,4
1503032202,6,8
1503039897,29,19
1503043754,17,21
1503047585,8,9
1503051392,9,14
1503055260,11,6
1503059144,8,12
1503062935,15,16
1503066789,10,11
1503070614,4,2
1503074469,6,2
1503078282,2,0
1503082131,5,5
1503085978,0,1
1503089817,4,3
1503093717,2,1
1503097507,3,0
1503101362,9,14
1503105183,14,14
1503109027,3,3
1503112859,8,7
1503116706,3,1
1503120552,4,7
1503124390,8,14
1503128238,8,20
1503132042,9,4
1503135881,19,12
1503139992,9,8
1503143812,9,5
1503147910,10,10
1503151762,5,3
1503155591,3,1
1503159714,3,2
1503163516,4,0
1503167342,0,1
1503171204,4,0
1503175031,3,0
1503179091,3,2
1503182938,4,3
1503186762,4,4
1503190607,2,0
1503194508,1,0
1503198300,2,0
1503202133,9,11
1503205976,5,7
1503209817,13,15
1503213662,16,15
1503221334,22,29
1503225434,14,26
1503229255,9,3
1503233090,11,6
1503236940,7,1
1503240798,7,16
1503244614,4,2
1503248525,3,1
1503252299,6,1
1503256156,7,4
1503259983,10,12
1503263828,12,8
1503267671,13,17
1503271498,16,30
1503275326,8,13
1503279178,8,15
1503283000,14,10
1503286830,12,14
1503290668,9,10
1503294530,6,1
1503298628,10,4
1503302474,10,13
1503306310,9,8
1503310145,10,10
1503313980,12,16
1503317797,14,14
1503321663,7,7
1503325476,3,0
1503329336,0,2
1503333177,3,0
1503337286,8,6
1503341085,9,10
1503344920,3,6
1503348762,7,7
1503352601,12,11
1503356448,6,3
1503360274,4,3
1503364124,11,3
1503367967,9,13
1503371798,11,15
1503375658,12,9
1503379468,12,10
1503383311,3,3
1503387158,2,0
1503391012,4,1
1503394831,2,3
1503398675,1,0
1503402804,3,1
1503406598,4,1
1503410447,2,2
1503414403,1,0
1503418105,2,0
1503421986,3,5
1503426046,7,2
1503429871,8,2
1503433708,0,1
1503437592,3,3
1503441665,5,3
1503445475,3,1
1503449323,3,3
1503453182,1,0
1503457020,2,1
1503460837,1,0
1503464696,6,1
1503472341,2,1
1503476207,3,0
1503480032,1,0
1503483871,2,3
1503487695,1,1
1503495487,1,3
1503499255,1,0
1503503089,1,1
1503506935,1,2
1503510764,4,1
1503514601,4,1
1503518481,1,2
1503522281,4,1
1503526123,4,2
1503529962,4,2
1503534048,4,4
1503537863,1,0
1503541702,1,0
1503545588,5,1
1503549393,2,2
1503553240,2,1
1503557087,1,0
1503560923,6,0
1503564753,1,0
1503568586,2,2
1503572425,3,4
1503576281,2,1
1503580111,3,3
1503583941,2,2
1503587785,1,2
1503648989,15,11
1503652855,3,2
1503656692,3,0
1503660510,4,2
1503664377,4,3
1503668202,0,2
1503671962,5,2
1503675655,2,3
1503679489,4,3
1503683328,0,4
1503687179,5,6
1503691017,4,2
1503694851,2,5
1503698683,1,3
1503702721,1,1
1503706594,7,3
1503710429,2,4
1503714262,3,2
1503722204,7,5
1503726043,2,1
1503729883,4,1
1503733726,11,163
1503737548,4,0
1503741411,3,0
1503745257,8,0
1503749096,8,0
1503752938,11,0
1503756744,8,0
1503760852,6,0
1503764683,2,0
1503768522,6,0
1503772615,8,0
1503776466,7,0
1503784141,3,0
1503787976,3,0
1503791807,7,0
1503795668,5,0
1503799474,1,0
1503803308,4,0
1503807173,2,0
1503811011,3,0
1503814844,3,0
1503818674,5,0
1503822510,8,0
1503826372,5,0
1503830201,3,0
1503834052,2,0
1503837947,1,0
1503841761,1,0
1503845562,1,0
1503849404,1,0
1503853282,3,0
1503857474,9,0
1503861179,4,0
1503864994,14,11
1503869272,5,4
1503873215,3,3
1503877003,4,9
1503880834,2,2
1503884710,5,1
1503888755,3,5
1503896450,5,1
1503900518,3,0
1503904363,2,3
1503908259,1,1
1503912043,1,2
1503915887,1,0
1503923558,4,2
1503931259,12,10
1503935077,6,5
1503938744,6,3
1503942771,3,2
1503946585,3,2
1503950496,4,2
1503954279,5,2
1503958118,1,3
1503961972,3,2
1503965794,0,1
1503969639,1,3
1503973477,1,3
1503977309,5,4
1503981172,4,0
1503984990,4,2
1503988842,7,7
1503992675,4,3
1503996528,1,2
1504000353,2,1
1504004223,4,2
1504008064,5,5
1504011887,11,2
1504015720,6,3
1504019559,12,10
1504023380,7,5
1504027230,1,1
1504031094,1,5
1504034967,0,1
1504038761,1,0
1504046432,2,7
1504050270,5,7
1504054113,5,4
1504057969,3,2
1504061803,4,5
1504077648,3,0
1504081477,4,3
1504085319,0,2
1504089165,5,2
1504093009,0,3
1504100676,6,4
1504104630,1,3
1504108369,3,4
1504112228,2,9
1504116813,10,7
1504120629,6,8
1504124459,2,3
1504128299,6,7
1504132128,1,5
1504135967,2,2
1504139800,7,4
1504143653,3,1
1504147499,3,5
1504151333,5,3
1504155165,7,5
1504159008,2,6
1504162859,9,18
1504166693,2,2
1504170515,6,9
1504174382,8,3
1504178193,3,1
1504182065,1,3
1504185884,2,2
1504189707,0,2
1504193570,1,3
1504197651,4,5
1504201837,2,3
1504205571,5,9
1504209395,3,4
1504213239,0,2
1504217070,5,9
1504220921,4,2
1504224775,4,3
1504228597,3,1
1504232428,5,8
1504236294,3,4
1504240134,6,11
1504243971,3,2
1504247818,8,11
1504251644,6,4
1504255498,3,1
1504259330,5,4
1504263176,2,1
1504267007,2,1
1504270888,1,2
1504274678,2,3
1504278533,9,2
1504282388,2,0
1504286216,3,1
1504290288,3,0
1504294135,1,1
1504297983,7,9
1504301807,3,1
1504305657,3,2
1504309471,6,5
1504313341,3,2
1504317165,7,6
1504321003,3,4
1504324886,4,2
1504328688,3,0
1504332526,3,0
1504336371,2,0
1504340201,5,2
1504344059,5,3
1504347876,3,2
1504351725,5,3
1504355557,4,0
1504359420,5,6
1504363254,6,1
1504366974,1,1
1504370706,2,0
1504410052,6,8
1504414144,1,6
1504418001,2,0
1504421789,2,1
1504425680,3,3
1504429491,4,4
1504433346,2,3
1504437162,8,9
1504441007,2,7
1504444872,6,6
1504448686,3,12
1504452535,1,6
1504456382,2,3
1504460227,5,5
1504539660,9,11
1504543481,3,6
1504547337,6,10
1504551178,2,0
1504555251,5,8
1504559099,4,7
1504563172,5,18
1504567008,7,8
1504570867,6,4
1504574698,4,6
1504578516,7,8
1504582365,6,3
1504586217,4,5
1504590060,4,5
1504593884,8,5
1504601573,9,8
1504605357,3,4
1504609286,3,1
1504613130,3,3
1504616934,2,1
1504620792,3,5
1504624639,1,2
1504632308,5,10
1504636132,1,0
1504639991,4,3
1504643854,2,2
